	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
classroom_introduction	Introduction	Introduction	Introducción	Εισαγωγή	Introduzione	المقدمة	Einführung	はじめに	Bevezetés	Introdução	Uvod	Uvod
introduction_title1	A classroom to teach visual literacy	Un espace pour l'éducation aux médias visuels	Un espacio para la educación a los medios visuales	Μια τάξη για τη διδασκαλία του οπτικού γραμματισμού	Un'aula per insegnare l'alfabetizzazione visiva	فصل دراسي لتعليم الوسائط البصرية	Medienkompetenz	ビジュアルリテラシーの教室	Tanterem a médiaműveltséghez	Uma sala de aula para ensinar alfabetização visual	Učionica za podučavanje vizualne pismenosti	Učilnica za poučevanje vizualne pismenosti
introduction_para1	Our goal is to help you to use this extension in your teaching. On this page you will find resources for media education: proposals of pedagogical practices, videos on disinformation, a serious game to learn how to use various tools to track down the manipulation of images and videos.	Notre objectif est de vous accompagner afin que vous puissiez utiliser cette extension dans vos pratiques pédagogiques. Vous trouverez sur cette pages des ressources pour l’éducation aux médias : propositions de pratiques pédagogiques, vidéos sur les infox, un jeu éducatif pour apprendre le fonctionnement de divers outils pour débusquer la manipulation des images et des vidéos.	Nuestro objetivo es acompañarle para que pueda utilizar esta extensión en sus prácticas de enseñanza. En esta página encontrarás recursos para la educación mediática: propuestas de prácticas pedagógicas, vídeos sobre bulos, un juego educativo para aprender a utilizar diversas herramientas para detectar la manipulación de imágenes y vídeos.	Στόχος μας είναι να σας βοηθήσουμε να χρησιμοποιήσετε αυτήν την επέκταση στη διδασκαλία σας. Σε αυτήν τη σελίδα θα βρείτε πόρους για την εκπαίδευση στα μέσα ενημέρωσης: προτάσεις παιδαγωγικών πρακτικών, βίντεο σχετικά με την παραπληροφόρηση, ένα σοβαρό παιχνίδι για να μάθετε πώς να χρησιμοποιείτε διάφορα εργαλεία για τον εντοπισμό της χειραγώγησης εικόνων και βίντεο.	Il nostro obiettivo è aiutarti a usare questa estensione nel tuo insegnamento. In questa pagina troverai risorse per l'educazione dei media: proposte di pratiche pedagogiche, video sulla disinformazione, un gioco serio per imparare come utilizzare vari strumenti per rintracciare la manipolazione di immagini e video.	هدفنا هو دعمك حتى تتمكن من استخدام هذا الوصلات في ممارسات التدريس الخاصة بك. ستجد في هذه الصفحة موارد للتعليم الإعلامي: مقترحات لممارسات التدريس، ومقاطع فيديو حول الأخبار الزائفة، ولعبة تعليمية لمعرفة كيفية عمل الأدوات المختلفة للكشف عن التلاعب بالصور ومقاطع الفيديو.	Unser Ziel ist es, Sie dabei zu unterstützen, diese Erweiterung in Ihrem Unterricht einzusetzen. Auf dieser Seite finden Sie Ressourcen für die Medienbildung: Vorschläge für pädagogische Praktiken, Videos zur Desinformation, ein Serious Game, um den Umgang mit verschiedenen Tools zur Aufdeckung der Manipulation von Bildern und Videos zu lernen.	この拡張機能を授業で活用できるよう支援することが私たちの目標です。このページでは、メディア教育のためのリソースを見つけることができます。教育実践の提案、偽情報に関するビデオ、画像やビデオの操作を追跡するためのさまざまなツールを使用する方法を学ぶためのシリアスゲームなどです。	Célunk, hogy segítsünk Önnek abban, hogy ezt a bővítményt felhasználja tanítása során. Ezen az oldalon erőforrásokat talál a médiaoktatáshoz: pedagógiai gyakorlatok javaslatait, videókat a félretájékoztatásról, egy komoly játékot, amely megtanítja a kép- és videómanipuláció felderítésére szolgáló különféle eszközök használatát.	Nosso objetivo é ajudá-lo a usar esta extensão em seu ensino. Nesta página você encontrará recursos para a educação midiática: propostas de práticas pedagógicas, vídeos sobre desinformação, um jogo sério para aprender a usar várias ferramentas para rastrear a manipulação de imagens e vídeos.	Naš cilj je pomoći vam da koristite ovo proširenje u svom podučavanju. Na ovoj stranici pronaći ćete resurse za medijsko obrazovanje: prijedloge pedagoških praksi, videozapise o dezinformacijama, ozbiljnu igru ​​za učenje kako koristiti razne alate za otkrivanje manipulacije slikama i videozapisima.	Naš cilj je pomagati vam pri uporabi te razširitve pri poučevanju. Na tej strani boste našli vire za medijsko vzgojo: predloge pedagoških praks, videoposnetke o dezinformacijah, resno igro za učenje uporabe različnih orodij za odkrivanje manipulacije slik in videoposnetkov.
introduction_title2	Teaching information verification and critical thinking	Enseigner la vérification de l'information et la pensée critique	Enseñar la verificación de la información y el pensamiento crítico	Διδασκαλία επαλήθευσης πληροφοριών και κριτική σκέψη	Insegnamento delle informazioni sulla verifica e il pensiero critico	تعليم التحقق من المعلومات والتفكير النقدي	Verifikation und kritisches Denken	事実検証と批判的思考を学ぶ	Az információ ellenőrzésének és a kritikus gondolkodásnak az oktatása	Ensino de verificação de informações e pensamento crítico	Podučavanje provjere informacija i kritičkog razmišljanja	Poučevanje preverjanja informacij in kritičnega mišljenja
introduction_para2	Verification is twofold. You can verify the digital object itself through visual examination (the tool magnifier provides an effective way to examine an image or a video frame), through its metadata (through the metadata reader), or forensic analysis (analysis of the signal treatment to reveal an eventual tampering). You can also verify the context of that digital object (who is talking about it, how is it indexed by leading search engines), through the Analysis or Keyframes feature.	Le processus de vérification est double. Vous pouvez vérifier l'objet numérique lui-même par un examen visuel (la loupe fournit un moyen efficace d'examiner une image ou une image-clé vidéo), à travers ses métadonnées (par le lecteur de métadonnées), ou par l'analyse forensic (analyse du traitement du signal pour révéler une éventuelle altération). Vous pouvez également examiner le contexte de cet objet numérique (qui en parle, comment est-il indexé par les principaux moteurs de recherche), notamment grâce à la fonction Analyse ou Images-clés.	La verificación es doble. Se puede verificar el objeto digital en sí mismo mediante un examen visual (la herramienta de aumento proporciona una forma eficaz de examinar una imagen o un fotograma de vídeo), mediante sus metadatos (a través del lector de metadatos), o mediante análisis forensic (análisis del tratamiento de la señal para revelar una posible manipulación). También se pueden verificar el contexto del objeto digital (quién habla de él, cómo está indexado por los principales motores de búsqueda), a través de la función de análisis o de fotogramas clave.	Η επαλήθευση είναι διπλή. Μπορείτε να επαληθεύσετε το ίδιο το ψηφιακό αντικείμενο μέσω οπτικής εξέτασης (ο μεγεθυντικός φακός παρέχει έναν αποτελεσματικό τρόπο εξέτασης μιας εικόνας ή ενός καρέ του βίντεο), μέσω των μεταδεδομένων του (μέσω του αναγνώστη μεταδεδομένων), ή ανάλυση αυθεντικότητας εικόνας (ανάλυση του σήματος για να αποκαλυφθεί ενδεχόμενη παραβίαση). Μπορείτε επίσης να επαληθεύσετε το πλαίσιο του ψηφιακού αυτού αντικειμένου (ποιος μιλάει για αυτό, πώς ευρετηριάζεται από τις κορυφαίες μηχανές αναζήτησης), μέσω της λειτουργίας Ανάλυσης ή Βασικών πλαισίων.	La verifica è duplice. È possibile verificare l'oggetto digitale stesso attraverso l'esame visivo (la lente di ingrandimento dello strumento fornisce un modo efficace per esaminare un'immagine o un fotogramma video), attraverso i suoi metadati (attraverso il lettore di metadati) o l'analisi forense (analisi del trattamento del segnale per rivelare una eventuale manomissione). È inoltre possibile verificare il contesto di tale oggetto digitale (chi ne parla, come è indicizzato dai principali motori di ricerca), attraverso la funzione di analisi o Keyframes.	التحقق له جانبان. يمكنك التحقق من الكائن الرقمي نفسه من خلال الفحص البصري (توفر أداة التكبير طريقة فعالة لفحص الصورة أو إطار الفيديو)، من خلال بياناته الوصفية (عبر قارئ البيانات الوصفية)، أو التحليل الجنائي (تحليل معالجة الإشارة للكشف عن أي تلاعب محتمل). يمكنك أيضًا التحقق من سياق هذا الكائن الرقمي (من يتحدث عنه، وكيف يتم فهرسته بواسطة محركات البحث الرائدة)، من خلال ميزة التحليل أو الإطارات الرئيسية.	Die Verifikation ist zweifach. Sie können das digitale Objekt selbst durch visuelle Prüfung (das Lupenwerkzeug bietet eine effektive Möglichkeit, ein Bild oder einen Videobilderrahmen zu untersuchen), durch seine Metadaten (durch den Metadatenleser) oder forensische Analyse (Analyse der Signalbehandlung zur Aufdeckung einer eventuellen Manipulation) überprüfen. Sie können auch den Kontext dieses digitalen Objekts (wer darüber spricht, wie es von führenden Suchmaschinen indiziert wird) durch die Analyse- oder Keyframes-Funktion überprüfen.	検証は二重です。視覚的検査（拡大鏡ツールは画像またはビデオフレームを調べる効果的な方法を提供します）、メタデータ（メタデータリーダーを使用）、またはフォレンジック分析（信号処理の分析により、最終的な改ざんを明らかにする）を通じて、デジタルオブジェクト自体を検証できます。また、分析またはキーフレーム機能を通じて、そのデジタルオブジェクトのコンテキスト（誰がそれについて話しているか、主要な検索エンジンによってどのようにインデックスが付けられているか）も検証できます。	Az ellenőrzés kétirányú. A digitális objektumot magát vizuális vizsgálattal (a nagyító eszköz hatékony módot biztosít a kép vagy videó képkocka vizsgálatára), metaadatain keresztül (a metaadat olvasóval), vagy törvényszéki elemzéssel (a jelfeldolgozás elemzése az esetleges manipulációk feltárására) ellenőrizheti. Ezenkívül ellenőrizheti a digitális objektum kontextusát (ki beszél róla, hogyan indexelik a vezető keresőmotorok), az elemzés vagy a kulcsképkockák funkció segítségével.	A verificação é dupla. Você pode verificar o próprio objeto digital por meio de exame visual (a lupa da ferramenta fornece uma maneira eficaz de examinar uma imagem ou um quadro de vídeo), por meio de seus metadados (por meio do leitor de metadados) ou análise forense (análise do tratamento do sinal para revelar uma eventual adulteração). Você também pode verificar o contexto desse objeto digital (quem está falando sobre ele, como ele é indexado pelos principais mecanismos de pesquisa), por meio do recurso Análise ou Keyframes.	Provjera je dvostruka. Možete provjeriti sam digitalni objekt vizualnim pregledom (alat za povećanje pruža učinkovit način pregleda slike ili video okvira), putem njegovih metapodataka (putem čitača metapodataka) ili forenzičke analize (analiza obrade signala za otkrivanje eventualnog manipuliranja). Također možete provjeriti kontekst tog digitalnog objekta (tko o njemu govori, kako ga indeksiraju vodeće tražilice), putem značajke Analiza ili Ključni okviri.	Preverjanje je dvostransko. Digitalni objekt lahko preverite z vizualnim pregledom (povečevalno orodje omogoča učinkovit način pregleda slike ali video okvirja), prek njegovih metapodatkov (prek bralnika metapodatkov) ali forenzične analize (analiza obdelave signala za razkritje morebitne manipulacije). Kontekst tega digitalnega objekta (kdo govori o njem, kako ga indeksirajo vodilni iskalniki) lahko preverite tudi prek funkcije analize ali ključnih sličic.
introduction_title3	Where to start ?	Par où commencer ?	¿ Donde empezar ?	Από πού να αρχίσω ?	Dove iniziare ?	من أين أبدأ؟	Wo anfangen ?	何から始めればいい？	Hol kezdjek bele?	Onde começar?	Gdje početi?	Kje začeti?
introduction_para3	You can start by looking at the Tutorial page to learn about the toolbox. Then, we provide you in this classroom item with a teaching tab.	Vous pouvez commencer par la page Tutoriel pour vous familiariser avec les différents outils. Ensuite, vous avez un onglet enseignement dans cette page Salle de cours.	Puede comenzar con la pagina de Tutorial para conocer las diferentes herramientas. Luego, esta pagina de Aula tiene una pestaña de Enseñanza.	Μπορείτε να ξεκινήσετε κοιτάζοντας τη σελίδα Εκμάθησης για να μάθετε για την εργαλειοθήκη. Στη συνέχεια, σας παρέχουμε σε αυτό το αντικείμενο της τάξης μια καρτέλα διδασκαλίας.	Puoi iniziare guardando la pagina Tutorial per conoscere la casella degli strumenti. Quindi, ti forniamo un tab insegnamento.	يمكنك البدء بصفحة البرنامج التعليمي للتعرف على الأدوات المختلفة. ثم لديك علامة تبويب التدريس في صفحة الفصل الدراسي هذه.	Sie können sich zunächst auf der Seite Tutorial über die Toolbox informieren. Im Seitenbereich <strong>Klassenzimmer</strong> finden Sie außerdem weitere Informationen.	まずはチュートリアルページでツールについて学習してください。次に教育タブをご覧ください	Kezdésként tekintse meg a bemutató oldalt, hogy megismerkedjen az eszközkészlettel. Ezután ebben a tantermi részben egy oktatási fület biztosítunk Önnek.	Você pode começar olhando a página Tutorial para aprender sobre a caixa de ferramentas. Em seguida, fornecemos a você nesta seção da sala de aula uma guia de ensino.	Možete započeti gledanjem stranice Vodič kako biste saznali više o alatnom okviru. Zatim, u ovom dijelu učionice nudimo vam karticu za podučavanje.	Začnete lahko tako, da si ogledate stran z vadnico, da se seznanite z orodjem. Nato vam v tem razdelku učilnice ponujamo zavihek za poučevanje.
introduction_title4	Demo as a sandbox	Demo comme bac à sable	Demo como entorno de pruebas	Διαδραστικό ως περιβάλλον δοκιμής	Interattivo come sandbox	عرض توضيحي	Ausprobieren	デモ機能について	A demo egy szabad játszótér	Demonstração como caixa de areia	Demo kao pješčanik	Demo kot peskovnik
introduction_para4	The Demo feature is a good way to start learning how to verify pictures and videos.	Un bon moyen de commencer est de vous familiariser avec la vérification des images et des vidéos avec le menu Demo.	El menu Demo le permite comenzar a aprender a verificar imagenes y videos.	Η λειτουργία επίδειξης είναι ένας καλός τρόπος για να αρχίσετε να μαθαίνετε πώς να επαληθεύετε φωτογραφίες και βίντεο	La funzione interattiva è un buon modo per iniziare a imparare come verificare immagini e video.	طريقة جيدة للبدء هي التعرف على التحقق من الصور ومقاطع الفيديو من خلال قائمة العرض التوضيحي.	Die Demofunktion ist ein gute Möglichkeit, um zu lernen, wie man Bilder und Videos überprüft.	デモ機能は、画像や動画の検証を学ぶための機能です	A demo funkció jó módszer a képek és videók ellenőrzésének elsajátításához.	O recurso Demo é uma boa maneira de começar a aprender a verificar fotos e vídeos.	Značajka demo je dobar način za početak učenja kako provjeriti slike i videozapise.	Funkcija predstavitve je dober način za začetek učenja preverjanja slik in videoposnetkov.
introduction_title5	In case of troubleshooting ?	Que faire en cas de problème ?	¿ Que hacer en caso de problema ?	Σε περίπτωση αντιμετώπισης προβλημάτων;	Cosa fare in caso di problemi?	ماذا تفعل في حالة استكشاف الأخطاء؟	Probleme?	トラブルシューティング	Elakadt? 	Em caso de problemas?	U slučaju rješavanja problema?	V primeru odpravljanja težav?
