	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
warning_sna	This feature is computer-intensive and is reserved for journalists fact-checkers and researchers. See on the Tools' page top right to get more info.	Cette fonctionnalité est très gourmande en ressources informatiques. Elle est réservée aux journalistes fact-checkers et chercheurs. Cliquez sur ? en haut à droite pour plus d'infos.	Esta herramienta necesita muchos recursos informáticos. Por esto se reserva para periodistas fact-checkers e investigadores. Para más información vea las herramientas avanzadas en la página Herramientas (en la parte superior derecha) para registrarse.	Αυτή η δυνατότητα είναι έντασης υπολογιστή. Επομένως προορίζεται για δημοσιογράφους ελεγκτές γεγονότων και ερευνητές. Για περισσότερες πληροφορίες κάντε κλικ ?	Questa funzione è ad alta intensità di computer ed è riservata a giornalisti, controlli di fatti e ricercatori. Vedi nella pagina degli strumenti in alto a destra per ottenere maggiori informazioni.	هذه الميزة تعتمد على استخدام الكمبيوتر بشكل مكثف ومخصصة للصحفيين ومدققي المعلومات والباحثين. انظر في أعلى صفحة الأدوات على اليمين للحصول على مزيد من المعلومات.	Diese Funktion ist computerintensiv und JournalistInnen, FaktenprüferInnen und Forschenden vorbehalten. Weitere Informationen finden Sie auf der Seite der Tools -Seite oben rechts.	この機能はコンピュータを駆使しており、ジャーナリストやファクトチェッカー、研究者向けの機能です。詳細はツールページの右上を参照してください。	Ez a funkció számításigényes, kizárólag újságírók, tényellenőrzők és kutatók számára van fenntartva. További információért lásd az Eszközök oldal jobb felső sarkát.	Esta ferramenta requer muitos recursos computacionais. Por isso, é reservada para jornalistas, verificadores de fatos e pesquisadores. Para mais informações, consulte as ferramentas avançadas na página Ferramentas (no canto superior direito) para se registrar.	Ova značajka je računalno intenzivna i rezervirana je za novinare, provjeravatelje činjenica i istraživače. Pogledajte na stranici Alati gore desno za više informacija.	Ta funkcija je računalniško intenzivna in je rezervirana za novinarje, preverjevalce dejstev in raziskovalce. Za več informacij glejte zgornji desni kot na strani Orodja.
error	An error occurred while processing your query	Une erreur s'est produite lors du traitement de votre requête	Ha habido un error al procesar su solicitud.	Παρουσιάστηκε σφάλμα κατά την επεξεργασία του αιτήματός σας	C'è stato un errore durante l'elaborazione dell'application	حدث خطأ أثناء معالجة الاستعلام الخاص بك	Bei der Verarbeitung Ihrer Abfrage trat ein Fehler auf	クエリの処理中にエラーが発生しました	Hiba történt a lekérdezés feldolgozása közben	Ocorreu um erro ao processar sua solicitação.	Došlo je do pogreške prilikom obrade vašeg upita	Pri obdelavi vaše poizvedbe je prišlo do napake.
error_invalid_url	Error: not a valid url	Erreur: URL non valide	Error: no es una URL válida	Σφάλμα: δεν είναι ένα έγκυρο URL	Errore: URL non valido	خطأ: ليس عنوان URL صالحًا	Fehler: keine gültige URL	エラー: 有効なURLではありません	Hiba: érvénytelen URL	Erro: não é um URL válido	Pogreška: nije valjan URL	Napaka: ni veljaven URL
warning_forensic	This enhanced forensic toolkit aims to help you detect alterations in manipulated images. You should avoid using it with screenshots scanned images of documents or juxtaposed images that are in fact altered images. More filters highlight some specific zone, more likely the image could be tampered. Note that alteration in the signal can be also triggered by light conditions, resampling or compressing the image without intention to alter its semantics. You can click on each filter to see it on top of the image you want to check. You can then use the vertical slider to compare the filter output with the initial picture.	Cette boîte à outils forensic améliorée vise à vous aider à détecter des manipulations dans les images. Vous devriez éviter de l'utiliser avec des captures d'écran des images scannées de documents ou des images juxtaposées qui de facto sont déjà des images manipulées. Plus de filtres mettent en évidence une même zone commune plus suspecte est cette région particulière de l'image. Veuillez prendre en compte que les filtres forensic mettent en évidence tout type de modifications du signal numérique de l'image et pas seulement des manipulations altérant le sens de l'image (ce qui veut dire qu'il peut y avoir des faux positifs). Certaines textures complexes ou excès de luminance peuvent également modifier le signal sans intention de manipulation. Si possible utilisez systématiquement la meilleure résolution d'image disponible au besoin en faisant une recherche inversée d'image.	Esta caja de herramientas forense mejorada tiene como objetivo ayudarle a detectar manipulaciones en las imágenes. Debe evitar usarlo con capturas de pantalla, copias escaneadas de documentos o imágenes yuxtapuestas que de facto ya son imágenes alteradas. Cuantos más filtros resalten una misma zona común, más sospechosa será esa región particular de la imagen. Tenga en cuenta que los filtros forenses resaltan cualquier tipo de modificación de la señal digital de la imagen y no solo manipulaciones que alteran el significado de la imagen (lo que significa que puede haber falsos positivos). Ciertas texturas complejas o excesos de luminancia también pueden modificar la señal sin ninguna intención de manipulación. Si es posible, utilice sistemáticamente la mejor resolución de imagen disponible, incluso buscando imágenes idénticas de mayor resolución mediante una búsqueda inversa de imágenes.	Όλα τα φίλτρα ανίχνευσης αυθεντικότητας που εμφανίζονται παρακάτω στοχεύουν στην ανίχνευση αλλοίωσης του σήματος της εικόνας, όπως ασυνέπειες στη συμπίεση, τις συχνότητες, τα μπλοκ jpeg, κ.λπ. Όσο περισσότερα φίλτρα επισημαίνουν κάποια συγκεκριμένη ζώνη, τόσο πιο πιθανό είναι η εικόνα να έχει παραβιαστεί. Σημειώστε ότι η αλλοίωση του σήματος μπορεί επίσης να προκληθεί από συνθήκες φωτισμού, επαναδειγματοληψία ή συμπίεση της εικόνας χωρίς πρόθεση να αλλοιωθεί η σημασιολογία της. Μπορείτε να κάνετε κλικ σε κάθε φίλτρο για να το δείτε πάνω στην εικόνα που θέλετε να ελέγξετε. Στη συνέχεια, μπορείτε να χρησιμοποιήσετε το κάθετο ρυθμιστικό για να συγκρίνετε την έξοδο του φίλτρου με την αρχική εικόνα.	Este conjunto de herramientas forenses mejorado tiene como objetivo ayudarlo a detectar alteraciones en imágenes manipuladas. Debe evitar usarlo con capturas de pantalla, imágenes escaneadas de documentos o imágenes yuxtapuestas que en realidad son imágenes alteradas. Cuantos más filtros resaltan una zona específica, es más probable que la imagen haya sido manipulada. Tenga en cuenta que la alteración de la señal también puede ser provocada por condiciones de luz, remuestreo o compresión de la imagen sin la intención de alterar su semántica. Puede hacer clic en cada filtro para verlo en la parte superior de la imagen que desea verificar. Luego puede usar el control deslizante vertical para comparar la salida del filtro con la imagen inicial.	Ta izboljšan komplet forenzičnih orodij vam pomaga odkriti spremembe v manipuliranih slikah. Izogibajte se uporabi s posnetki zaslona, skeniranimi slikami dokumentov ali juxtapoziranimi slikami, ki so dejansko spremenjene slike. Več filtrov poudarja določeno območje, večja je verjetnost, da je bila slika spremenjena. Upoštevajte, da lahko spremembo signala sprožijo tudi svetlobni pogoji, ponovno vzorčenje ali stiskanje slike brez namena spreminjanja njene semantike. Kliknete lahko na vsak filter, da si ga ogledate na vrhu slike, ki jo želite preveriti. Nato lahko uporabite navpični drsnik za primerjavo izhoda filtra z začetno sliko.	Dieses erweiterte forensische Toolkit soll Ihnen helfen, Veränderungen in manipulierten Bildern zu erkennen. Sie sollten es vermeiden, es mit Screenshots, gescannten Bildern von Dokumenten oder nebeneinanderliegenden Bildern zu verwenden, die tatsächlich manipulierte Bilder sind. Je mehr Filter eine bestimmte Zone hervorheben, desto wahrscheinlicher ist es, dass das Bild manipuliert wurde. Beachten Sie, dass eine Veränderung des Signals auch durch Lichtverhältnisse, Neuabtastung oder Komprimierung des Bildes ohne die Absicht, seine Semantik zu verändern, ausgelöst werden kann. Sie können auf jeden Filter klicken, um ihn über dem Bild anzuzeigen, das Sie überprüfen möchten. Anschließend können Sie den vertikalen Schieberegler verwenden, um die Filterausgabe mit dem ursprünglichen Bild zu vergleichen.	この強化されたフォレンジックツールキットは、操作された画像における変更を検出するのに役立ちます。スクリーンショット、スキャンされたドキュメントの画像、または実際に変更された並列画像を一緒に使用することは避けるべきです。より多くのフィルターが特定のゾーンを強調するほど、その画像の領域が改ざんされている可能性が高くなります。信号の変更は、その意味を改変する意図がなくても、光の条件、再サンプリング、または画像の圧縮によっても引き起こされる可能性があることに注意してください。各フィルターをクリックすると、確認したい画像の上に表示されます。その後、垂直スライダーを使用して、フィルターの出力を元の画像と比較できます。	Ez a továbbfejlesztett törvényszéki eszközkészlet segít felismerni a manipulált képekben lévő változásokat. Kerülni kell a használatát olyan képernyőképekkel, dokumentumok beolvasott képeivel vagy egymás mellé helyezett képekkel, amelyek valójában már módosított képek. Minél több szűrő emel ki egy adott zónát, annál valószínűbb, hogy a kép manipulálva lehet. Vegye figyelembe, hogy a jel változását fényviszonyok, újramintavételezés vagy a kép tömörítése is kiválthatja anélkül, hogy szándékában állna megváltoztatni a szemantikáját. Kattintson az egyes szűrőkre, hogy megtekinthesse azt a vizsgálni kívánt kép tetején. Ezután a függőleges csúszkával összehasonlíthatja a szűrő kimenetét a kezdeti képpel.	Este kit de ferramentas forense aprimorado visa ajudá-lo a detectar alterações em imagens manipuladas. Você deve evitar usá-lo com capturas de tela, imagens digitalizadas de documentos ou imagens justapostas que, de fato, já são imagens alteradas. Quanto mais filtros destacarem uma zona específica, maior a probabilidade de a imagem ter sido adulterada. Observe que a alteração no sinal também pode ser acionada por condições de luz, reamostragem ou compressão da imagem sem a intenção de alterar sua semântica. Você pode clicar em cada filtro para vê-lo na parte superior da imagem que deseja verificar. Você pode então usar o controle deslizante vertical para comparar a saída do filtro com a imagem inicial.	Ovaj poboljšani forenzički alatni okvir pomaže vam otkriti promjene u manipuliranim slikama. Trebali biste izbjegavati korištenje s snimkama zaslona, skeniranim slikama dokumenata ili usporednim slikama koje su zapravo izmijenjene slike. Što više filtara istakne određenu zonu, to je vjerojatnije da je slika mogla biti neovlašteno mijenjana. Imajte na umu da promjene u signalu mogu biti uzrokovane i svjetlosnim uvjetima, ponovnim uzorkovanjem ili kompresijom slike bez namjere promjene njezine semantike. Možete kliknuti na svaki filtar da biste ga vidjeli na vrhu slike koju želite provjeriti. Zatim možete koristiti okomiti klizač za usporedbu izlaza filtra s početnom slikom.	Ta izboljšan forenzični komplet orodij vam pomaga odkriti spremembe v manipuliranih slikah. Izogibajte se uporabi s posnetki zaslona, skeniranimi slikami dokumentov ali juxtapoziranimi slikami, ki so dejansko spremenjene slike. Več filtrov poudarja določeno območje, večja je verjetnost, da je bila slika spremenjena. Upoštevajte, da lahko spremembo signala sprožijo tudi svetlobni pogoji, ponovno vzorčenje ali stiskanje slike brez namena spreminjanja njene semantike. Kliknete lahko na vsak filter, da si ga ogledate na vrhu slike, ki jo želite preveriti. Nato lahko uporabite navpični drsnik za primerjavo izhoda filtra z začetno sliko.
warning_advanced_tools	This tool is reserved for journalists fact checkers and researchers; you need to unlock the advanced tools in the upper right corner of the Tools page to apply and use it.	Cet outil est réservé pour les journalistes, fact checkers et chercheurs. Vous devez déverrouiller les outils avancés en haut à droite de la page Outils pour vous enregistrer et pouvoir l'utiliser	Esta herramienta está reservada para periodistas fact checkers y investigadores; debe desbloquear las herramientas avanzadas en la página Herramientas (en la parte superior derecha) para registrarse y poder usarlas.	ελεγκτές γεγονότων και ερευνητές- πρέπει να ξεκλειδώσετε τα προηγμένα εργαλεία στην επάνω δεξιά γωνία της σελίδας Εργαλεία για να το εφαρμόσετε και να το χρησιμοποιήσετε.	Questo strumento è riservato a giornalisti, checker di fatti e ricercatori; È necessario sbloccare gli strumenti avanzati nell'angolo in alto a destra della pagina Strumenti per applicarlo e utilizzarlo.	هذه الأداة مخصصة للصحفيين ومدققي المعلومات والباحثين. تحتاج إلى إلغاء قفل الأدوات المتقدمة في الزاوية اليمنى العليا من صفحة الأدوات لتطبيقها واستخدامها.	Diese Tools sind JournalistInnen, FaktenprüferInnen und ForscherInnen vorbehalten. Sie müssen die erweiterten Tools in der oberen rechten Ecke der Tools-Seite entsperren, um sie verwenden zu können.	このツールはジャーナリスト、ファクトチェッカー、研究者のために使用されています。使用するには[ツール] ページの右上隅にある高度なツールのロックを解除する必要があります。	Ez az eszköz kizárólag újságírók, tényellenőrzők és kutatók számára érhető el; az Eszközök oldal jobb felső sarkában engedélyezze a speciális eszközöket a használathoz.	Esta ferramenta é reservada para jornalistas, verificadores de fatos e pesquisadores; você deve desbloquear as ferramentas avançadas na página Ferramentas (no canto superior direito) para se registrar e poder usá-las.	Ovaj alat je rezerviran za novinare, provjeravatelje činjenica i istraživače; morate otključati napredne alate u gornjem desnom kutu stranice Alati da biste ga primijenili i koristili.	To orodje je rezervirano za novinarje, preverjevalce dejstev in raziskovalce; za uporabo ga morate odkleniti na strani z orodji v zgornjem desnem kotu.
warning_beta	Warning: this is an experimental tool made in a previous project (WeVerify). We recommend you to avoid using it in production until further notice.	Avertissement : il s'agit d'un outil expérimental créé dans un projet précédent (WeVerify). Nous vous recommandons d'éviter de l'utiliser en production jusqu'à nouvel ordre.	Advertencia: esta es una herramienta experimental creada en un proyecto anterior (WeVerify). Recomendamos evitar su uso en producción hasta nuevo aviso.	Προειδοποίηση: αυτό είναι ένα πειραματικό εργαλείο που δημιουργήθηκε σε ένα προηγούμενο έργο (Το WeVerify). Συστημούμε να αποφύγετε τη χρήση του σε παραγωγή μέχρι νεωτέρας εντολής.	Avviso: questo è uno strumento sperimentale creato in un progetto precedente (WeVerify). Ti consigliamo di evitare di usarlo in produzione fino a nuovo avviso.	تحذير: هذه أداة تجريبية تم إنشاؤها في مشروع سابق (وي فيريفاي). نوصي بتجنب استخدامها في الإنتاج حتى إشعار آخر.	Warnung: Dies ist ein experimentelles Tool, das in einem früheren Projekt (WeVerify) entwickelt wurde. Wir empfehlen, es bis auf Weiteres nicht in der Produktion zu verwenden.	警告: これは、過去のプロジェクト (WeVerify) で作成された実験的なツールです。実用での使用はしばらくの間避けることをお勧めします。	Figyelem: ez egy kísérleti eszköz, amely korábbi projekt (WeVerify) során készült. Nem ajánlott éles használatra a következő értesítésig.	Aviso: esta é uma ferramenta experimental criada em um projeto anterior (WeVerify). Recomendamos evitar seu uso em produção até novo aviso.	Upozorenje: ovo je eksperimentalni alat napravljen u prethodnom projektu (WeVerify). Preporučujemo da ga ne koristite u proizvodnji do daljnjega.	Opozorilo: to je eksperimentalno orodje, izdelano v prejšnjem projektu (WeVerify). Priporočamo, da ga do nadaljnjega ne uporabljate v produkciji.
warning_beta_geolocation	Warning: this is an experimental tool under development. It has been improved within veraai.eu project but may still have bugs or errors. Use with caution.	Avertissement : cet outil est expérimental et en cours de développement. Il a été amélioré dans le cadre du projet veraai.eu mais peut encore contenir des bugs ou des erreurs. Utilisez-le avec prudence.	Advertencia: esta es una herramienta experimental en desarrollo. Ha sido mejorada dentro del proyecto veraai.eu, pero aún puede contener errores o fallos. Úsala con precaución.	Προειδοποίηση: αυτό είναι ένα πειραματικό εργαλείο υπό ανάπτυξη. Έχει βελτιωθεί στο πλαίσιο του έργου veraai.eu, αλλά ενδέχεται να εξακολουθεί να έχει σφάλματα ή λάθη. Χρησιμοποιήστε το με προσοχή.	Avviso: questo è uno strumento sperimentale in fase di sviluppo. È stato migliorato nell'ambito del progetto veraai.eu, ma potrebbe ancora contenere bug o errori. Usalo con cautela.	تحذير: هذه أداة تجريبية قيد التطوير. تم تحسينها ضمن مشروع veraai.eu لكنها قد لا تزال تحتوي على أخطاء أو مشاكل. استخدمها بحذر.	Warnung: Dies ist ein experimentelles Tool in der Entwicklung. Es wurde im Rahmen des veraai.eu-Projekts verbessert, kann aber weiterhin Fehler oder Bugs enthalten. Verwenden Sie es mit Vorsicht.	警告: これは開発中の実験的なツールです。veraai.euプロジェクト内で改良されましたが、まだバグやエラーがある可能性があります。注意して使用してください。	Figyelem: ez egy fejlesztés alatt álló kísérleti eszköz. A veraai.eu projekt keretében fejlesztették tovább, de előfordulhatnak benne hibák vagy működési rendellenességek. Használja körültekintéssel.	Aviso: esta é uma ferramenta experimental em desenvolvimento. Ela foi aprimorada dentro do projeto veraai.eu, mas ainda pode conter erros ou falhas. Use-a com cautela.	Upozorenje: ovo je eksperimentalni alat u razvoju. Poboljšan je unutar projekta veraai.eu, ali još uvijek može imati bugove ili pogreške. Koristite ga s oprezom.	Opozorilo: to je eksperimentalno orodje v razvoju. Izboljšano je bilo v okviru projekta veraai.eu, vendar lahko še vedno vsebuje napake ali hrošče. Uporabljajte ga previdno.
warning_beta_deepfake_video	Warning: this is an experimental tool under development. It has been improved within veraai.eu project but may still have bugs or errors. Use with caution. Always check if a previous video exists (with Keyframes). In case of doubt, try to use other third-party tools to confirm any result. Some cases of false positive have been reported, especially on videos with crowds and blurred faces in the footage background.	Avertissement : il s'agit d'un outil expérimental en cours de développement. Il a été amélioré dans le cadre du projet veraai.eu, mais peut encore présenter des bugs ou des erreurs. Utilisez-le avec prudence. Vérifiez toujours si une vidéo précédente existe (avec des images clés). En cas de doute, essayez d'utiliser d'autres outils tiers pour confirmer tout résultat. Certains cas de faux positifs ont été signalés, en particulier sur des vidéos avec des foules et des visages flous en arrière-plan des images.	Advertencia: esta es una herramienta experimental en desarrollo. Ha sido mejorada dentro del proyecto veraai.eu, pero aún puede tener errores o fallos. Úsala con precaución. Siempre verifica si existe un video anterior (con fotogramas clave). En caso de duda, intenta usar otras herramientas de terceros para confirmar cualquier resultado. Se han reportado algunos casos de falsos positivos, especialmente en videos con multitudes y rostros borrosos en el fondo de las imágenes.	Προειδοποίηση: Αυτό είναι ένα πειραματικό εργαλείο υπό ανάπτυξη. Έχει βελτιωθεί στο πλαίσιο του έργου veraai.eu, αλλά μπορεί ακόμα να έχει σφάλματα ή λάθη. Χρησιμοποιήστε το με προσοχή. Πάντα ελέγξτε αν υπάρχει ένα προηγούμενο βίντεο (με κλειδιά πλαίσια). Σε περίπτωση αμφιβολίας, δοκιμάστε να χρησιμοποιήσετε άλλα εργαλεία τρίτων για να επιβεβαιώσετε οποιοδήποτε αποτέλεσμα. Έχουν αναφερθεί μερικές περιπτώσεις ψευδών θετικών, ιδιαίτερα σε βίντεο με πλήθη και θαμπά πρόσωπα στο φόντο των πλαισίων.	Avviso: questo è uno strumento sperimentale in fase di sviluppo. È stato migliorato nell'ambito del progetto veraai.eu, ma potrebbe ancora contenere bug o errori. Usalo con cautela. Controlla sempre se esiste un video precedente (con keyframe). In caso di dubbio, prova a utilizzare altri strumenti di terze parti per confermare qualsiasi risultato. Alcuni casi di falsi positivi sono stati segnalati, specialmente su video con folle e volti sfocati nello sfondo del filmato.	Opozorilo: to je eksperimentalno orodje v razvoju. Izboljšano je bilo v okviru projekta veraai.eu, vendar lahko še vedno vsebuje napake ali hrošče. Uporabljajte ga previdno. Vedno preverite, ali obstaja prejšnji video (s ključnimi sličicami). V primeru dvoma poskusite uporabiti druga orodja tretjih oseb za potrditev rezultatov. Poročali so o nekaterih primerih lažno pozitivnih rezultatov, zlasti pri videoposnetkih z množicami in zamegljenimi obrazi v ozadju posnetka.	Warnung: Dies ist ein experimentelles Tool in Entwicklung. Es wurde im Rahmen des veraai.eu-Projekts verbessert, kann aber immer noch Fehler oder Bugs enthalten. Verwenden Sie es mit Vorsicht. Überprüfen Sie immer, ob ein früheres Video vorhanden ist (mit Keyframes). Im Zweifelsfall versuchen Sie, andere Drittanbieter-Tools zu verwenden, um ein Ergebnis zu bestätigen. Es wurden einige Fälle von Fehlalarmen gemeldet, insbesondere bei Videos mit Menschenmengen und unscharfen Gesichtern im Hintergrund des Filmmaterials.	警告: これは開発中の実験的なツールです。veraai.euプロジェクト内で改良されましたが、まだバグやエラーがある可能性があります。注意して使用してください。常に以前のビデオが存在するかどうかを確認してください（キーフレームを使用）。疑わしい場合は、他のサードパーティツールを使用して結果を確認してください。特に群衆やぼやけた顔が背景にあるビデオでは、いくつかの誤検知が報告されています。	Figyelem: ez egy fejlesztés alatt álló kísérleti eszköz. A veraai.eu projekt keretében fejlesztették tovább, de előfordulhatnak benne hibák vagy működési rendellenességek. Használja körültekintéssel. Mindig ellenőrizze, hogy létezik-e korábbi videó (kulcsképkockákkal). Kétség esetén próbáljon más külső eszközöket használni az eredmény megerősítéséhez. Néhány esetben hamis pozitív eredményt jelentettek, különösen tömeges videóknál és elmosódott arcoknál a felvétel hátterében.	Aviso: esta é uma ferramenta experimental em desenvolvimento. Ela foi aprimorada dentro do projeto veraai.eu, mas ainda pode conter erros ou falhas. Use-a com cautela. Sempre verifique se existe um vídeo anterior (com keyframes). Em caso de dúvida, tente usar outras ferramentas de terceiros para confirmar qualquer resultado. Alguns casos de falsos positivos foram relatados, especialmente em vídeos com multidões e rostos borrados no fundo da filmagem.	Upozorenje: ovo je eksperimentalni alat u razvoju. Poboljšan je unutar projekta veraai.eu, ali još uvijek može imati bugove ili pogreške. Koristite ga s oprezom. Uvijek provjerite postoji li prethodni video (s ključnim kadrovima). U slučaju sumnje, pokušajte koristiti druge alate trećih strana za potvrdu bilo kojeg rezultata. Neki slučajevi lažno pozitivnih rezultata su prijavljeni, posebno kod videozapisa s gomilom i zamagljenim licima u pozadini snimke.
warning_beta_synthetic_image_detection	This is a beta version tool aiming to detect synthetic images generated through Dall-E, Midjourney or other kind of Diffusion models. A probability equal or above 70% is considered a detection.	C'est un outil en version bêta pour détecter des images synthétiques générées par Dall-E, Midjourney ou d'autres modèles de Diffusion. Une probabilité égale ou supérieure à 70% est considérée comme une détection.	Se trata de una herramienta en versión beta para detectar imágenes sintéticas generadas por Dall-E, Midjourney y otros modelos de Difusión. Una probabilidad igual o superior al 70% se considera una detección.	Αυτό είναι ένα εργαλείο έκδοσης beta που στοχεύει στον εντοπισμό συνθετικών εικόνων που δημιουργούνται μέσω Dall-E, Midjourney ή άλλου είδους μοντέλων Diffusion. Πιθανότητα ίση ή μεγαλύτερη από 70% θεωρείται ανίχνευση.	Si tratta di uno strumento in versione beta che mira a rilevare immagini sintetiche generate tramite Dall-E, Midjourney o altri tipi di modelli di diffusione. Una probabilità uguale o superiore al 70% è considerata una rilevazione.	يعتبر الاحتمال الذي يساوي أو يزيد عن 70٪ اكتشافًاهذه أداة إصدار تجريبي تهدف إلى اكتشاف الصور الاصطناعية التي تم إنشاؤها من خلال Dall-E أو Midjourney أو أي نوع آخر من نماذج Diffusion.	Hierbei handelt es sich um eine Beta-Version, das darauf abzielt, synthetische Bilder zu erkennen, die durch Dall-E, Midjourney oder andere Arten von Diffusionsmodellen generiert wurden. Eine Wahrscheinlichkeit von 70% oder höher gilt als Erkennung.	Dall-E、Midjourney、その他生成された合成画像を検出することを目的としたベータ版ツールです。 70%以上の確率となったものが検出されたとみなされます。	Ez egy béta verziós eszköz, amely célja a Dall-E, Midjourney vagy más típusú diffúziós modellek által generált szintetikus képek észlelése. A 70%-os vagy afeletti valószínűség észlelésnek minősül.	Trata-se de uma ferramenta em versão beta para detectar imagens sintéticas geradas por Dall-E, Midjourney e outros modelos de Difusão. Uma probabilidade igual ou superior a 70% é considerada uma detecção.	Ovo je alat u beta verziji čiji je cilj detektirati sintetičke slike generirane putem Dall-E, Midjourney ili drugih vrsta difuzijskih modela. Vjerojatnost jednaka ili veća od 70% smatra se detekcijom.	To je beta različica orodja, namenjenega zaznavanju sintetičnih slik, ustvarjenih z Dall-E, Midjourney ali drugimi vrstami difuzijskih modelov. Verjetnost, enaka ali večja od 70 %, se šteje za zaznavo.
warning_c2pa_synthetic_image_detection	This detector also looks for C2PA GenAI metadata and will display them if they are found.	Ce détecteur recherche également les métadonnées GenAI C2PA et les affichera si elles sont trouvées.	Este detector también busca metadatos GenAI C2PA y los mostrará si se encuentran.	Αυτός ο ανιχνευτής αναζητά επίσης μεταδεδομένα GenAI C2PA και θα τα εμφανίσει αν βρεθούν.	Questo rilevatore cerca anche i metadati GenAI C2PA e li mostrerà se vengono trovati.	يبحث هذا الكاشف أيضًا عن بيانات C2PA GenAI الوصفية وسيعرضها إذا تم العثور عليها.	Dieser Detektor sucht auch nach C2PA GenAI-Metadaten und zeigt sie an, wenn sie gefunden werden.	この検出器はC2PA GenAIメタデータも探し、見つかった場合は表示します。	Ez az érzékelő a C2PA GenAI metaadatokat is keresi, és megjeleníti őket, ha megtalálja.	Este detector também procura metadados GenAI C2PA e os exibirá se forem encontrados.	Ovaj detektor također traži C2PA GenAI metapodatke i prikazat će ih ako se pronađu.	Ta detektor išče tudi metapodatke C2PA GenAI in jih bo prikazal, če jih najde.
