	en	fr	es	el	ar	de	ja	hu
title	Twitter Conversation	Conversation Twitter	Conversación de Twitter	Twitter συνομιλία	محادثة تويتر		ツイッターでの会話	Twitter-beszélgetés
description	It explores and analyzes the replies of a tweet classifying them, offering statistics and tools to filter the tweet responses.	Il explore et analyse les réponses d'un Tweet les classant, offrant des statistiques et des outils pour filtrer les réponses Tweet.	Explora y analiza las respuestas de un tweet clasificándolas, ofreciendo estadísticas y herramientas para filtrar las respuestas de Tweet.	Εξετάζει και αναλύει τις απαντήσεις ενός Tweet που τους χαρακτηρίζει, προσφέροντας στατιστικά στοιχεία και εργαλεία για τη διήθηση των απαντήσεων Tweet.	يستكشف ويحلل ردود التغريدة ويصنفها ، ويقدم إحصائيات وأدوات لتصفية ردود التغريدات.		ツイッターの返信について分析、分類、統計化するツールを提供します	Ez a poszta adott válaszokat elemzi és osztályozza, statisztikákat és szűrési lehetőségeket kínálva.
section_explore_from	Tweet to analyse	Tweet à analyser	Tweet para analizar	Tweet για να αναλύσετε	تغريدة للتحليل		解析するツイート	Elemzendő Tweet
section_tweet_summary	Tweet	Tweet	Pío	Τιτίβισμα	تغريدة 		ツイート	Tweet
section_replies_explorer	Responses	Réponses	Respuestas	Απαντήσεις	استجابات		応答	Válaszok
section_statistics	Statistics	Statistiques	Estadísticas	Στατιστική	إحصائيات		統計	Statisztikák
button_explore_tweet	Analyse Tweet	Analyser Tweet	Analizar tweet	Αναλύστε το Tweet	تحليل تغريدة		ツイートを解析する	Tweet elemzése
button_explore_parent	Analyse Parent Tweet	Analyser le parent Tweet	Analizar Padre Tweet	Αναλύστε το γονικό tweet	تحليل التغريدة الأساسية 		元ツイートを解析する	Beszélgetésindító poszt elemzése
button_explore_root	Analyse Root Tweet...	Analyser la racine Tweet ...	Analizar la raíz Tweet ...	Αναλύστε το Tweet ρίζας ...	تحليل أصل التغريدة 		ルートツイートを解析...	Gyökér Tweet elemzése...
button_refresh	Refresh	Rafraîchir	Actualizar	Φρεσκάρω	تحديث		リフレッシュ	Frissítés
urlbox	What is the URL of the Tweet you want to start exploring from?	Quelle est l'URL du tweet que vous voulez commencer à explorer?	¿Cuál es la URL del Tweet que desea comenzar a explorar?	Ποια είναι η διεύθυνση URL του Tweet που θέλετε να αρχίσετε να εξερευνήσετε;	ما هو عنوان URL للتغريدة التي تريد بدء الاستكشاف منها؟		調査を開始したいツイートの URL は?	Melyik Tweet URL-jéről szeretnél indulni az elemzéshez?
urlbox_placeholder	Paste the Tweet URL here	Coller l'URL Tweet ici	Pegar la URL de Tweet aquí	Επικολλήστε τη διεύθυνση URL Tweet εδώ	الصق عنوان URL للتغريدة هنا		ここにツイートの URL を貼り付けます	Illeszd be ide a Tweet URL-jét
summary_no_replies	No one has replied to this tweet so there is no further analysis we can perform.	Personne n'a répondu à ce tweet afin qu'il n'y a pas d'analyse plus poussée que nous puissions effectuer.	Nadie ha respondido a este Tweet, por lo que no hay más análisis que podamos realizar.	Κανείς δεν απάντησε σε αυτό το tweet, έτσι δεν υπάρχει άλλη ανάλυση που μπορούμε να εκτελέσουμε.	لم يرد أحد على هذه التغريدة، لذا لا يوجد تحليل آخر يمكننا القيام به.		このツイートには返信がないため、これ以上の分析はできません	Nem érkezett válasz erre a Tweetre, így további elemzés nem végezhető.
summary_histogram_day	All the replies occurred on the same day so the pie chart gives a clearer breakdown than a histogram would.	Toutes les réponses ont eu lieu le même jour pour que le graphique à secteurs donne une panne plus claire qu'un histogramme.	Todas las respuestas ocurrieron en el mismo día, por lo que el gráfico circular le da un desglose más claro que un histograma.	Όλες οι απαντήσεις εμφανίστηκαν την ίδια μέρα, έτσι ώστε το διάγραμμα πίτας να δίνει μια σαφέστερη κατανομή από ένα ιστόγραμμα.	حدثت جميع الردود في نفس اليوم، لذا فإن المخطط الدائري يعطي تفصيلا أو تصورا أوضح من الرسم البياني.		すべての返信は同じ日に行われたため、円グラフの方がヒストグラムよりも明確な内訳を示しています。	Minden válasz ugyanazon a napon érkezett, így a kördiagram világosabb bontást ad, mint a hisztogram.
summary_hashcloud	"The ${hashtagCloud.length !== 100 ? ""hashtags"" : ""top 100 hashtags""} appearing within the selected replies:"	"Le $ {hashtagcloud.length! == 100? ""HASHTAGS"": ""TOP 100 HASHTAGS""} apparaissant dans les réponses sélectionnées:"	"El $ {hashtagcloud.length! == 100? ""Hashtags"": ""Top 100 hashtags""} aparece dentro de las respuestas seleccionadas:"	"Το $ {hashtagcloud.light! == 100; ""Hashtags"": ""Top 100 Hashtags""} Εμφανίζονται εντός των επιλεγμένων απαντήσεων:"	"$ {hashtagcloud.length! == 100؟ ""علامات الوسم"": ""أفضل 100 نتيجة من البحث في الوسم، تظهر ضمن الردود المحددة:"		"${hashtagCloud.length !== 100 ? ""hashtags"" : ""上位 100 のハッシュタグ""} 選択した返信内に表示されます:"	A kiválasztott válaszokban szereplő hashtag-ek:
table_description_users	"The ${Object.keys(users).length === 10 ? ""ten most active"" : """"} users within the selected replies:"	"Le $ {objet.keys (utilisateurs) .Longueur === 10? ""Dix les plus actifs"": """"} utilisateurs dans les réponses sélectionnées:"	"Los $ {objetos.Keys (Usuarios) .longitud === 10? ""Diez más activos"": """"} Usuarios dentro de las respuestas seleccionadas:"	"Το $ {object.Keys (χρήστες). Μήκος === 10; ""Δέκα πιο ενεργά"": """"} Χρήστες εντός των επιλεγμένων απαντήσεων:"	"$ {object.keys (المستخدمين) .Length === 10؟ ""عشرة أكثر نشاطًا"": """"} المستخدمون ضمن الردود المحددة:"		"${Object.keys(users).length === 10 ? ""最もアクティブな 10 人"" : 選択した返信内の """"} ユーザー:"	A kiválasztott válaszokban szereplő tíz legaktívabb felhasználó:
