en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
forensic_title	Image forensic analysis	Analyse forensic d'image	Análisis forensic de imagen	Ανάλυση Αυθεντικότητας Εικόνων (image forensics)	Analisi forense dell'immagine	تحليل الصورة الرقمي	Forensische Bildanalyse	画像フォレンジック解析	Digitális képelemzés	Análise forense de imagem	Forenička analiza slike	Forenzična analiza slike
forensic_input	Image URL link	Lien URL de l'image	Enlace URL de la imagen	Σύνδεσμος διεύθυνσης URL εικόνας	Image URL link	رابط عنوان URL للصورة	Bild -URL -Link	画像URLリンク	Kép URL-linkje	Link URL da imagem	URL veze slike	Povezava URL slike
button_localfile	Local file	Fichier local	Fichero local	Τοπικό αρχείο	File locale	ملف محلي	Lokale Datei	ローカルファイル	Helyi fájl	Arquivo local	Lokalna datoteka	Lokalna datoteka
button_submit	Analyze	Analyser	Analizar	Αναλύει	Analizzare	تحليل	Analysieren	解析する	Elemzés	Analisar	Analiziraj	Analiziraj
cardheader_source	Image link or file	Lien de l'image ou fichier	Enlace de la imagen o fichero	Σύνδεσμος ή αρχείο εικόνας	Link o file di immagine	رابط الصورة أو الملف	Bildlink oder Datei	画像リンクまたはファイル	Képlink vagy fájl	Link da imagem ou arquivo	Veza slike ili datoteka	Povezava ali datoteka slike
linkmode_title	Link mode	Lien	Enlace	Λειτουργία σύνδεσης	Modalità collegamento	حالة الرابط	Linkmodus	リンクモード	Link mód	Link	Način veze	Način povezave
linkmode_description	Provide a URL Link towards a jpeg / jpg image	Fournissez un lien d'une image jpeg / jpg	Proporcione un enlace hacia un fichero jpeg / jpg	Παρέχετε μια σύνδεση URL προς μια εικόνα JPEG / JPG	Fornire un collegamento URL verso un'immagine JPEG / JPG	توفير رابط عنوان URL نحو صورة JPEG / JPG	Geben Sie einen URL -Link zu einem JPEG / JPG -Bild an	jpeg / jpg 画像への URL リンクを提供します	URL-link megadása jpeg / jpg képhez	Forneça um link para um arquivo jpeg/jpg	Dajte URL vezu prema jpeg / jpg slici	Vnesite URL povezavo do slike jpeg / jpg
filemode_title	File mode	Fichier	Fichero	Λειτουργία αρχείου	Modalità file	وضع الملف	Dateimodus	ファイルモード	Fájl mód	Arquivo	Način datoteke	Način datoteke
filemode_description	The image to analyze is provided with a local file	L'image à analyser est un fichier local	La imagen a analizar es un fichero local	Η εικόνα για ανάλυση είναι εφοδιασμένη με ένα τοπικό αρχείο	L'immagine da analizzare è dotata di un file locale	الصورة المراد مسحها ضوئيا هي ملف محليالصورة المراد تحليلها هي ملف محلي	Das zu analysierende Bild wird mit einer lokalen Datei versehen	解析する画像はローカルファイルで提供されます	Az elemezni kívánt képet helyi fájllal adjuk meg	A imagem a ser analisada é um arquivo local	Slika za analizu je pružena s lokalnom datotekom	Slika za analizo je na voljo kot lokalna datoteka
please_give_a_correct_link	Please give a correct link	Donner un lien valide s'il vous plaît	Por favor, dé un enlace válido	Παρακαλώ δώστε σωστό σύνδεσμο	Si prega di fornire un corretto collegamento	يرجى إعطاء رابط صحيح	Bitte geben Sie einen korrekten Link an	正しいリンクを貼ってください	Kérjük, adjon meg egy helyes linket	Por favor, forneça um link válido	Molimo dajte ispravnu vezu	Prosimo, vnesite pravilno povezavo
