	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
navbar_tools	Tools	Outils	Herramientas	Εργαλεία	Strumenti	الأدوات	Werkzeuge	ツール	Eszközök	Ferramentas	Alati	Orodja	Алати
navbar_analysis_video	Video analysis	Analyse Vidéo	Análisis de vídeo	Βίντεο ανάλυση	Analisi video	تحليل الفيديو	Videoanalyse	動画解析	Videóelemzés	Análise de vídeo	Analiza videozapisa	Video analiza	Анализа видео снимка
navbar_analysis_image	Image analysis	Analyse d'image	Análisis de imagen	ανάλυση εικόνας	Analisi dell'immagine	تحليل الصور	Bildanalyse	画像解析	Képelemzés	Análise de imagem	Analiza slike	Analiza slike	Анализа слике
navbar_keyframes	Keyframes	Images clés	Fotogramas clave	Χαρακτηριστικά καρέ	Fotogrammi chiave	إطارات المفاتيح	Keyframes	キーフレーム	Kulcskockák	Keyframes	Ključni kadrovi	Ključne sličice	Кључни кадрови
navbar_thumbnails	Thumbnails	Imagettes	Miniaturas	Μικρογραφίες	Thumbnails	الصورة المصغرة (صورة الغلاف)	Thumbnails	サムネイル	Bélyegképek	Miniaturas	Minijature	Sličice	Минијатуре
navbar_twitter	X search	Recherche X	Búsqueda X	X Αναζήτηση	X Ricerca	البحث في إكس	X-Suche	X検索	X-keresés	Busca X	X pretraživanje	X iskanje	X претрага
navbar_magnifier	Magnifier	Loupe	Lupa	Μεγεθυντικός φακός	Lente d'ingrandimento	المكبر	Lupe	拡大レンズ	Nagyító	Lupa	Povećalo	Povečevalno steklo	Повећало
navbar_metadata	Metadata	Metadonnées	Metadatos	Μεταδεδομένα	Metadati	البيانات الوصفية	Metadaten	メタデータ	Metaadatok	Metadados	Metapodaci	Metapodatki	Метаподаци
navbar_metadata_video	Metadata	Metadonnées	Metadatos	Μεταδεδομένα	Metadati	البيolata الوصفية	Metadaten	メタデータ	Metaadatok	Metadados	Metapodaci	Metapodatki	Метаподаци
navbar_metadata_image	Metadata	Metadonnées	Metadatos	Μεταδεδομένα	Metadati	البيانات الوصفية	Metadaten	メタデータ	Metaadatok	Metadados	Metapodaci	Metapodatki	Метаподаци
navbar_rights	Video rights	Droits vidéo	Derechos del video	Βίντεο δικαιώματα	Diritti video	حقوق الفيديو	Videorechte	動画の権利	Videójogok	Direitos do vídeo	Prava na videozapis	Video pravice	Права на видео снимак
navbar_forensic	Forensic	Forensic	Forensic	Αυθεντικότητα εικόνων	Forensic	التحقق الرقمي	Forensische Untersuchung	フォレンジック分析	Digitális elemzés	Forense	Forenzika	Forenzika	Форензика
navbar_twitter_sna	Twitter SNA.	Twitter SNA.	Twitter SNA.	Twitter SNA.	Twitter SNA.	Twitter SNA.	Netzwerkanalyse Twitter/X	ツイッターSNA	Twitter SNA.	Twitter SNA.	Twitter SNA.	Twitter SNA.	Twitter SNA.
navbar_sna	Social Network Analysis	Analyse des réseaux sociaux	Análisis de redes sociales	Ανάλυση κοινωνικών δικτύων	Analisi delle reti sociali	تحليل الشبكات الاجتماعية	Soziale Netzwerkanalyse	ソーシャルネットワーク分析	Társadalmi hálózatelemzés	Análise de Redes Sociais	Analiza društvenih mrež	Analiza družbenih omrežij	Анализа друштвених мрежа
navbar_ocr	OCR	OCR	OCR	OCR	OCR	OCR	Texterkennung	OCR	Szövegfelismerés	OCR	OCR	OCR	OCR
navbar_covidsearch	Factchecks	Factchecks	Factchecks	Ελέγχοι	FactChecks	تدقيق المعلومات	Faktenchecks	ファクトチェック	Tényellenőrzések	Verificações de fatos	Provjere činjenica	Preverjanje dejstev	Провере чињеница
navbar_xnetwork	XNetwork	XNetwork	XNetwork	XNetwork	Xnetwork	Xnetwork	Mehrfachsuche	Xネットワーク	Xnetwork	Xnetwork	XNetwork	XNetwork	XNetwork
navbar_mgt	Machine Generated Text	Texte généré par IA	Texto generado por IA	Κείμενο που δημιουργήθηκε από τεχνητή νοημοσύνη	Testo generato dall’IA	نص تم إنشاؤه بواسطة الذكاء الاصطناعي	Text von KI generiert	AI生成テキスト	Mesterséges intelligencia által generált szöveg	Texto gerado por IA	Strojno generirani tekst	Strojno ustvarjeno besedilo	Стројно генерисан текст
navbar_gif	CheckGif	CheckGif	CheckGif	CheckGif	Checkgif	CheckGif	Checkgif	CheckGif	CheckGif	CheckGif	CheckGif	CheckGif	CheckGif
navbar_twitter_sna_description	It performs social network analysis on Twitter (on registration; deprecated since July 1st 2023 due to X/Twitter code changes)	Fournit un outil d'analyse de réseau social sur X/Twitter (sur enregistrement; en panne depuis le 1er juillet 2023 à cause de changements de code chez Twitter)	Provee una herramiento de análisis de redes sociales en Twitter (con registro; fuera de servicio desde el 1 de Julio 2023 por un cambio de codigo de Twitter)	Η ανάλυση των κοινωνικών δικτύων στο Twitter (με την εγγραφή, καταργήθηκε από την 1η Ιουλίου 2023 λόγω αλλαγών στον κώδικα Twitter)	Esegue l'analisi dei social network su Twitter (disponibile sulla registrazione; deprecato dal 1° luglio 2023 a causa delle modifiche al codice di Twitter)	يقوم بتحليل شبكة التواصل الاجتماعية تويتر (متاح عند التسجيل ؛ تم إيقاف العمل به منذ الأول من تموز (يوليو) 2023 بسبب تغييرات رمز تويتر)	Es führt eine soziale Netzwerkanalyse auf Twitter durch (Registrierung notwendig; seit dem 1. Juli 2023 aufgrund von Änderungen des Twitter-Codes verschlechtert).	Twitter でソーシャルネットワーク分析を実行します（X/Twitterはコード変更により2023年7月1日以降は非推奨）	Közösségi hálózat elemzést végez a Twitteren (2023. július 1. óta elavult az X/Twitter kódváltozásai miatt)	Fornece uma ferramenta de análise de redes sociais no Twitter (com registro; fora de serviço desde 1 de julho de 2023 devido a uma mudança no código do Twitter)	Izvodi analizu društvenih mreža na Twitteru (uz registraciju; zastarjelo od 1. srpnja 2023. zbog promjena koda X/Twittera)	Izvaja analizo družbenega omrežja na Twitterju (ob registraciji; zastarelo od 1. julija 2023 zaradi sprememb kode X/Twitter).	Извршава анализу друштвених мрежа на Twitter-у (уз регистрацију; застарело од 1. јула 2023. због промена кода X/Twitter-а)
navbar_sna_description	Tools to capture, upload and analyze data from social media	Outils pour capturer, télécharger et analyser des données provenant des réseaux sociaux	Herramientas para capturar, subir y analizar datos de redes sociales	Εργαλεία για τη συλλογή, αποστολή και ανάλυση δεδομένων από τα μέσα κοινωνικής δικτύωσης	Strumenti per acquisire, caricare e analizzare dati dai social media	أدوات لالتقاط البيانات من وسائل التواصل الاجتماعي وتحميلها وتحليلها	Werkzeuge zum Erfassen, Hochladen und Analysieren von Daten aus sozialen Medien	ソーシャルメディアからのデータを収集、アップロード、分析するためのツール	Közösségi médiából származó adatok rögzítésére, feltöltésére és elemzésére szolgáló eszközök	Ferramentas para capturar, carregar e analisar dados das redes sociais	Alati za snimanje, prijenos i analizu podataka s društvenih medija	Orodja za zajemanje, nalaganje in analizo podatkov iz družbenih medijev	Алати за снимање, отпремање и анализу података са друштвених медија
navbar_disinfo_deck	Disinformation Monitoring Dashboard	Tableau de bord de surveillance de la désinformation	Panel de monitoreo de desinformación	Πίνακας παρακολούθησης παραπληροφόρησης	Cruscotto di monitoraggio della disinformazione	لوحة مراقبة المعلومات المضللة	Überwachungs-Dashboard für Desinformation	偽情報監視ダッシュボード	Dezinformációfigyelő irányítópult	Painel de monitoramento de desinformação	Nadzorna ploča za praćenje dezinformacija	Nadzorna plošča za spremljanje dezinformacij	Надзорна плоча за праћење дезинформација
navbar_archiving	Archiving	Archivage	Archivo	Αρχειοθέτηση	Archivio	الأرشفة	Archivierung	アーカイブ	Archiválás	Arquivo	Arhiviranje	Arhiviranje	Архивирање
navbar_analysis_description	It brings you the contextual information of a Youtube video. Twitter and Facebook do not work anymore due to changes of API policy.	Vous apporte les informations contextuelles d'une vidéo de Youtube. Twitter et Facebook ne fonctionnent plus en raison de changements de politique d'accès à leurs contenus.	Le ofrece la información del contexto de un vídeo de Youtube. Twitter y Facebook dejaron de funcionar debido a un cambio de politica de accesso.	Ανάλυση σας φέρνει την συναφείς πληροφορίες από το YouTube.	Ti porta le informazioni contestuali di un video di Youtube. Twitter e Facebook non funzionano più a causa di un cambiamento nella sua politica di accesso ai contenuti	يقدم لك المعلومات السياقية لفيديو يوتيوب أو فيسبوك عام. لا يعمل تويتر بعد الآن بسبب تغيير سياسة واجهة برمجة التطبيقات الخاصة بهم (API).	Liefert Ihnen den Kontext eines Videos auf Youtube. Twitter/X und Facebook funktionieren aufgrund einer Änderung ihrer API-Richtlinie nicht mehr.	Youtubeの公開ビデオの情報を提供します。TwitterやFacebookはAPIポリシーの変更により機能しなくなりました。	Megjeleníti egy Youtube videó kontextuális információit. A Twitter és a Facebook az API irányelv változásai miatt már nem működik.	Oferece as informações do contexto de um vídeo do Youtube. Twitter e Facebook deixaram de funcionar devido a uma mudança na política de acesso.	Donosi vam kontekstualne informacije YouTube videozapisa. Twitter i Facebook više ne rade zbog promjena u politici API-ja.	Prinaša vam kontekstualne informacije o videoposnetku Youtube. Twitter in Facebook ne delujeta več zaradi sprememb politike API.	Доноси вам контекстуалне информације YouTube видео снимка. Twitter и Facebook више не раде због промена политике API-ја.
navbar_analysis_image_description	It brings you contextual information of an image posted on Facebook.	Vous apporte des informations contextuelles de photos postées sur Facebook.	Le ofrece la información del contexto de una imagen en Facebook.	Η ανάλυση εικόνας σας φέρνει την συναφείς πληροφορίες μιας εικόνας	Ti fornische immagini contestuali su Facebook.	يوفر معلومات سياقية لصور منشورة على تويتر أو فيسبوك	Es bringt Ihnen kontextbezogene Informationen zu einem auf Facebook geposteten Bild.	Facebook に投稿された画像のコンテキスト情報を提供します。	Megjeleníti a Facebookon közzétett kép kontextuális információit.	Oferece as informações do contexto de uma imagem no Facebook.	Donosi vam kontekstualne informacije slike objavljene na Facebooku.	Prinaša vam kontekstualne informacije o sliki, objavljeni na Facebooku.	Доноси вам контекстуалне информације слике објављене на Facebook-у.
navbar_keyframes_description	This tool fragments public videos (from Facebook, TikTok, YouTube, X) into keyframes to conduct reverse image searches. Warning: social media platforms are making it increasingly difficult to process videos. If you get an error message, please download the video to your desktop, then click on upload file.	Cela fragmente une vidéo publique (Facebook, TikTok, YouTube, X) en images clés pour une recherche d’image inversée. Avertissement : les plateformes rendent de plus en plus difficile le traitement des vidéos. En cas de message d’erreur, envisagez de télécharger la vidéo et d’utiliser le mode fichier.	Fragmenta un video público (Facebook, TikTok, YouTube, X) en fotogramas clave para una búsqueda inversa de imágenes. Advertencia: las plataformas están dificultando el procesamiento de videos. En caso de mensaje de error, considere descargar el video y usar el modo archivo.	Κατακερματίζει ένα δημόσιο βίντεο (Facebook, TikTok, YouTube, X) σε βασικά καρέ για αντίστροφη αναζήτηση εικόνας. Προειδοποίηση: οι πλατφόρμες δυσκολεύουν την επεξεidéτηση των βίντεο. Σε περίπτωση σφάλματος, κατεβάστε το βίντεο και χρησιμοποιήστε τη λειτουργία αρχείου.	Suddivide un video pubblico (Facebook, TikTok, YouTube, X) in fotogrammi chiave per la ricerca inversa de imagens. Avviso: as plataformas estão dificultando o processamento de vídeos. Em caso de erro, baixe o vídeo e use o modo arquivo.	يقوم هذا الأداة بتقسيم فيديو عام (Facebook, TikTok, YouTube، X) إلى لقطات مفتاحية للبحث العكسي عن الصور. تحذير: أصبحت المنصات تجعل معالجة الفيديوهات أكثر صعوبة. في حال ظهور رسالة خطأ، يُرجى تنزيل الفيديو واستخدام وضع الملف.	Es zerlegt ein öffentliches Video (Facebook, TikTok, YouTube, X) in Schlüsselbilder zur Rückwärtssuche. Warnung: Plattformen erschweren zunehmend die Videoverarbeitung. Bei einer Fehlermeldung laden Sie bitte das Video herunter und verwenden Sie den Dateimodus.	Facebook、TikTok、YouTube、X の公開動画をキーフレームに分割して、画像の逆検索を行います。警告：プラットフォームによって動画の処理が難しくなってきています。エラーメッセージが表示された場合は、動画をダウンロードしてファイルモードを使用してください。	Felbontja a nyilvános videókat (Facebook, TikTok, YouTube, X) kulcskockákra a fordított képkereséshez. Figyelem: a platformok egyre nehezebbé teszik a videók feldolgozását. Hibaüzenet esetén kérjük, töltse le a videót, és használja a fájl módot.	Fragmenta um vídeo público (Facebook, TikTok, YouTube, X) em frames-chave para busca reversa de imagens. Aviso: as plataformas estão dificultando o processamento de vídeos. Em caso de erro, considere baixar o vídeo e usar o modo de arquivo.	Fragmentira javni video (Facebook, TikTok, YouTube, X) u ključne kadrove za obrnutu pretragu slika. Upozorenje: platforme otežavaju obradu videozapisa. U slučaju poruke o pogrešci, razmislite o preuzimanju videozapisa i korištenju datotečnog načina rada.	Javni videoposnetek (Facebook, TikTok, YouTube, X) razdeli na ključne sličice za iskanje slik v obratni smeri. Opozorilo: platforme vse bolj otežujejo obdelavo videoposnetkov. V primeru sporočila o napaki razmislite o prenosu videoposnetka in uporabi datotečnega načina.	Фрагментира јавни видео снимак (Facebook, TikTok, YouTube, X) у кључне кадрове за обрнуту претрагу слика. Упозорење: платформе отежавају обраду видео снимака. У случају поруке о грешци, размислите о преузимању видео снимка и коришћењу датотечног начина рада.
navbar_thumbnails_description	It extracts and performs a reverse search of the thumbnails of a Youtube video	Extrait et effectue une recherche inverse des imagettes d'une vidéo de Youtube	Extrae y efectua una búsqueda inversa de las miniaturas de un vídeo de Youtube	Εξόρυξη και αντίστροφη αναζήτηση των thumbnails ενός βίντεο Youtube	Estrae ed esegue una ricerca inversa dei Thumbnails di un video di YouTube	يقوم باستخراج وإجراء بحث عكسي عن عناوين مقاطع فيديو يوتيوب	Extrahiert Thumbnails eines YouTube-Videos und führt eine Rückwärtssuche danach durch.	Youtube動画のサムネイルを抽出して画像検索します	Kinyeri és fordított keresést végez egy Youtube-videó előnézeti képén.	Extrai e efetua uma busca reversa das miniaturas de um vídeo do Youtube	Izdvaja i vrši obrnuto pretraživanje minijatura YouTube videozapisa.	Izvleče in izvede iskanje slik v obratni smeri za sličice videoposnetka Youtube	Издваја и врши обрнуто претраживање минијатура YouTube видео снимка.
navbar_twitter_description	It performs advanced search queries on X (ex-Twitter) including by time interval up to the minute	Recherche avancée sur X (ex-Twitter), y compris par intervalle de temps à la minute	Lanza consultas de búsqueda avanzada en X (ex-Twitter) incluyendo por intervalo de tiempo hasta el minuto	Μια φόρμα για να ξεκινήσει την προηγμένη ερωτήματα αναζήτησης στο X (ex-Twitter) μεταξύ άλλων μέσω χρονικό διάστημα μέχρι στιγμής	Esegue ricerca avanzata su Twitter, anche per intervallo di tempo al minuto	يقوم بإجراء بحث متقدم على تويتر، والذي يتيح تحديد الفترة الزمنية المعالجة حتى الثانية	Es führt erweiterte Suchabfragen auf X (Ex-Twitter) durch, einschließlich des Zeitintervalls bis zur Minute.	X (旧 Twitter) で高度な検索クエリを実行します	Speciális keresési lekérdezéseket végez az X-en (korábbi Twitter), beleértve a perc pontosságú időintervallumokat is	Lança consultas de busca avançada no X (ex-Twitter), incluindo por intervalo de tempo até o minuto	Izvodi napredne upite za pretraživanje na X-u (bivšem Twitteru) uključujući vremenski interval do minute.	Izvaja napredne poizvedbe za iskanje v omrežju X (nekdanji Twitter), vključno s časovnim intervalom do minute natančno	Извршава напредне упите за претраживање на X-у (бивши Twitter) укључујући временски интервал до минута.
navbar_magnifier_description	It provides a magnifying lens and a photo editor to help you examine an image thoroughly	Une loupe et un éditeur de photo pour examiner minutieusement une image	Provee una lente de aumento y un editor de foto para examinar a fondo una imagen	Ένας μεγεθυντικός φακός και ένα πρόγραμμα επεξεργασίας φωτογραφιών που σας βοηθά να εξετάσει σε βάθος μια εικόνα	Fornisce una lente di ingrandimento e un editor di foto per aiutarti a esaminare accuratamente un'immagine	يوفر عدسة مكبرة ومحرر صور لمساعدتك على فحص الصورة بدقة	Es bietet eine Lupe und einen Fotoeditor, mit dem Sie ein Bild gründlich untersuchen können.	画像を調べるのに役立つ拡大レンズとフォトエディターを提供します	Nagyítót és képszerkesztőt biztosít egy kép alapos vizsgálatához	Fornece uma lente de aumento e um editor de fotos para examinar a fundo uma imagem	Pruža povećalo i uređivač fotografija koji će vam pomoći temeljito pregledati sliku.	Zagotavlja povečevalno lečo in urejevalnik fotografij, ki vam pomagata temeljito pregledati sliko	Пружа повећало и уређивач фотографија који ће вам помоћи темељито прегледати слику.
navbar_metadata_description	It extract metadata for jpeg images and videos (in mp4 or m4v format)	Extrait les métadonnées pour les images JPEG et des vidéos (en format MP4 ou M4V)	Extrae metadatos para imágenes (jpeg) y vídeos (en formato m4v mp4)	Ένας απαγωγέας μεταδεδομένων για jpeg εικόνες και βίντεο (σε mp4 ή μορφή m4v)	Estrarre i metadati per immagini JPEG e video  (in formato MP4 o M4V)	يستخرج البيانات الوصفية لصور JPEG ومقاطع الفيديو (بتنسيق MP4 أو M4V)	Es extrahiert Metadaten aus JPEG-Bildern oder Videos in MP4 oder M4V-Format.	JPEG画像と動画のメタデータを抽出します（mp4またはm4v形式）	Metaadatokat nyer ki jpeg-képekből és videókhoz (mp4 vagy m4v formátumban)	Extrai metadados para imagens (jpeg) e vídeos (em formato m4v mp4)	Izdvaja metapodatke za jpeg slike i videozapise (u mp4 ili m4v formatu).	Izvleče metapodatke za slike jpeg in videoposnetke (v formatu mp4 ali m4v)	Издваја метаподатке за jpeg слике и видео снимке (у mp4 или m4v формату).
navbar_rights_description	It provides information about the legal rights of a Youtube or Twitter video	Fournit des informations sur les droits associés à une vidéo postée sur Youtube ou Twitter	Información sobre los derechos legales de un vídeo de Youtube o Twitter	Πληροφορίες σχετικά με τα νόμιμα δικαιώματα του Youtube ή το Twitter βίντεο	Fornisce informazioni sui diritti legali di un video Youtube o Twitter	يوفر معلومات حول الحقوق القانونية لمقطع فيديو على يوتيوب أو تويتر	Enthält Informationen über die Nutzungsrechte eines Videos auf YouTube.	YouTube または Twitter 動画の法的権利に関する情報を提供します	Információt nyújt egy Youtube- vagy Twitter-videó szerzői jogairól	Informações sobre os direitos legais de um vídeo do Youtube ou Twitter	Pruža informacije o zakonskim pravima YouTube ili Twitter videozapisa.	Zagotavlja informacije o zakonitih pravicah videoposnetka v YouTubu ali Twitterju	Пружа информације о законским правима YouTube или Twitter видео снимка.
navbar_forensic_description	It provides an enhanced toolkit to detect image forgeries	Une boîte à outils améliorée pour détecter les falsifications d'images	Provee un conjunto de herramientas mejorado para detectar falsificaciones en las imágenes	Μια ενισχυμένη εργαλειοθήκη για την ανίχνευση πλαστά εικόνα	Fornisce un toolkit avanzato per rilevare le falsificazioni di immagine	يوفر مجموعة أدوات محسّنة للكشف عن تزوير (تلاعب) الصور	Es bietet ein verbessertes Toolkit, um Bildfälschung zu erkennen	画像の改ざんを検出するためのツールキットを提供します	Továbbfejlesztett eszközkészletet biztosít a kép hamisítások észleléséhez	Fornece um conjunto de ferramentas melhorado para detectar falsificações nas imagens	Pruža poboljšani alat za otkrivanje krivotvorenja slika.	Zagotavlja izboljšan nabor orodij za odkrivanje ponaredkov slik	Пружа побољшани алат за откривање кривотворења слика.
navbar_covidsearch_description	It provides a customised search engine of Factchecks.	Un moteur de recherche personnalisé pour retrouver des factchecks.	Un motor personalizado de búsqueda de chequeos.	Μια προσαρμοσμένη μηχανή αναζήτησης σε ένταξη και debunks.	Fornisce un motore di ricerca personalizzato di factcheks	يوفر محرك بحث مخصص لتدقيق المعلومات	Es bietet eine individuelle Suchmaschine von FactenChecks.	ファクトチェック用にカスタマイズされた検索エンジンを提供します	Testreszabott keresőmotort biztosít a tényellenőrzésekhez.	Um motor personalizado de busca de verificações.	Pruža prilagođenu tražilicu provjera činjenica.	Zagotavlja prilagojen iskalnik preverjanj dejstev.	Пружа прилагођену претраживач провера чињеница.
navbar_xnetwork_description	It provides a customised search engine for cross-network queries.	Un moteur de recherche personnalisé pour les requêtes transversales entre plusieurs réseaux.	Un motor de búsqueda personalizado para consultas entre redes.	Μια προσαρμοσμένη μηχανή αναζήτησης για ερωτήματα cross-δίκτυο.	Fornisce un motore di ricerca personalizzato per query cross-network	يوفر محرك بحث مخصصًا للاستعلامات عبر الشبكة.	Es bietet eine individuelle Suchmaschine für Abfragen über Netrationen.	クロスネットワーククエリ用にカスタマイズされた検索エンジンを提供します	Testreszabott keresőmotort biztosít a hálózatok közötti lekérdezésekhez.	Um motor de busca personalizado para consultas entre redes.	Pruža prilagođenu tražilicu za unakrsne mrežne upite.	Zagotavlja prilagojen iskalnik za poizvedbe med omrežji.	Пружа прилагођену претраживач за унакрсне мрежне упите.
navbar_mgt_description	It detects whether the text has been generated by an LLM	Il détecte si le texte a été généré par un LLM	Detecta si el texto ha sido generado por un LLM	Ανιχνεύει αν το κείμενο έχει παραχθεί από ένα LLM	Rileva se il testo è stato generato da un LLM	يكتشف ما إذا تم إنشاء النص بواسطة نموذج لغوي كبير	Erkennt, ob der Text von einem LLM generiert wurde	このテキストが大規模言語モデル（LLM）によって生成されたかどうかを検出します	Észleli, hogy a szöveget egy LLM generálta-e	Detecta se o texto foi gerado por um LLM	Otkriva je li tekst generiran od strane LLM-a.	Zazna, ali je besedilo ustvaril LLM	Открива је ли текст генерисан од стране LLM-а.
navbar_ocr_description	It provides optical character recognition for texts in images	Une reconnaissance optique de caractères pour les textes dans les images.	Provee reconocimiento óptico de caracteres para textos en las imágenes	Οπτική αναγνώριση χαρακτήρων για εικόνες	Riconoscimento ottico dei caratteri per i testi nelle immagini	يوفر قدرة التعرف على الأحرف اواستخراجها من الصور	Es liefert optische Charaktererkennung für Texte in Bildern	画像内のテキストを検出します	Optikai karakterfelismerést biztosít a képek szövegeihez	Fornece reconhecimento óptico de caracteres para textos nas imagens	Pruža optičko prepoznavanje znakova za tekstove u slikama.	Zagotavlja optično prepoznavanje znakov za besedila v slikah	Пружа оптичко препознавање знакова за текстове у сликама.
navbar_gif_description	It compares an original image and a tampered one (including if the image has been cropped) and generates a GIF as output	Compare une image originale et une manipulée (y compris si l'image a été rognée) et génère en sortie une image gif	Compara una imagen original y una manipulada (incluyendo si la imagen ha sido recortada) y genera a la salida una imagen GIF	Δημιουργεί μια εικόνα GIF αποτελείται από μια πρωτότυπη εικόνα και μιας παραβιασμένης όνη (συμπεριλαμβανομένου του αν έχει περικοπεί η εικόνα)	Confronta un'immagine originale e una manomissione (inclusa se l'immagine è stata ritagliata) e genera un GIF come risultato	يقارن الصورة الأصلية والصورة التي تم التلاعب بها (بما في ذلك إذا تم اجتزاء الصورة) وينشئ صورة GIF كنتيجة	Es vergleicht ein Originalbild mit einem manipulierten (einschließlich, wenn das Bild beschnitten wurde) und erzeugt ein GIF als Ausgabe.	元の画像と改ざんされた画像 (画像がトリミングされているかどうかを含む) を比較し、調査結果としてGIFを作成します。	Összehasonlít egy eredeti képet és egy manipulált képet (beleértve, ha a képet levágták), és GIF-et generál kimenetként	Compara uma imagem original e uma manipulada (incluindo se a imagem foi recortada) e gera uma imagem GIF como saída	Uspoređuje originalnu sliku i izmijenjenu (uključujući ako je slika obrezana) i generira GIF kao izlaz.	Primerja originalno sliko in prirejeno sliko (vključno s tem, če je bila slika obrezana) in ustvari GIF kot izhod	Упоређује оригиналну слику и измењену (укључујући ако је слика обрезана) и генерише GIF као излаз.
