	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
about_title	InVID-WeVerify toolkit	Outils InVID-WeVerify	Herramientas InVID-WeVerify	Σετ εργαλείων InVID-WeVerify	مجموعة أدوات InVID-WeVerify	InVID-WeVerify		InVID-WeVerify ツールキット	InVID-WeVerify eszközkészlet	Ferramentas InVID-WeVerify	InVID-WeVerify alat	InVID-WeVerify orodje
source_part_1	This verification toolkit is provided in open source (under a	Cette boîte à outils de vérification est publiée en open source (sous une	Este conjunto de herramientas esta publicada en código abierto (bajo una	Αυτό το σετ εργαλείων διατίθεται σε λογισμικό ανοικτού κώδικα (υπό	Questo toolkit di verifica è fornito in open source (sotto a	يتم توفير مجموعة أدوات التحقق هذه في المصدر المفتوح (تحت	Dieses Überprüfungs-Toolkit ist in open source (unter einer	この事実検証のためのツールキットはオープンソースで提供されています（	Az ellenőrző eszközkészlet nyílt forráskódú (a	Este conjunto de ferramentas é publicado em código aberto (sob uma licença	Ovaj alat za provjeru je otvorenog koda (pod	Ta komplet orodij za preverjanje je na voljo kot odprtokodni (pod
mit_licence_link	license.html	license.html	license.html	license.html	license.html	ترخيص. html	license.html	license.html	license.html	licença.html	license.html	licenca.html
mit_licence_link_label	MIT Licence)	Licence MIT)	licencia MIT)	Άδεια ΜΙΤ	Licenza del MIT)	ترخيص معهد ماساتشوستس للتكنولوجيا)	MIT-Lizenz)	MITライセンス)。	MIT Licenc alatt)	Licença do MIT)	MIT licencom)	licenco MIT)
source_part_2	by the AFP Medialab. It has been developed during the european projects InVID (2016-2018), WeVerify (2018-2021; both H2020) and YouCheck! (2019-2021; media literacy) as well as through the IFCN EnVisu4 project (2021) to help journalists and fact-checkers verify content on social networks (Disclaimer: please note that some external services used through web services via this interface, such as those presented under the Analysis and Keyframes tabs, are not open-sourced). This browser extension is currently being improved as part of the European project vera.ai (2022-2025; Verification Assisted by Artificial Intelligence).	par le Medialab de l'AFP. Elle a été développé lors des projets européens InVID (2016-2018), WeVerify (2018-2021; tous deux H2020), et YouCheck! (2019-2021; éducation aux médias) ainsi que lors du projet IFCN EnVisu4 (2021) pour aider les journalistes et fact-checkers à vérifier les contenus, notamment sur les réseaux sociaux (note: certains des services externes utilisés par cette interface via des services web, comme ceux présentés dans les onglets Analyse et Images clés, ne sont pas diffusés en licence open source). Cette extension de navigateur est actuellement améliorée dans le cadre du projet européen vera.ai (2022-2025; Vérification Assistée par Intelligence Artificielle).	por el Medialab de la AFP. Fue desarrollada durante los proyectos europeos InVID (2016-2018), WeVerify (2018-2021; ambos H2020) y YouCheck! (2019-2021; educación a los medios) para ayudar a los periodistas y fact-checkers a verificar contenidos de las redes sociales (tenga en cuenta que los servicios InVID externos utilizados a través de esta interfaz, como los que se presentan en las pestañas Analisis e Imágenes claves, no son de código abierto). Esta extensión de navegador se está mejorando actualmente en el marco del proyecto europeo vera.ai (2022-2025; Verificación Asistida por Inteligencia Artificial).	από το Medialab AFP. Έχει αναπτυχθεί κατά τη διάρκεια των ευρωπαϊκών έργων InVID (2016-2018), WeVerify (2018-2021; και τα δύο H2020) και YouCheck! (2019-2021; παιδεία στα μέσα ενημέρωσης) καθώς και μέσω του έργου IFCN EnVisu4 (2021) για να βοηθήσει δημοσιογράφους και fact-checkers να επαληθεύουν περιεχόμενο στα κοινωνικά δίκτυα (Αποποίηση ευθυνών: παρακαλούμε σημειώστε ότι ορισμένες εξωτερικές υπηρεσίες που χρησιμοποιούνται μέσω διαδικτυακών υπηρεσιών μέσω αυτής της διεπαφής, όπως αυτές που παρουσιάζονται στις καρτέλες Ανάλυση και Βασικά πλαίσια, δεν είναι ανοιχτού κώδικα). Αυτή η επέκταση του προγράμματος περιήγησης βελτιώνεται επί του παρόντος ως μέρος του ευρωπαϊκού έργου vera.ai (2022-2025; Επαλήθευση με τη βοήθεια τεχνητής νοημοσύνης).	Questo toolkit di verifica è fornito in open source (sotto una licenza MIT) dall'AFP Medialab. È stato sviluppato durante i progetti europei InVID (2016-2018), WeVerify (2018-2021; entrambi H2020) e YouCheck! (2019-2021; alfabetizzazione mediatica) nonché attraverso il progetto IFCN EnVisu4 (2021) per aiutare giornalisti e fact-checker a verificare i contenuti sui social network (Dichiarazione di non responsabilità: si prega di notare che alcuni servizi esterni utilizzati tramite servizi web tramite questa interfaccia, come quelli presentati nelle schede Analisi e Keyframes, non sono open source). Questa estensione del browser è attualmente in fase di miglioramento come parte del progetto europeo vera.ai (2022-2025; Verifica assistita dall'intelligenza artificiale).	تم توفير مجموعة أدوات التحقق هذه في المصدر المفتوح (بموجب ترخيص MIT) بواسطة AFP Medialab. تم تطويرها خلال المشاريع الأوروبية InVID (2016-2018)، WeVerify (2018-2021؛ كلاهما H2020) وYouCheck! (2019-2021؛ محو الأمية الإعلامية) وكذلك من خلال مشروع IFCN EnVisu4 (2021) لمساعدة الصحفيين ومدققي الحقائق على التحقق من المحتوى على الشبكات الاجتماعية (إخلاء المسؤولية: يرجى ملاحظة أن بعض الخدمات الخارجية المستخدمة عبر خدمات الويب من خلال هذه الواجهة، مثل تلك المعروضة ضمن علامات تبويب التحليل والإطارات الرئيسية، ليست مفتوحة المصدر). يتم تحسين امتداد المتصفح هذا حاليًا كجزء من المشروع الأوروبي vera.ai (2022-2025؛ التحقق بمساعدة الذكاء الاصطناعي).	Dieses Überprüfungs-Toolkit wird als Open Source (unter einer MIT-Lizenz) vom AFP Medialab bereitgestellt. Es wurde im Rahmen der europäischen Projekte InVID (2016-2018), WeVerify (2018-2021; beide H2020) und YouCheck! (2019-2021; Medienkompetenz) sowie durch das IFCN EnVisu4-Projekt (2021) entwickelt, um Journalisten und Faktenprüfern bei der Überprüfung von Inhalten in sozialen Netzwerken zu helfen (Haftungsausschluss: Bitte beachten Sie, dass einige externe Dienste, die über Webservices über diese Schnittstelle genutzt werden, wie z. B. diejenigen, die unter den Registerkarten Analyse und Keyframes dargestellt werden, nicht quelloffen sind). Diese Browser-Erweiterung wird derzeit im Rahmen des europäischen Projekts vera.ai (2022-2025; Verifizierung durch Künstliche Intelligenz unterstützt) verbessert.	この検証ツールキットは、AFP Medialab によってオープンソース (MIT ライセンスの下) で提供されています。これは、欧州プロジェクト InVID (2016-2018)、WeVerify (2018-2021; 両方とも H2020)、および YouCheck! (2019-2021; メディアリテラシー) の期間中に開発されました。また、IFCN EnVisu4 プロジェクト (2021) を通じて、ジャーナリストやファクトチェッカーがソーシャルネットワーク上のコンテンツを検証するのに役立ちます (免責事項: 分析タブとキーフレームタブの下に表示されるものなど、このインターフェースを介してウェブサービスを通じて使用される一部の外部サービスは、オープンソースではありませんのでご注意ください)。このブラウザ拡張機能は現在、欧州プロジェクト vera.ai (2022-2025; 人工知能による検証支援) の一部として改善されています。	Ezt az ellenőrző eszközkészletet nyílt forráskódú (MIT licenc alatt) biztosítja az AFP Medialab. Az európai InVID (2016-2018), WeVerify (2018-2021; mindkettő H2020) és YouCheck! (2019-2021; média literacy) projektek során, valamint az IFCN EnVisu4 projekt (2021) keretében fejlesztették ki, hogy segítsék az újságírókat és a tényellenőrzőket a közösségi hálózatokon található tartalmak ellenőrzésében (Jogi nyilatkozat: kérjük, vegye figyelembe, hogy az ezen az interfészen keresztül webes szolgáltatásokon keresztül használt külső szolgáltatások, mint például az Analízis és a Kulcsképkockák lapok alatt bemutatottak, nem nyílt forráskódúak). Ez a böngészőbővítmény jelenleg a vera.ai (2022-2025; Mesterséges intelligenciával támogatott ellenőrzés) európai projekt részeként kerül fejlesztésre.	Este conjunto de ferramentas de verificação é fornecido em código aberto (sob uma licença MIT) pelo AFP Medialab. Foi desenvolvido durante os projetos europeus InVID (2016-2018), WeVerify (2018-2021; ambos H2020) e YouCheck! (2019-2021; literacia mediática), bem como através do projeto IFCN EnVisu4 (2021) para ajudar jornalistas e verificadores de factos a verificar conteúdo em redes sociais (Aviso Legal: por favor, note que alguns serviços externos utilizados através de serviços web via esta interface, como os apresentados nas abas Análise e Keyframes, não são de código aberto). Esta extensão de navegador está atualmente a ser melhorada como parte do projeto europeu vera.ai (2022-2025; Verificação Assistida por Inteligência Artificial).	Ovaj alat za provjeru je otvorenog koda (pod MIT licencom) osigurava AFP Medialab. Razvijen je tijekom europskih projekata InVID (2016.-2018.), WeVerify (2018.-2021.; oba H2020) i YouCheck! (2019.-2021.; medijska pismenost) kao i kroz projekt IFCN EnVisu4 (2021) kako bi pomogao novinarima i provjeravateljima činjenica u provjeri sadržaja na društvenim mrežama (Odricanje od odgovornosti: imajte na umu da neke vanjske usluge koje se koriste putem web usluga putem ovog sučelja, kao što su one predstavljene pod karticama Analiza i Ključni okviri, nisu otvorenog koda). Ovo proširenje preglednika trenutno se poboljšava kao dio europskog projekta vera.ai (2022.-2025.; Provjera potpomognuta umjetnom inteligencijom).	Ta komplet orodij za preverjanje je na voljo kot odprtokodni (pod licenco MIT) s strani AFP Medialaba. Razvit je bil med evropskimi projekti InVID (2016-2018), WeVerify (2018-2021; oba H2020) in YouCheck! (2019-2021; medijska pismenost) ter prek projekta IFCN EnVisu4 (2021) za pomoč novinarjem in preverjevalcem dejstev pri preverjanju vsebin na družbenih omrežjih (Opozorilo: prosimo, upoštevajte, da nekatere zunanje storitve, uporabljene prek spletnih storitev prek tega vmesnika, kot so tiste, predstavljene pod zavihkoma Analiza in Ključni okvirji, niso odprtokodne). Ta razširitev brskalnika se trenutno izboljšuje kot del evropskega projekta vera.ai (2022-2025; Preverjanje s pomočjo umetne inteligence).
description	It has been designed as a verification Swiss army knife helping journalists to save time and be more efficient in their fact-checking tasks. This is a beta version and we will update it regularly thanks to your feedback.	Il a été conçu comme un couteau suisse de vérification pour permettre les journalistes à gagner du temps et être plus efficaces dans leur travail de vérification. C'est une version en développement et elle sera mise à jour régulièrement grâce à vos retours.	Se ha diseñado como una navaja suiza de verificación que ayuda a los periodistas a ahorrar tiempo y a ser más eficientes en sus tareas de verificación de hechos. Esta es una versión beta y la actualizaremos regularmente gracias a sus comentarios.	Έχει σχεδιαστεί ως ένας ελβετικό πολυεργαλείο επαλήθευσης βοηθώντας δημοσιογράφους να εξοικονομήσουν χρόνο και να είναι πιο αποδοτικοί στις εργασίες επαλήθευσης. Αυτή είναι δοκιμαστική έκδοση που θα βελτιώνεται διαρκώς με τη βοήθεια των σχολίων σας.	È stato progettato come una verifica coltellino multiuso che aiuta i giornalisti a risparmiare tempo ed essere più efficienti nei loro compiti di controllo dei fatti. Questa è una versione beta e la aggiorneremo regolarmente grazie al tuo feedback.	تم تصميمه ليكون بمثابة سكين عسكري سويسري للتحقق، لتمكين الصحفيين من توفير الوقت وزيادة كفاءة عملهم في التحقق. هذه نسخة مطورة وسيتم تحديثها بانتظام بتعليقاتك.	Es wurde als Schweizer Taschenmesser der Überprüfung entwickelt, um Journalistinnen und Journalisten zu helfen, Zeit zu sparen und bei ihren Faktenchecks effizienter zu sein. Dies ist eine Beta-Version und wir werden sie dank Ihres Feedbacks regelmäßig aktualisieren.	ツールはジャーナリストの事実検証作業をより効率的にする「検証の万能ナイフ」として設計されました。ベータ版であり、皆様のフィードバックを参考に定期的に更新しています。	Az eszköz olyan, mint egy tényellenőrző svájci bicska, amely segít az újságíróknak időt megtakarítani és hatékonyabbnak lenni a tényellenőrzési feladataikban. Ez egy béta verzió, és rendszeresen frissíteni fogjuk az Ön visszajelzései alapján.	Ele foi projetado como um canivete suíço de verificação para ajudar os jornalistas a economizar tempo e serem mais eficientes em suas tarefas de verificação de fatos. Esta é uma versão beta e a atualizaremos regularmente graças ao seu feedback.	Dizajniran je kao švicarski nož za provjeru koji pomaže novinarima da uštede vrijeme i budu učinkovitiji u svojim zadacima provjere činjenica. Ovo je beta verzija i redovito ćemo je ažurirati zahvaljujući vašim povratnim informacijama.	Zasnovan je kot preverjevalni švicarski vojaški nož, ki novinarjem pomaga prihraniti čas in biti učinkovitejši pri nalogah preverjanja dejstev. To je beta različica in jo bomo redno posodabljali zahvaljujoč vašim povratnim informacijam.
feedBack_part_1	For any feedback (bugs, enhancement, suggestions) please use first the feedback button at the bottom right of your screen. In case of trouble, you can email us at	Pour tout retour (problèmes, améliorations, suggestions), merci d'utiliser le bouton de feedback en bas à droite de l'écran. En cas de problème, vous pouvez nous envoyer un mail à	Para cualquier comentario (errores, mejoras, sugerencias) por favor deje un mensaje en el botón de feedback abajo a la derecha de su pantalla. En caso de problema, puede enviarnos un correo electrónico a	Για τυχόν ανατροφοδοτήσεις (σφάλματα, βελτίωση, προτάσεις) παρακαλούμε χρησιμοποιήστε πρώτα το κουμπί ανατροφοδότησης. Σε περίπτωση προβλήματος, μπορείτε να μας στείλετε email στο	Per qualsiasi feedback (bug, miglioramenti, suggerimenti) utilizzare prima il pulsante Feedback in basso a destra sullo schermo. In caso di problemi, puoi inviarci un'e-mail a	لأية ملاحظات (مشاكل، تحسينات، اقتراحات)، يرجى استخدام زر الملاحظات في أسفل يمين الشاشة. إذا كانت هناك مشكلة، يمكنك مراسلتنا عبر البريد الإلكتروني على	Für jedes Feedback (Fehler, Verbesserung, Vorschläge) verwenden Sie zuerst die Feedback Schaltfläche unten rechts auf Ihrem Bildschirm. Im Schwierigkeiten können Sie uns eine E-Mail an schicken:	フィードバック (バグ、機能強化、提案)がある場合は、画面右下のフィードバックボタンを使用してください。問題が発生した場合は、次の宛先までメールでお問い合わせください。	Bármilyen visszajelzés esetén (hibák, fejlesztések, javaslatok) kérjük, először használja a képernyő jobb alsó sarkában található visszajelzés gombot. Probléma esetén írjon nekünk e-mailt az	Para quaisquer comentários (bugs, melhorias, sugestões), deixe uma mensagem usando o botão de feedback no canto inferior direito da tela. Em caso de problemas, você pode nos enviar um e-mail para	Za sve povratne informacije (greške, poboljšanja, prijedloge) prvo koristite gumb za povratne informacije u donjem desnom kutu zaslona. U slučaju problema, možete nam poslati e-poštu na	Za kakršne koli povratne informacije (napake, izboljšave, predloge) najprej uporabite gumb za povratne informacije v spodnjem desnem kotu zaslona. V primeru težav nam lahko pošljete e-pošto na
invid_email	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr
feedBack_part_2	, or leave us a direct message through the	, ou de nous laisser un message via le	, o déjenos un mensaje directo a través del	, ή αφήστε μας ένα μήνυμα μέσω του	o lasciaci un messaggio diretto attraverso il	أو اترك لنا رسالة عبر	, oder hinterlassen Sie uns eine direkte Nachricht durch die	またはダイレクトメッセージを送ってください。	címre, vagy küldjön nekünk közvetlen üzenetet a jobb alsó sarokban található	, ou deixe-nos uma mensagem direta através do	, ili nam ostavite izravnu poruku putem	, ali nam pustite neposredno sporočilo prek
feedback_widget	feedback widget	bouton ''feedback''	widget de comentarios (feedback)	εργαλείου σχολίων	Widget di feedback	زر التعليقات (التغذية الراجعة)	Feedback -Widget	フィードバックウィジェット	visszajelző widgeten	widget de feedback	widgeta za povratne informacije	pripomočka za povratne informacije
