	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
SNA_header_title	Social Network Analysis	Analyse de réseaux sociaux	Análisis de redes sociales	Ανάλυση κοινωνικών δικτύων	Analisi delle reti sociali	تحليل الشبكات الاجتماعية	Sozialnetzwerkanalyse	ソーシャルネットワーク分析	Szociális hálózatelemzés	Análise de redes sociais	Analiza društvenih mreža	Analiza družbenih omrežij	Analiza društvenih mreža
SNA_header_description	Tools to capture, upload and analyze data from social media. See pop up, settings menu or X search for capture tool.	Outils pour capturer, télécharger et analyser les données des réseaux sociaux. Consultez la fenêtre contextuelle, le menu paramètres ou la recherche X pour l’outil de capture.	Herramientas para capturar, subir y analizar datos de redes sociales. Vea el pop‑up, el menú de configuración o la búsqueda X para la herramienta de captura.	Εργαλεία για καταγραφή, μεταφόρτωση και ανάλυση δεδομένων από κοινωνικά μέσα. Δείτε το αναδυόμενο παράθυρο, το μενού ρυθμίσεων ή την αναζήτηση X για το εργαλείο λήψης.	Strumenti per acquisire, caricare e analizzare i dati dai social media. Vedi pop‑up, menu impostazioni o ricerca X per lo strumento di acquisizione.	أدوات لالتقاط ورفع وتحليل البيانات من وسائل التواصل الاجتماعي. راجع النافذة المنبثقة، قائمة الإعدادات أو بحث X لأداة الالتقاط.	Tools zum Erfassen, Hochladen und Analysieren von Daten aus sozialen Medien. Siehe Pop‑up, Einstellungsmenü oder X‑Suche für das Capture‑Tool.	ソーシャルメディアからデータをキャプチャ、アップロード、分析するツールです。キャプチャツールはポップアップ、設定メニュー、またはX検索をご覧ください。	Szociális média adatainak rögzítésére, feltöltésére és elemzésére szolgáló eszközök. Nézze meg a felugró ablakot, a beállítások menüt vagy az X keresést a rögzítő eszközhöz.	Ferramentas para capturar, carregar e analisar dados de redes sociais. Veja o pop‑up, menu de configurações ou busca X para a ferramenta de captura.	Alati za snimanje, prijenos i analizu podataka s društvenih medija. Pogledajte skočni prozor, izbornik postavki ili X pretraživanje za alat za snimanje.	Orodja za zajem, nalaganje in analizo podatkov iz družbenih medijev. Za orodje za zajem si oglejte pojavno okno, meni z nastavitvami ali iskanje X.	Alati za snimanje, prijenos i analizu podataka s društvenih medija. Pogledajte skočni prozor, izbornik postavki ili X pretraživanje za alat za snimanje.
collections_table_placeholder	Data captured using the plugin or uploaded with the button below will appear here.	Les données capturées à l’aide du module ou téléchargées avec le bouton ci‑dessous apparaîtront ici.	Los datos capturados mediante el complemento o subidos con el botón de abajo aparecerán aquí.	Τα δεδομένα που συλλέγονται με το πρόσθετο ή φορτώνονται με το κουμπί παρακάτω θα εμφανιστούν εδώ.	I dati acquisiti tramite il plugin o caricati con il pulsante qui sotto appariranno qui.	سيتم عرض البيانات التي تم التقاطها باستخدام الإضافة أو التي تم تحميلها باستخدام الزر أدناه هنا.	Die mit dem Plugin erfassten oder über den unten stehenden Button hochgeladenen Daten werden hier angezeigt.	プラグインで取得された、または下のボタンでアップロードされたデータがここに表示されます。	A beépülő programmal rögzített vagy az alábbi gombbal feltöltött adatok itt jelennek meg.	Os dados capturados usando o plugin ou carregados com o botão abaixo aparecerão aqui.	Podaci prikupljeni pomoću dodatka ili preneseni tipkom ispod pojavit će se ovdje.	Podatki, zajeti z vtičnikom ali naloženi s spodnjim gumbom, bodo prikazani tukaj.	Podaci prikupljeni pomoću dodatka ili preneseni tipkom ispod pojavit će se ovdje.
collections_table_data_source	Collection name	Nom de la collection	Nombre de la colección	Όνομα συλλογής	Nome della raccolta	اسم المجموعة	Sammlungsname	コレクション名	Gyűjtemény neve	Nome da coleção	Naziv kolekcije	Ime zbirke	Naziv kolekcije
collections_table_metrics	Metrics	Métriques	Métricas	Μετρικές	Metriche	مقاييس	Metriken	メトリクス	Metrikák	Métricas	Metrike	Metrike	Metrike
collections_table_actions	Actions	Actions	Acciones	Ενέργειες	Azione	إجراءات	Aktionen	アクション	Műveletek	Ações	Radnje	Dejanja	Radnje
detailModal_search	Search	Recherche	Búsqueda	Αναζήτηση	Ricerca	بحث	Suche	検索	Keresés	Pesquisar	Pretraživanje	Iskanje	Pretraživanje
dataupload_error	File provided incompatible with chosen template, consider custom upload	Le fichier fourni est incompatible avec le modèle choisi, envisagez un téléversement personnalisé	El archivo proporcionado no es compatible con la plantilla seleccionada, considere una carga personalizada	Το αρχείο που παρέχεται δεν είναι συμβατό με το επιλεγμένο πρότυπο, σκεφτείτε μια προσαρμοσμένη μεταφόρτωση	Il file fornito non è compatibile con il modello scelto, considera un caricamento personalizzato	الملف المقدم غير متوافق مع القالب المختار، فكر في رفع مخصص	Die bereitgestellte Datei ist nicht mit der ausgewählten Vorlage kompatibel. Ziehen Sie einen benutzerdefinierten Upload in Betracht	提供されたファイルは選択したテンプレートと互換性がありません。カスタムアップロードを検討してください	A megadott fájl nem kompatibilis a kiválasztott sablonnal, fontolja meg az egyéni feltöltést	O arquivo fornecido é incompatível com o modelo escolhido. Considere um upload personalizado	Datoteka nije kompatibilna s odabranim predloškom, razmislite o prilagođenom prijenosu.	Predložena datoteka ni združljiva z izbrano predlogo, razmislite o nalaganju po meri.	Datoteka nije kompatibilna s odabranim predloškom, razmislite o prilagođenom prijenosu.
snaRecord_socialMediaSelectlabel	Social media recorded	Médias sociaux enregistrés	Redes sociales registradas	Καταγεγραμμένα κοινωνικά μέσα	Social media registrati	وسائل التواصل المسجلة	Erfasste soziale Medien	記録されたソーシャルメディア	Rögzített közösségi média	Redes sociais registradas	Snimljeni društveni mediji	Posneti družbeni mediji	Snimljeni društveni mediji
snaRecording_selectCollectionLabel	Select collection	Sélectionner une collection	Seleccionar colección	Επιλέξτε συλλογή	Seleziona raccolta	اختر المجموعة	Sammlung auswählen	コレクションを選択	Kiválasztás gyűjtemény	K selecionar coleção	Odaberi kolekciju	Izberite zbirko	Odaberi kolekciju
