	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
semantic_search_title	Fact Check Semantic Search	Recherche sémantique pour les vérifications de faits	Búsqueda semántica para la verificación de hechos	Σημασιολογική αναζήτηση για τον έλεγχο των γεγονότων	Ricerca semantica per la verifica dei fatti	البحث الدلالي عن التحقق من الحقائق	Semantische Suche für Faktenprüfungen	ファクトチェックセマンティック検索	Tényellenőrzések szemantikus keresése	Busca semântica para verificação de fatos	Semantičko pretraživanje provjere činjenica	Semantično iskanje preverjanja dejstev	Semantičko pretraživanje provjere činjenica
semantic_search_description	Search for semantically related fact checks by providing a paragraph of text (e.g., a social media post). The search is multilingual - input text can be in (almost) any language.	Recherchez des vérifications de faits sémantiquement liées en fournissant un paragraphe de texte (par exemple, une publication sur les réseaux sociaux). La recherche est multilingue - le texte d'entrée peut être dans (presque) n'importe quelle langue.	Busque verificaciones de hechos semánticamente relacionadas proporcionando un párrafo de texto (por ejemplo, una publicación en redes sociales). La búsqueda es multilingüe: el texto de entrada puede estar en (casi) cualquier idioma.	Αναζητήστε σημασιολογικά σχετικούς ελέγχους γεγονότων παρέχοντας ένα παράγραφο κειμένου (π.χ. μια ανάρτηση στα μέσα κοινωνικής δικτύωσης). Η αναζήτηση είναι πολύγλωσση - το κείμενο εισόδου μπορεί να είναι σε (σχεδόν) οποιαδήποτε γλώσσα.	Ricerca di verifiche di fatti semanticamente correlate fornendo un paragrafo di testo (ad esempio, un post sui social media). La ricerca è multilingue: il testo di input può essere in (quasi) qualsiasi lingua.	البحث عن التحققات المتعلقة بالمعنى من خلال تقديم فقرة نصية (على سبيل المثال، منشور على وسائل التواصل الاجتماعي). البحث متعدد اللغات - يمكن أن يكون النص الداخلي بأي لغة (تقريبًا).	Suchen Sie nach semantisch verwandten Faktenüberprüfungen, indem Sie einen Textabschnitt (z. B. einen Social-Media-Beitrag) bereitstellen. Die Suche ist mehrsprachig - der Eingabetext kann in (fast) jeder Sprache sein.	テキストの文章(ソーシャル メディアの投稿など)を提供して、意味的に関連するファクトチェックを検索します。検索は多言語で行われます。入力テキストは(ほぼ)どの言語でも可能です。	Szemantikailag kapcsolódó tényellenőrzések keresése szöveges bekezdés megadásával (pl. közösségi média bejegyzés). A keresés többnyelvű - a bemeneti szöveg (majdnem) bármilyen nyelven lehet.	Procure verificações de fatos semanticamente relacionadas, fornecendo um parágrafo de texto (por exemplo, uma publicação em redes sociais). A busca é multilíngue: o texto de entrada pode estar em (quase) qualquer idioma.	Tražite semantički povezane provjere činjenica pružanjem odlomka teksta (npr. objava na društvenim mrežama). Pretraga je višejezična - ulazni tekst može biti na (gotovo) bilo kojem jeziku.	Poiščite semantično povezane preverbe dejstev z zagotavljanjem odstavka besedila (npr. objava v družabnih medijih). Iskanje je večjezično - vnosno besedilo je lahko v (skoraj) katerem koli jeziku.	Tražite semantički povezane provjere činjenica pružanjem odlomka teksta (npr. objava na društvenim mrežama). Pretraga je višejezična - ulazni tekst može biti na (gotovo) bilo kojem jeziku.
semantic_search_tip	Tip – this is a semantic search. Use one or more sentences for more accurate results.	Astuce - il s'agit d'une recherche sémantique. Utilisez une ou plusieurs phrases pour des résultats plus précis.	Consejo: esto es una búsqueda semántica. Use una o más oraciones para obtener resultados más precisos.	Συμβουλή: αυτή είναι μια σημασιολογική αναζήτηση. Χρησιμοποιήστε μία ή περισσότερες προτάσεις για πιο ακριβή αποτελέσματα.	Suggerimento: questa è una ricerca semantica. Utilizzare una o più frasi per risultati più accurati.	نصيحة: هذا بحث دلالي. استخدم جملة واحدة أو أكثر لنتائج أكثر دقة.	Tipp – dies ist eine semantische Suche. Verwenden Sie einen oder mehrere Sätze für genauere Ergebnisse.	ヒント – これはセマンティック検索です。より正確な結果を得るには、1 つ以上の文を使用してください。	Tipp – ez egy szemantikus keresés. Használjon egy vagy több mondatot a pontosabb eredmények érdekében.	Dica: isto é uma busca semântica. Use uma ou mais frases para obter resultados mais precisos.	Savjet – ovo je semantičko pretraživanje. Koristite jednu ili više rečenica za točnije rezultate.	Nasvet – to je semantično iskanje. Za natančnejše rezultate uporabite enega ali več stavkov.	Savjet – ovo je semantičko pretraživanje. Koristite jednu ili više rečenica za točnije rezultate.
semantic_search_form_textfield_placeholder	Search if already fact-checked	Rechercher si déjà vérifié	Filtrar si ya fue verificado	Αναζήτηση εάν έχει ήδη ελεγχθεί	Cercare se già verificato	البحث إذا تم بالفعل التحقق	Suchen, wenn bereits überprüft	事実確認済か検索	Keresés, hogy van-e tényellenőrzés	Filtrar se já foi verificado	Pretražite je li već provjereno	Iskanje, če je že preverjeno	Pretražite je li već provjereno
semantic_search_form_submit_button	Search	Rechercher	Buscar	Αναζήτηση	Cerca	البحث	Suchen	検索	Keresés	Buscar	Pretraži	Išči	Pretraži
semantic_search_show_advanced_settings_button	Show Advanced Settings	Afficher les paramètres avancés	Mostrar configuraciones avanzadas	Εμφάνιση για Προηγμένες Ρυθμίσεις	Mostra Impostazioni Avanzate	عرض الإعدادات المتقدمة	Erweiterte Einstellungen anzeigen	詳細設定を表示	Speciális beállítások megjelenítése	Mostrar configurações avançadas	Prikaži napredne postavke	Prikaži napredne nastavitve	Prikaži napredne postavke
semantic_search_hide_advanced_settings_button	Hide Advanced Settings	Cacher les paramètres avancés	Ocultar configuraciones avanzadas	Απόκρυψη για Προηγμένες Ρυθμίσεις	Nascondi Impostazioni Avanzate	إخفاء الإعدادات المتقدمة	Erweiterte Einstellungen ausblenden	詳細設定を非表示にする	Speciális beállítások elrejtése	Ocultar configurações avançadas	Sakrij napredne postavke	Skrij napredne nastavitve	Sakrij napredne postavke
semantic_search_reset_search_settings_button	Reset search Settings	Réinitialiser les paramètres de recherche	Reiniciar configuraciones de búsqueda	Επαναφορά Ρυθμίσεων Αναζήτησης	Ripristina Impostazioni di Ricerca	إعادة ضبط إعدادات البحث	Einstellungen zurücksetzen	検索設定をリセットする	Keresési beállítások visszaállítása	Reiniciar configurações de busca	Poništi postavke pretraživanja	Ponastavi nastavitve iskanja	Poništi postavke pretraživanja
semantic_search_form_search_engine_placeholder	Search Engine	Moteur de recherche	Motor de búsqueda	Μηχανή αναζήτησης	Motore di ricerca	محرك البحث	Suchmaschine	検索エンジン	Keresőmotor	Motor de busca	Tražilica	Iskalnik	Tražilica
semantic_search_form_date_from_placeholder	From	Du	Desde	Από	Da	من	Von	から	-tól	De	Od	Od	Od
semantic_search_form_date_to_placeholder	To	Au	Hasta	Προς	A	إلى	Zu	まで	-ig	Até	Do	Do	Do
semantic_search_form_language_filter_placeholder	Languages	Langues	Idiomas	Γλώσσες	Lingue	اللغات	Sprachen	言語	Nyelvek	Idiomas	Jezici	Jeziki	Jezici
semantic_search_search_engine_tip_link_placeholder	How to choose?	Comment choisir?	¿Cómo elegir?	Πώς να επιλέξετε;	Come scegliere?	كيف تختار؟	Wie wählen?	選び方は？	Hogyan válasszunk?	Como escolher?	Kako odabrati?	Kako izbrati?	Kako odabrati?
semantic_search_search_engine_tip_title	How to choose the search engine?	Comment choisir le moteur de recherche ?	¿Cómo elegir el motor de búsqueda?	Πώς να επιλέξετε τον κινητήρα αναζήτησης;	Come scegliere il motore di ricerca?	كيف تختار محرك البحث؟	Wie wählt man den Suchmaschine aus?	検索エンジンはどう選べばいいでしょうか？	Hogyan válasszuk ki a keresőmotort?	Como escolher o motor de busca?	Kako odabrati tražilicu?	Kako izbrati iskalnik?	Kako odabrati tražilicu?
semantic_search_search_engine_1_name	Automatic selection	Sélection automatique	Selección automática	Αυτόματη επιλογή	Selezione automatica	التحديد التلقائي	Automatische Auswahl	自動選択	Automatikus kiválasztás	Seleção automática	Automatski odabir	Samodejni izbor	Automatski odabir
semantic_search_search_engine_2_name	English based semantic search	Recherche sémantique basée sur l'anglais	Búsqueda semántica basada en inglés	Αναζήτηση με σημασιολογική βάση στα αγγλικά	Ricerca semantica basata sull'inglese	بحث دلالي يستند إلى اللغة الإنجليزية	Basierte semantische Suche in Englisch	英語ベースのセマンティック検索	Angol alapú szemantikus keresés	Busca semântica baseada em inglês	Semantičko pretraživanje temeljeno na engleskom jeziku	Semantično iskanje na podlagi angleščine	Semantičko pretraživanje temeljeno na engleskom jeziku
semantic_search_search_engine_3_name	Multilingual semantic Search	Recherche sémantique multilingue	Búsqueda semántica multilingüe	Πολύγλωσση σημασιολογική αναζήτηση	Ricerca semantica multilingue	بحث دلالي متعدد اللغات	Mehrsprachige semantische Suche	多言語セマンティック検索	Többnyelvű szemantikus keresés	Busca semântica multilíngue	Višejezično semantičko pretraživanje	Večjezično semantično iskanje	Višejezično semantičko pretraživanje
semantic_search_search_engine_4_name	English based keyword search	Recherche de mots-clés basée sur l'anglais	Búsqueda de palabras clave basada en inglés	Αναζήτηση λέψεων-κλειδιών με βάση τα αγγλικά	Ricerca di parole chiave basata sull'inglese	بحث عن كلمات مفتاحية يستند إلى اللغة الإنجليزية	Basierte Schlüsselwort-Suche in Englisch	英語ベースのキーワード検索	Angol alapú kulcsszókeresés	Busca de palavras-chave baseada em inglês	Pretraživanje ključnih riječi temeljeno na engleskom jeziku	Iskanje ključnih besed na podlagi angleščine	Pretraživanje ključnih riječi temeljeno na engleskom jeziku
semantic_search_search_engine_1_description	Automatic selection will analyze the provided input and according to its language and length will automatically select the most appropriate search engine.	La sélection automatique analysera l'entrée fournie et, selon sa langue et sa longueur, sélectionnera automatiquement le moteur de recherche le plus approprié.	La selección automática analizará la entrada proporcionada y, según su idioma y longitud, seleccionará automáticamente el motor de búsqueda más apropiado.	Η αυτόματη επιλογή θα αναλύσει την παρεχόμενη είσοδο και ανάλογα με τη γλώσσα και το μήκος της, θα επιλέξει αυτόματα την πιο κατάλληλη μηχανή αναζήτησης.	La selezione automatica analizzerà l'input fornito e, in base alla sua lingua e lunghezza, selezionerà automaticamente il motore di ricerca più appropriato.	سيقوم الاختيار التلقائي بتحليل الإدخال المقدم ووفقًا للغته وطوله سيختار تلقائيًا أنسب محرك بحث.	Die automatische Auswahl wird die bereitgestellte Eingabe analysieren und entsprechend ihrer Sprache und Länge automatisch den geeignetsten Suchmaschine auswählen.	自動選択は、提供された入力を分析し、その言語と長さに応じて最も適切な検索エンジンを自動的に選択します。	Az automatikus kiválasztás elemzi a megadott bemenetet, és a nyelve és hossza alapján automatikusan kiválasztja a legmegfelelőbb keresőmotort.	A seleção automática analisará a entrada fornecida e, dependendo do idioma e do comprimento, selecionará automaticamente o motor de busca mais apropriado.	Automatski odabir analizirat će dostavljeni unos i prema njegovom jeziku i duljini automatski odabrati najprikladniju tražilicu.	Samodejna izbira bo analizirala vneseni vnos in glede na njegov jezik in dolžino samodejno izbrala najprimernejši iskalnik.	Automatski odabir analizirat će dostavljeni unos i prema njegovom jeziku i duljini automatski odabrati najprikladniju tražilicu.
semantic_search_search_engine_2_description	An English-based semantic search, where you can search any piece of text (a sentence, a paragraph or even a whole FB / Telegram / Twitter post) for any matching previously fact-checked claim. The input needs to be in English in this case (it can be translated by you from other languages using automatic translation such as Google Translate - if this model will perform well and we will use it  in the production app, we will add automatic translation later).	Une recherche sémantique basée sur l'anglais, où vous pouvez rechercher n'importe quel morceau de texte (une phrase, un paragraphe ou même une publication entière sur FB / Telegram / Twitter) for any matching previously fact-checked claim. The input needs to be in English in this case (it can be translated by you from other languages using automatic translation such as Google Translate - if this model will perform well and we will use it  in the production app, we will add automatic translation later).	Una búsqueda semántica basada en inglés, donde puedes buscar cualquier fragmento de texto (una oración, un párrafo o incluso una publicación completa en FB / Telegram / Twitter) para cualquier afirmación previamente verificada. La entrada debe estar en inglés en este caso (puede ser traducida por usted desde otros idiomas utilizando una traducción automática como Google Translate - si este modelo funciona bien y lo utilizamos en la aplicación de producción, agregaremos traducción automática más adelante).	Μια αναζήτηση με σημασιολογική βάση στα αγγλικά, όπου μπορείτε να αναζητήσετε οποιοδήποτε κομμάτι κειμένου (μια πρόταση, ένα παράγραφο ή ακόμα και μια ολόκληρη ανάρτηση στο FB / Telegram / Twitter) για οποιαδήποτε απόδειξη που έχει ελεγχθεί προηγουμένως. Η είσοδος πρέπει να είναι στα αγγλικά σε αυτήν την περίπτωση (μπορεί να μεταφραστεί από εσάς από άλλες γλώσσες χρησιμοποιώντας αυτόματη μετάφραση όπως το Google Translate - če se bo ta model dobro obnesel in ga bomo uporabili v produkcijski aplikaciji, bomo kasneje dodali samodejno prevajanje).	Una ricerca semantica basata sull'inglese, in cui è possibile cercare qualsiasi pezzo di testo (una frase, un paragrafo o anche un intero post su FB / Telegram / Twitter) per qualsiasi affermazione precedentemente verificata. L'input deve essere in inglese in questo caso (può essere tradotto da te da altre lingue utilizzando la traduzione automatica come Google Translate - se questo modello funzionerà bene e lo useremo nell'app di produzione, aggiungeremo la traduzione automatica in seguito).	Angleško semantično iskanje, kjer lahko iščete kateri koli del besedila (stavek, odstavek ali celo celotno objavo na FB/Telegramu/Twitterju) za katero koli ujemajočo se predhodno preverjeno trditev. Vnos mora biti v tem primeru v angleščini (lahko ga prevedete iz drugih jezikov s samodejnim prevajanjem, kot je Google Translate - če se bo ta model dobro obnesel in ga bomo uporabili v produkcijski aplikaciji, bomo kasneje dodali samodejno prevajanje).	Eine englischsprachige semantische Suche, bei der Sie jeden Textabschnitt (einen Satz, einen Absatz oder sogar einen ganzen FB / Telegram / Twitter-Beitrag) nach jeder übereinstimmenden, zuvor auf Fakten geprüften Behauptung durchsuchen können. Die Eingabe muss in diesem Fall auf Englisch sein (Sie können sie aus anderen Sprachen mit automatischer Übersetzung wie Google Translate übersetzen - wenn dieses Modell gut funktioniert und wir es in der Produktions-App verwenden, werden wir später eine automatische Übersetzung hinzufügen).	英語ベースのセマンティック検索では、テキストの任意の部分（文、段落、さらにはFB / Telegram / Twitterの投稿全体）を検索して、以前にファクトチェックされた一致するクレームを見つけることができます。この場合、入力は英語である必要があります（Google翻訳などの自動翻訳を使用して他の言語から翻訳できます-このモデルがうまく機能し、本番アプリで使用する場合は、後で自動翻訳を追加します）。	Angol alapú szemantikus keresés, ahol bármilyen szövegrészletet (mondatot, bekezdést vagy akár egy egész FB / Telegram / Twitter bejegyzést) kereshet bármely egyező, korábban tényellenőrzött állításra. A bemenetnek ebben az esetben angol nyelvűnek kell lennie (más nyelvekről automatikus fordítással, például a Google Fordítóval fordíthatja - ha ez a modell jól teljesít, és a gyártási alkalmazásban használjuk, később hozzáadjuk az automatikus fordítást).	Uma pesquisa semântica baseada em inglês, onde você pode pesquisar qualquer trecho de texto (uma frase, um parágrafo ou até mesmo uma postagem inteira no FB / Telegram / Twitter) por qualquer alegação previamente verificada. A entrada precisa estar em inglês neste caso (pode ser traduzida por você de outros idiomas usando tradução automática como o Google Translate - se este modelo funcionar bem e o usarmos no aplicativo de produção, adicionaremos tradução automática posteriormente).	Semantičko pretraživanje temeljeno na engleskom jeziku, gdje možete pretraživati bilo koji dio teksta (rečenicu, odlomak ili čak cijeli post na FB / Telegramu / Twitteru) za bilo koju podudarnu prethodno provjerenu tvrdnju. Unos u ovom slučaju mora biti na engleskom jeziku (možete ga prevesti s drugih jezika pomoću automatskog prijevoda kao što je Google Translate - ako se ovaj model dobro pokaže i budemo ga koristili u produkcijskoj aplikaciji, kasnije ćemo dodati automatski prijevod).	Angleško semantično iskanje, kjer lahko iščete kateri koli del besedila (stavek, odstavek ali celo celotno objavo na FB/Telegramu/Twitterju) za katero koli ujemajočo se predhodno preverjeno trditev. Vnos mora biti v tem primeru v angleščini (lahko ga prevedete iz drugih jezikov s samodejnim prevajanjem, kot je Google Translate - če se bo ta model dobro obnesel in ga bomo uporabili v produkcijski aplikaciji, bomo kasneje dodali samodejno prevajanje).	Semantičko pretraživanje temeljeno na engleskom jeziku, gdje možete pretraživati bilo koji dio teksta (rečenicu, odlomak ili čak cijeli post na FB / Telegramu / Twitteru) za bilo koju podudarnu prethodno provjerenu tvrdnju. Unos u ovom slučaju mora biti na engleskom jeziku (možete ga prevesti s drugih jezika pomoću automatskog prijevoda kao što je Google Translate - ako se ovaj model dobro pokaže i budemo ga koristili u produkcijskoj aplikaciji, kasnije ćemo dodati automatski prijevod).
