en	fr	es	el	it	ar	de	ja	hu	pt	hr
open_website	Open Toolbox	Ouvrir le plugin	Abrir el plugin	Άνοιγμα Σετ Εργαλείων	Aprire la toolbox	افتح صندوق الأدوات	Werkzeugkasten öffnen	ツールボックスを開く	Eszköztár megnyitása	Abrir o plugin	Otvori skup alata
open_assistant	Open Assistant	Ouvrir l'assistant	Abrir el asistente	Άνοιγμα Βοηθού	Attivare l'assistente	افتح المساعد	Assistenten öffnen	アシスタントを開く	Asszisztens megnyitása	Abrir o assistente	Otvori pomoćnika
open_assistant_on_page	Assistant for Current Page	Assistant pour cette page	Asistente para este sitio	Βοηθός για τρέχουσα σελίδα	Assistente per la pagina corrente	مساعد للصفحة الحالية	Assistent für die aktuelle Seite	現在のページのアシスタント	Asszisztens az aktuális oldalhoz	Assistente para este site	Pomoćnik za trenutnu stranicu
open_classroom	Open Classroom	Ouvrir la salle de classe	Abrir el aula	Άνοιγμα Αίθουσας Διδασκαλίας	Aprire l'aula	فتح الفصل الدراسي	Klassenzimmer öffnen	教室を開く	Osztályterem megnyitása	Abrir a sala de aula	Otvori učionicu
archive_this	Archive this	Archivez ceci	Archiva esto	Αρχειοθέτησε αυτό	Archivia questo	أرشِف هذا	Archiviere dies	アーカイブする	Archiválja ezt	Arquivar isto	Arhiviraj ovo
video_urls	Videos Urls	Urls de vidéos	Vídeos urls	Διευθύνσεις Urls των βίντεο	URLS video	روابط الفيديوهات	Videos-URLs	動画のURL	Videók URL-jei	URLs de vídeos	URL-ovi videozapisa
copy	Copy	Copier	Copiar	Αντιγραφή	Copia	نسخ	Kopieren	コピー	Másolás	Copiar	Kopiraj
no_video_found	No video found	Pas de vidéo	Ningún vídeo	Δεν βρέθηκε κανένα βίνεο	Nessun video trovato	لم يتم العثور على فيديو	Kein Video gefunden	動画が見つかりませんでした	Nem található videó	Nenhum vídeo	Nema pronađenih videozapisa
images_url	Images	Images	Imágenes	Εικόνες	Immagini	الصور	Bilder	画像	Képek	Imagens	Slike
no_images	No images	Pas d'images	Ningunas imágenes	Χωρίς εικόνες	Nessuna immagine	لا توجد صور	Keine Bilder	画像がありません	Nincsenek képek	Nenhuma imagem	Nema slika
snaRecord_socialMediaSelectlabel	Social media recorded	Médias sociaux enregistrés	Redes sociales registradas	Καταγεγραμμένα κοινωνικά μέσα	Social media registrati	وسائل التواصل المسجلة	Erfasste soziale Medien	記録されたソーシャルメディア	Rögzített közösségi média	Redes sociais registradas	Snimljene društvene mreže
snaRecording_selectCollectionLabel	Select collection	Sélectionner une collection	Seleccionar colección	Επιλέξτε συλλογή	Seleziona raccolta	اختر المجموعة	Sammlung auswählen	コレクションを選択	Kiválasztás gyűjtemény	K selecionar coleção	Odaberi zbirku
snaTools_newCollectionLabel	New collection	Nouvelle collection	Nueva colección	Nέα συλλογή	Nuova raccolta	مجموعة جديدة	Neue Sammlung	新しいコレクション	Uj gyűjtemény	Nova coleção	Nova zbirka
snaTools_addNewCollectionLabel	Add new collection	Ajouter une nouvelle collection	Añadir nueva colección	Προσθήκη νέας συλλογής	Aggiungi nuova raccolta	إضافة مجموعة جديدة	Neue Sammlung hinzufügen	新しいコレクションを追加	Készítsen új gyűjteményt	Adicionar nova coleção	Dodaj novu zbirku
snaRecording_startRecordingButton	Start recording	Démarrer l’enregistrement	Iniciar grabación	Έναρξη καταγραφής	Avvia registrazione	ابدأ التسجيل	Aufnahme starten	録画開始	Rögzítés indítása	Iniciar gravação	Započni snimanje
snaRecording_stopRecording	Stop recording	Arrêter l’enregistrement	Detener grabación	Διακοπή καταγραφής	Interrompi registrazione	إيقاف التسجيل	Aufnahme beenden	録画停止	Rögzítés leállítása	Parar gravação	Zaustavi snimanje
snaRecording_startRecording	Start recording	Démarrer l’enregistrement	Iniciar grabación	Έναρξη καταγραφής	Avvia registrazione	ابدأ التسجيل	Aufnahme starten	録画開始	Rögzítés indítása	Iniciar gravação	Započni snimanje
