	en	fr	es	el	it	ar	de	ja	hu	pt
machine_generated_text_title	Machine Generated Text	Texte Généré par Machine	Texto Generado por Máquina	Κείμενο που δημιουργείται από μηχανή	Testo Generato dalla Macchina	نص تم إنشاؤه آليًا	Maschinengenerierter Text	機械生成されたテキスト	Gépi generált szöveg	Texto gerado por máquina
machine_generated_text_tooltip	This classifier determines whether the extracted text has been written by a human or generated by an AI chatbot.	Ce classificateur détermine si le texte extrait a été écrit par un humain ou généré par un chatbot d'IA.	Este clasificador determina si el texto extraído ha sido escrito por un humano o generado por un chatbot de IA.	Αυτός ο ταξινομητής καθορίζει εάν το εξαγόμενο κείμενο έχει γραφτεί από άνθρωπο ή έχει δημιουργηθεί από ένα chatbot AI.	Questo classificatore determina se il testo estratto è stato scritto da un essere umano o generato da un chatbot AI.	يحدد هذا التصنيف ما إذا كان النص المستخرج قد تم كتابته بواسطة إنسان أو تم إنشاؤه بواسطة روبوت محادثة يعمل بالذكاء الاصطناعي.	Dieser Klassifikator bestimmt, ob der extrahierte Text von einem Menschen geschrieben oder von einem KI-Chatbot generiert wurde.	この分類は、抽出されたテキストが人間によって書かれたのか、AI、ボットによって生成されたのかを判断します	Ez az osztályozó meghatározza, hogy a kinyert szöveget ember írta-e, vagy AI chatbot generálta-e.	Este classificador determina se o texto extraído foi escrito por um humano ou gerado por um chatbot de IA.
mgt_form_textfield_placeholder	Text to analyze	Texte à analyser	Texto a analizar	Κείμενο προς ανάλυση	Testo da analizzare	النص لتحليله	Text zur Analyse	分析するテキスト	Elemzendő szöveg	Texto para analisar
mgt_form_submit_button	Analyze	Analyser	Analizar	Ανάλυση	Analizza	تحليل	Analysieren	解析	Elemezés	Analisar
gauge_detection	Machine	Machine	Máquina	Μηχανή	Macchina	آلة	Maschine	機械	Gép	Máquina
gauge_no_detection	Human	Humain	Humano	Άνθρωπος	Umano	إنسان	Mensch	人間	Ember	Humano
gauge_additional_results	Detection details	Détails de la détection	Detalles de detección	Λεπτομέρειες ανίχνευσης	Dettagli di rilevamento	تفاصيل الكشف	Erkennungsdetails	検出内容	Észlelési részletek	Detalhes da detecção
gauge_additional_results_hide	Hide detection details	Masquer les détails de la détection	Ocultar detalles de detección	Απόκρυψη λεπτομερειών ανίχνευσης	Nascondi dettagli rilevamento	إخفاء تفاصيل الكشف	Detektiondetails ausblenden	検出の詳細を非表示にする	Észlelési részletek elrejtése	Ocultar detalhes da detecção
gauge_probability_text	Probability:	Probabilité :	Probabilidad:	Πιθανότητα:	Probabilità:	احتمالية:	Wahrscheinlichkeit:	確率:	Valószínűség:	Probabilidade:
gauge_generic_detection_text
gauge_scale_explanation_link	What do the gauge colors mean?	Que signifient les couleurs de la jauge ?	¿Qué significan los colores del indicador?	Τι σημαίνουν τα χρώματα του μετρητή;	Cosa significano i colori del indicatore?	ماذا تعني ألوان العداد؟	Was bedeuten die Farben der Anzeige?	ゲージの色は何を意味しますか?	Mit jelentenek a mutató színei?	O que as cores do medidor significam?
gauge_scale_modal_explanation_title	What do the gauge colors mean?	Que signifient les couleurs de la jauge ?	¿Qué significan los colores del indicador?	Τι σημαίνουν τα χρώματα του μετρητή;	Cosa significano i colori del indicatore?	ماذا تعني ألوان العداد؟	Was bedeuten die Farben der Anzeige?	ゲージの色は何を意味しますか?	Mit jelentenek a mutató színei?	O que as cores do medidor significam?
gauge_download_gauge_button	Download Gauge Chart as jpeg file	Télécharger le graphique de jauge en tant que fichier jpeg	Descargar gráfico de indicadores como archivo jpeg	Λήψη γραφήματος μέτρησης ως αρχείο jpeg	Scarica il grafico della misura come file jpeg	تحميل مخطط القياس كملف jpeg	Downloaden Sie das Messgerätendiagramm als jpeg-Datei	ゲージチャートをjpegファイルとしてダウンロード	Mérődiagram letöltése jpeg fájlként	Baixar gráfico do medidor como arquivo jpeg
gauge_alert_label_1	Highly likely human written	Très probablement écrit par un humain	Muy probablemente escrito por un humano	Πιθανότατα γραμμένο από άνθρωπο	Molto probabilmente scritto da un umano	مكتوب على الأرجح بواسطة إنسان	Sehr wahrscheinlich von einem Menschen geschrieben	人間が書いた可能性が高い	Nagy valószínűséggel ember írta	Muito provavelmente escrito por um humano
gauge_alert_label_2	Likely human written	Probablement écrit par un humain	Probablemente escrito por un humano	Πιθανότατα γραμμένο από άνθρωπο	Probabilmente scritto da un umano	مكتوب على الأرجح بواسطة إنسان	Wahrscheinlich von einem Menschen geschrieben	おそらく人間が書いたもの	Valószínűleg ember írta	Provavelmente escrito por um humano
gauge_alert_label_3	Likely machine generated	Probablement généré par une machine	Probablemente generado por una máquina	Πιθανότατα δημιουργημένο από μηχανή	Probabilmente generato da una macchina	من المحتمل أن يكون تم إنشاؤه بواسطة آلة	Wahrscheinlich von einer Maschine generiert	おそらく機械が生成したもの	Valószínűleg gép generálta	Provavelmente gerado por uma máquina
gauge_alert_label_4	Highly likely machine generated	Très probablement généré par une machine	Muy probablemente generado por una máquina	Πιθανότατα δημιουργημένο από μηχανή	Molto probabilmente generato da una macchina	من المحتمل جدًا أن يكون تم إنشاؤه بواسطة آلة	Sehr wahrscheinlich von einer Maschine generiert	機械が生成した可能性が高い	Nagy valószínűséggel gép generálta	Muito provavelmente gerado por uma máquina
gauge_scale_modal_explanation_rating_1	0% ≤ Probability < 5% - Highly likely human written	0% ≤ Probabilité < 5% - Très probablement écrit par un humain	0% ≤ Probabilidad < 5% - Muy probablemente escrito por un humano	0% ≤ Πιθανότητα < 5% - Πιθανότατα γραμμένο από άνθρωπο	0% ≤ Probabilità < 5% - Molto probabilmente scritto da un umano	من 0% إلى أقل من 5%: مكتوب على الأرجح بواسطة إنسان	0% ≤ Wahrscheinlichkeit < 5% - Sehr wahrscheinlich von einem Menschen geschrieben	0% ≤ 確率 < 5% - 人間が書いた可能性が高い	0% ≤ Valószínűség < 5% - Nagy valószínűséggel ember írta	0% ≤ Probabilidade < 5% - Muito provavelmente escrito por um humano
gauge_scale_modal_explanation_rating_2	5% ≤ Probability < 50% - Likely human written	5% ≤ Probabilité < 50% - Probablement écrit par un humain	5% ≤ Probabilidad < 50% - Probablemente escrito por un humano	5% ≤ Πιθανότητα < 50% - Πιθανότατα γραμμένο από άνθρωπο	5% ≤ Probabilità < 50% - Probabilmente scritto da un umano	من 5% إلى أقل من 50%: من المحتمل أن يكون مكتوبًا بواسطة إنسان	5% ≤ Wahrscheinlichkeit < 50% - Wahrscheinlich von einem Menschen geschrieben	5% ≤ 確率 < 50% - おそらく人間が書いたもの	5% ≤ Valószínűség < 50% - Valószínűleg ember írta	5% ≤ Probabilidade < 50% - Provavelmente escrito por um humano
gauge_scale_modal_explanation_rating_3	50% ≤ Probability < 95% - Likely machine generated	50% ≤ Probabilité < 95% - Probablement généré par une machine	50% ≤ Probabilidad < 95% - Probablemente generado por una máquina	50% ≤ Πιθανότητα < 95% - Πιθανότατα δημιουργημένο από μηχανή	50% ≤ Probabilità < 95% - Probabilmente generato da una macchina	من 50% إلى أقل من 95%: من المحتمل أن يكون مولّدًا آليًا	50% ≤ Wahrscheinlichkeit < 95% - Wahrscheinlich von einer Maschine generiert	50% ≤ 確率 < 95% - おそらく機械が生成したもの	50% ≤ Valószínűség < 95% - Valószínűleg gép generálta	50% ≤ Probabilidade < 95% - Provavelmente gerado por uma máquina
gauge_scale_modal_explanation_rating_4	95% ≤ Probability < 100% - Highly likely machine generated	95% ≤ Probabilité < 100% - Très probablement généré par une machine	95% ≤ Probabilidad < 100% - Muy probablemente generado por una máquina	95% ≤ Πιθανότητα < 100% - Πιθανότατα δημιουργημένο από μηχανή	95% ≤ Probabilità < 100% - Molto probabilmente generato da una macchina	من 95% إلى أقل من 100%: مولّد آلي على الأرجح	95% ≤ Wahrscheinlichkeit < 100% - Sehr wahrscheinlich von einer Maschine generiert	95% ≤ 確率 < 100% - 機械が生成した可能性が高い	95% ≤ Valószínűség < 100% - Nagy valószínűséggel gép generálta	95% ≤ Probabilidade < 100% - Muito provavelmente gerado por uma máquina
machine_generated_text_rating	Explanation: The machine generated text classifier of the verification plugin finds the text to be	Explication : Le classificateur de texte généré par machine du plugin de vérification trouve le texte comme étant	Explicación: El clasificador de texto generado por máquina del plugin de verificación encuentra el texto como	Εξήγηση: Ο μηχάνημα-δημιουργημένος ταξινομητής κειμένου του πρόσθετου ελέγχου πιστοποίησης βρίσκει το κείμενο ως	Spiegazione: Il classificatore di testo generato dalla macchina del plugin di verifica trova il testo come	شرح: يجد المُصنِّف النصيّ المُولَّد آليًا الخاص بمُكوِّن الإضافيّ للتحقّق أنّ النصّ هو	Erklärung: Der maschinell generierte Textklassifikator des Verifizierungsplugins findet den Text als	説明: 検証プラグインの機械生成テキスト分類器は、テキストを「と判断します	Magyarázat: A verifikációs bővítmény gépi generált szöveg osztályozója a szöveget a következőként találja:	Explicação: O classificador de texto gerado por máquina do plugin de verificação considera o texto como
machine_generated_text_rating_1	highly likely human written, suggesting it was written by a human.	très probablement écrit par un humain, suggérant qu'il a été écrit par un humain.	muy probablemente escrito por un humano, sugiriendo que fue escrito por un humano.	πολύ πιθανό γραμμένο από άνθρωπο, υποδηλώνοντας ότι γράφτηκε από άνθρωπο.	molto probabilmente scritto da un umano, suggerendo che sia stato scritto da un umano.	مكتوب على الأرجح من قبل الإنسان، مما يشير إلى أنه قد كتب بواسطة الإنسان.	sehr wahrscheinlich von einem Menschen geschrieben, was darauf hindeutet, dass es von einem Menschen geschrieben wurde.	人間が書いた可能性が高いことを示唆しています。	nagy valószínűséggel ember írta, ami arra utal, hogy ember írta.	muito provavelmente escrito por um humano, sugerindo que foi escrito por um humano.
machine_generated_text_rating_2	likely human written, suggesting it could have been written by a human.	probablement écrit par un humain, suggérant qu'il pourrait avoir été écrit par un humain.	probablemente escrito por un humano, sugiriendo que podría haber sido escrito por un humano.	πιθανότατα γραμμένο από άνθρωπο, υποδηλώνοντας ότι θα μπορούσε να έχει γραφτεί από άνθρωπο.	probabilmente scritto da un umano, suggerendo che potrebbe essere stato scritto da un umano.	مكتوب على الأرجح من قبل الإنسان، مما يشير إلى أنه قد يكون كتب بواسطة الإنسان.	wahrscheinlich von einem Menschen geschrieben, was darauf hindeutet, dass es von einem Menschen geschrieben worden sein könnte.	人間によって書かれた可能性が高いことを示唆しています。	valószínűleg ember írta, ami arra utal, hogy ember írhatta.	provavelmente escrito por um humano, sugerindo que poderia ter sido escrito por um humano.
machine_generated_text_rating_3	likely machine generated, suggesting it could have been generated by an AI chatbot.	probablement généré par une machine, suggérant qu'il pourrait avoir été généré par un chatbot d'IA.	probablemente generado por máquina, sugiriendo que podría haber sido generado por un chatbot de IA.	πιθανότατα δημιουργήθηκε από μηχανή, υποδηλώνοντας ότι θα μπορούσε να έχει δημιουργηθεί από ένα chatbot AI.	probabilmente generato da una macchina, suggerendo che potrebbe essere stato generato da un chatbot AI.	من المحتمل أن يكون النص مولداً آلياً، مما يشير إلى أنه قد يكون تم إنشاؤه بواسطة روبوت محادثة يعمل بالذكاء الاصطناعي.	wahrscheinlich maschinell generiert, was darauf hindeutet, dass es von einem KI-Chatbot generiert worden sein könnte.	機械によって生成された可能性が高く、AIチャットボットによって生成された可能性があります。	valószínűleg gép generálta, ami arra utal, hogy AI chatbot generálhatta.	provavelmente gerado por máquina, sugerindo que poderia ter sido gerado por um chatbot de IA.
machine_generated_text_rating_4	highly likely machine generated, suggesting it was generated by an AI chatbot.	très probablement généré par une machine, suggérant qu'il a été généré par un chatbot d'IA.	muy probablemente generado por máquina, sugiriendo que fue generado por un chatbot de IA.	πολύ πιθανό δημιουργήθηκε από μηχανή, υποδηλώνοντας ότι δημιουργήθηκε από ένα chatbot AI.	molto probabilmente generato da una macchina, suggerendo che sia stato generato da un chatbot AI.	من المحتمل بشدة أن يكون النص مولداً آلياً، مما يشير إلى أنه قد تم إنشاؤه بواسطة روبوت محادثة يعمل بالذكاء الاصطناعي.	sehr wahrscheinlich maschinell generiert, was darauf hindeutet, dass es von einem KI-Chatbot generiert wurde.	機械によって生成された可能性が高く、AIチャットボットによって生成されたことを示唆しています。	nagy valószínűséggel gép generálta, ami arra utal, hogy AI chatbot generálta.	muito provavelmente gerado por máquina, sugerindo que foi gerado por um chatbot de IA.
