	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
ERR_AUTH_UNKNOWN_ERROR	The application has raised an unknown error	L'application a rencontré une erreur inconnue	La aplicación ha generado un error desconocido	Η εφαρμογή έχει προκαλέσει ένα άγνωστο σφάλμα	L'applicazione ha sollevato un errore sconosciuto	رفع التطبيق خطأ غير معروف	Die Anwendung hat einen unbekannten Fehler angesprochen	アプリケーションで不明なエラーが発生しました	Az alkalmazás ismeretlen hibát generált	O aplicativo gerou um erro desconhecido	Aplikacija je prijavila nepoznatu pogrešku	Aplikacija je javila neznano napako	Апликација је пријавила непознату погрешку
ERR_AUTH_ABORT_ERROR	The server is not responding	Le service ne répond pas	El servidor no está respondiendo	Ο διακομιστής δεν αποκρίνεται	Il server non risponde	الخادم لا يستجيب	Der Server reagiert nicht	サーバーが応答していません	A szerver nem válaszol	O servidor não está respondendo	Poslužitelj ne odgovara	Strežnik se ne odziva	Послужитељ не одговара
ERR_AUTH_INVALID_PARAMS	Invalid parameters	Paramètres invalides	Parámetros inválidos	Μη έγκυρες παράμετρο	Parametri non validi	معلمات غير صالحة	Ungültige Parameter	無効なパラメータ	Érvénytelen paraméterek	Parâmetros inválidos	Nevažeći parametri	Neveljavni parametri	Неважећи параметри
ERR_AUTH_BAD_REQUEST	Invalid request sent to the service	La requête envoyée au service est invalide	La solicitud enviada al servicio no es válida	Μη έγκυρη αίτηση αποστάλθηκε στην υπηρεσία	Richiesta non valida inviata al servizio	تم إرسال طلب غير صالح إلى الخدمة	Ungültige Anfrage, die an den Dienst gesendet wurde	無効なリクエストがサービスに送信されました	Érvénytelen kérés lett küldve a szolgáltatásnak	A solicitação enviada ao serviço é inválida	Servisu je poslan nevažeći zahtjev	Na storitev je bila poslana neveljavna zahteva	Сервису је послан неважећи захтјев
ERR_AUTH_SERVER_ERROR	Service not available or in error state	Service indisponible ou en erreur	El servicio no está disponible o disfunciona	Υπηρεσία δεν είναι διαθέσιμη ή σε κατάσταση σφάλματος	Servizio non disponibile o in stato di errore	الخدمة غير متوفرة أو في حالة الخطأ	Service nicht verfügbar oder im Fehlerzustand	サービスが利用できないかエラー状態です	A szolgáltatás nem elérhető vagy hibás állapotban van	O serviço não está disponível ou apresenta falhas	Usluga nije dostupna ili je u stanju pogreške	Storitev ni na voljo ali je v stanju napake	Услуга није доступна или је у стању погрешке
ERR_AUTH_INVALID_TOKEN	Authentication token is invalid	Le token d'authentification n'est pas valable	El token de autenticación no es válido	Το πιστοποιητικό αυθεντικοποίησης δεν είναι έγκυρο	Il token di autenticazione non è valido	رمز المصادقة غير صالح	Authentifizierungs -Token ist ungültig	認証トークンが無効です	A hitelesítési token érvénytelen	O token de autenticação é inválido	Token za provjeru autentičnosti nije važeći	Žeton za preverjanje pristnosti je neveljaven	Токен за провјеру аутентичности није важећи
ERR_AUTH_INVALID_CREDENTIALS	Invalid authentication information	Les informations d'authentification ne sont pas valables	La información de autenticación no es válida	Μη έγκυρη πληροφόρηση αυθεντικοποίησης	Informazioni di autenticazione non valide	معلومات المصادقة غير صالحة	Ungültige Authentifizierungsinformationen	無効な認証情報です	Érvénytelen hitelesítési információk	As informações de autenticação são inválidas	Nevažeće informacije o autentičnosti	Neveljavne informacije o preverjanju pristnosti	Неважеће информације о аутентичности
ERR_AUTH_INVALID_USER_STATE	User account's state is invalid	L'état du compte utilisateur est invalide	El estado de la cuenta de usuario no es válida	Κατάσταση λογαριασμού χρήστη δεν είναι έγκυρη	Lo stato dell'account utente non è valido	حالة حساب المستخدم غير صالحة	Der Status des Benutzerkontos ist ungültig	ユーザーアカウントの状態が無効です	A felhasználói fiók állapota érvénytelen	O status da conta do usuário é inválido	Stanje korisničkog računa je nevažeće	Stanje uporabniškega računa je neveljavno	Стање корисничког рачуна је неважеће
ERR_AUTH_USER_EXPIRED	User account is expired	Le compte utilisateur a expiré	La cuenta de usuario ha caducado	Ο λογαριασμός χρήστη έχει λήξει	L'account utente è scaduto	انتهت صلاحية حساب المستخدم	Benutzerkonto ist abgelaufen	ユーザーアカウントの有効期限が切れています	A felhasználói fiók lejárt	A conta do usuário expirou	Korisnički račun je istekao	Uporabniški račun je potekel	Кориснички рачун је истекао
ERR_AUTH_SESSION_EXPIRED	Your session has expired	Votre session a expiré	Su sesión ha caducado	Η συνεδρία σας έχει λήξει	la tua sessione è scaduta	انتهت صلاحية جلسة العمل الخاصة بك	Deine Sitzung ist abgelaufen	セッションの有効期限が切れました	A munkamenet lejárt	Sua sessão expirou	Vaša sesija je istekla	Vaša seja je potekla	Ваша сесија је истекла
