	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
clear_session	Clear chat and reset session	Effacer le contenu et réinitialiser la session	Borrar contenido y reiniciar sesión	Εκκαθάριση περιεχομένου και επαναφορά περιόδου σύνδεσης	Cancella contenuto e reimposta sessione	مسح المحتوى وإعادة تعيين الجلسة	Inhalt löschen und Sitzung zurücksetzen	コンテンツをクリアしてセッションをリセットする	dTartalom törlése és munkamenet visszaállítása	Limpar conteúdo e redefinir sessão	Očisti chat i resetiraj sesiju	Počisti klepet in ponastavi sejo
chat_bot_start	Start a conversation with the chatbot...	Démarrer une conversation avec le chatbot...	Iniciar una conversación con el chatbot...	Ξεκινήστε μια συνομιλία με το chatbot...	Avvia una conversazione con il chatbot...	ابدأ محادثة مع روبوت المحادثة ...	Starten Sie eine Konversation mit dem Chatbot...	チャットボットとの会話を開始します...	Beszélgetés indítása a chatbottal...	Inicie uma conversa com o chatbot...	Započnite razgovor s chatbotom...	Začnite pogovor s chatbotom...
preprompt_label	Predefined prompts	Prompts prédéfinies	Prompts predefinidos	προκαθορισμένες εντολές	Prompt predefiniti	مطالبات محددة مسبقًا	vordefinierte Prompts	事前定義されたプロンプト	Előre meghatározott parancsok	Prompts predefinidos	Unaprijed definirani promptovi	Vnaprej določeni pozivi
active_prompt1	- Type your content in the chat box below to get started. You can still change the pre-request above.	- Saisissez votre contenu dans la zone de dialogue ci-dessous pour initialiser. Vous pouvez toujours modifier la pré-requête ci-dessus.	- Ingrese su contenido en el cuadro de diálogo a continuación para iniciar. Todavía puede modificar la pre-solicitud anterior.	- Εισαγάγετε το περιεχόμενό σας στο παρακάτω πλαίσιο διαλόγου για να ξεκινήσετε. Μπορείτε ακόμα να τροποποιήσετε το παραπάνω προ-αίτημα.	- Inserisci il tuo contenuto nella finestra di dialogo sottostante per iniziare. È ancora possibile modificare la pre-richiesta sopra.	- أدخل المحتوى الخاص بك في مربع الحوار أدناه للبدء. لا يزال بإمكانك تعديل الطلب المسبق أعلاه.	- Geben Sie Ihren Inhalt in das Dialogfeld unten ein, um zu beginnen. Sie können die Vorabanfrage oben weiterhin ändern.	- 開始するには、下のダイアログボックスにコンテンツを入力してください。上の事前リクエストは引き続き変更できます。	- A kezdéshez írja be a tartalmat az alábbi párbeszédpanelbe. A fenti előzetes kérést továbbra is módosíthatja.	- Insira seu conteúdo na caixa de diálogo abaixo para iniciar. Você ainda pode modificar a pré-solicitação acima.	- Unesite svoj sadržaj u chat box ispod da biste započeli. I dalje možete promijeniti prethodni zahtjev iznad.	- Vnesite svojo vsebino v spodnje okno za klepet, da začnete. Predhodno zahtevo zgoraj lahko še vedno spremenite.
active_prompt2	- Pre-request will be executed automatically. You can still change the selection above.	- La pré-requête sera exécutée automatiquement. Vous pouvez toujours modifier la sélection ci-dessus.	- La pre-solicitud se ejecutará automáticamente. Todavía puede modificar la selección anterior.	- Το προ-αίτημα θα εκτελεστεί αυτόματα. Μπορείτε ακόμα να τροποποιήσετε την παραπάνω επιλογή.	- La pre-richiesta verrà eseguita automaticamente. È ancora possibile modificare la selezione sopra.	- سيتم تنفيذ الطلب المسبق تلقائيًا. لا يزال بإمكانك تعديل التحديد أعلاه.	- Die Vorabanfrage wird automatisch ausgeführt. Sie können die Auswahl oben weiterhin ändern.	- 事前リクエストは自動的に実行されます。上の選択は引き続き変更できます。	- Az előzetes kérés automatikusan végrehajtódik. A fenti kijelölést továbbra is módosíthatja.	- A pré-solicitação será executada automaticamente. Você ainda pode modificar a seleção acima.	- Prethodni zahtjev bit će automatski izvršen. I dalje možete promijeniti odabir iznad.	- Predhodna zahteva se bo samodejno izvedla. Izbiro zgoraj lahko še vedno spremenite.
active_prompt3	- Session active. Use the clear button to change pre-request.	- Session active. Utilisez le bouton d'effacement pour modifier la pré-requête.	- Sesión activa. Utilice el botón de borrado para modificar la pre-solicitud.	- Ενεργή περίοδος λειτουργίας. Χρησιμοποιήστε το κουμπί εκκαθάρισης για να τροποποιήσετε το προ-αίτημα.	- Sessione attiva. Utilizzare il pulsante di cancellazione per modificare la pre-richiesta.	- الجلسة نشطة. استخدم زر المسح لتعديل الطلب المسبق.	- Sitzung aktiv. Verwenden Sie die Löschtaste, um die Vorabanfrage zu ändern.	- セッションがアクティブです。クリアボタンを使用して事前リクエストを変更してください。	- Munkamenet aktív. A törlés gombbal módosíthatja az előzetes kérést.	- Sessão ativa. Use o botão limpar para modificar a pré-solicitação.	- Aktivna sesija. Koristite gumb za brisanje da biste promijenili prethodni zahtjev.	- Seja je aktivna. Za spremembo predhodne zahteve uporabite gumb za brisanje.
chatbot_start	Please select a predefined prompt above to start...	Veuillez sélectionner un prompt prédéfini ci-dessus pour démarrer...	Por favor, seleccione un prompt predefinido de arriba para empezar...	Παρακαλώ επιλέξτε μια προκαθορισμένη προτροπή παραπάνω για να ξεκινήσετε...	Seleziona un prompt predefinito qui sopra per iniziare...	يرجى تحديد موجه محدد مسبقًا أعلاه للبدء ...	Bitte wählen Sie oben einen vordefinierten Prompt aus, um zu starten...	開始するには、上の定義済みプロンプトを選択してください...	Kérjük, válasszon egy előre meghatározott parancsot a kezdéshez...	Por favor, selecione um prompt pré-definido acima para iniciar...	Molimo odaberite unaprijed definirani prompt iznad da biste započeli...	Za začetek izberite vnaprej določen poziv zgoraj...
content_analysis	Enter content for analysis...	Saisir le contenu pour analyse...	Introduzca el contenido para su análisis...	Εισαγάγετε περιεχόμενο για ανάλυση...	Inserisci il contenuto per l'analisi...	أدخل المحتوى للتحليل ...	Geben Sie den Inhalt zur Analyse ein...	分析するコンテンツを入力してください...	Adja meg a tartalmat elemzéshez...	Insira o conteúdo para análise...	Unesite sadržaj za analizu...	Vnesite vsebino za analizo...
chatbot_type_here	Type your message here...	Saisissez votre message ici...	Escriba su mensaje aquí...	Πληκτρολογήστε το μήνυμά σας εδώ...	Scrivi il tuo messaggio qui...	اكتب رسالتك هنا ...	Geben Sie hier Ihre Nachricht ein...	ここにメッセージを入力してください...	Írja ide az üzenetét...	Digite sua mensagem aqui...	Upišite svoju poruku ovdje...	Tukaj vnesite svoje sporočilo...
chatbot_disable	Chatbot is disabled until you select a predefined prompt	Le Chatbot est désactivé jusqu'à ce que vous sélectionniez un prompt prédéfini	El Chatbot está deshabilitado hasta que seleccione un prompt predefinido	Το Chatbot είναι απενεργοποιημένο μέχρι να επιλέξετε μια προκαθορισμένη προτροπή	Chatbot è disabilitato finché non si seleziona un prompt predefinito	يتم تعطيل Chatbot حتى تحدد موجهًا محددًا مسبقًا	Chatbot ist deaktiviert, bis Sie einen vordefinierten Prompt auswählen	定義済みのプロンプトを選択するまでチャットボットは無効です	A Chatbot le van tiltva, amíg nem választ egy előre meghatározott parancsot	O Chatbot está desativado até que você selecione um prompt pré-definido	Chatbot je onemogućen dok ne odaberete unaprijed definirani prompt.	Chatbot je onemogočen, dokler ne izberete vnaprej določenega poziva
