	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
geo_link	Link of the image	Lien de l'image	Link de la imagen	Ανάλυση Αυθεντικότητας Εικόνων (image forensics)	Collegamento dell'immagine	رابط عنوان URL للصورة	Bildlink	画像のリンク	A kép linkje	Link da imagem	Veza slike	Povezava do slike	Веза слике
geo_paste	Paste the link here	Collez le lien ici	Pegue el link aquí	Επικολλήστε τον σύνδεσμο εδώ	Incolla il link qui	الصق الرابط هنا	Fügen Sie den Link hier ein	ここにリンクを貼り付けてください	Illessze be a linket ide	Cole o link aqui	Zalijepite poveznicu ovdje	Prilepite povezavo sem	Залепите везу овде
geo_submit	Submit	Envoyer	Enviar	Υποβολή	Invia	إرسال	Einreichen	送信	Küldés	Enviar	Pošlji	Pošlji	Пошаљи
geo_maps	Open in Google Maps	Ouvrir dans Google Maps	Abrir en Google Maps	Ανοίξτε στο Google Maps	Aprire in Google Maps	افتح في خرائط جوجل	In Google Maps geöffnet	Google マップで開く	Megnyitás a Google Térképen	Abrir no Google Maps	Otvori u Google kartama	Odpri v Google Zemljevidih	Отвори у Google Картама
geo_prediction	Location prediction of the image	Prédiction de l'emplacement de l'image	Predicción de la ubicación de la imagen	Πρόβλεψη θέσης της εικόνας	Previsione della posizione dell'immagine	التنبؤ بموقع الصورة	Standortvorhersage des Bildes	画像の位置予測	A kép helyének előrejelzése	Previsão da localização da imagem	Predviđanje lokacije slike	Predvidevanje lokacije slike	Предвиђање локације слике
geo_source	Source of the image	Source de l'image	Origen de la imagen	Πηγή της εικόνας	Fonte di immagine	مصدر الصورة	Bildquelle	画像の出典	A kép forrása	Origem da imagem	Izvor slike	Vir slike	Извор слике
geo_location	Location	Localisation	Ubicación	Τοποθεσία	Posizione	موقع	Standort	位置	Helyszín	Localização	Lokacija	Lokacija	Локација
geo_lat	Latitude	Latitude	Latitud	Γεωγραφικό πλάτος	Latitudine	خط العرض	Breite	緯度	Szélesség	Latitude	Geografska širina	Zemljepisna širina	Географска ширина
geo_lon	Longitude	Longitude	Longitud	Γεωγραφικό μήκος	Longitudine	خط الطول	Längengrad	経度	Hosszúság	Longitude	Geografska dužina	Zemljepisna dolžina	Географска дужина
geo_map	Map	Carte	Mapa	Χάρτης	Carta geografica	الخريطة	Karte	地図	Térkép	Mapa	Karta	Zemljevid	Карта
button_remove	Remove	Supprimer	Eliminar	Αφαιρώ	Rimuovere	إزالة	Entfernen	削除	Eltávolítás	Excluir	Ukloni	Odstrani	Уклони
please_give_a_correct_link	Please give a correct link	Donner un lien valide s'il vous plaît	Por favor, dé un enlace válido	Παρακαλώ δώστε έναν σωστό σύνδεσμο	Si prega di fornire un collegamento corretto	يرجى إعطاء رابط صحيح	Bitte geben Sie einen korrekten Link an	正しいリンクを貼ってください	Kérjük, adjon meg egy érvényes linket	Por favor, insira um link válido	Molimo dajte ispravnu poveznicu	Prosimo, vnesite pravilno povezavo	Молимо дајте исправну везу
geo_error_undefined	Please give a correct link	Donner un lien valide s'il vous plaît	Por favor, dé un enlace válido	Παρακαλώ δώστε έναν σωστό σύνδεσμο	Si prega di fornire un collegamento corretto	يرجى إعطاء رابط صحيح	Bitte geben Sie einen korrekten Link an	正しいリンクを貼ってください	Kérjük, adjon meg egy érvényes linket	Por favor, forneça um link válido	Molimo dajte ispravnu poveznicu	Prosimo, vnesite pravilno povezavo	Молимо дајте исправну везу
geo_error_400	Error download	Erreur de téléchargement	Error al descargar	Σφάλμα λήψης	Errore durante il download	حدث خطأ أثناء التنزيل	Fehler herunterladen	ダウンロードエラー	Hiba a letöltés során	Erro ao baixar	Pogreška preuzimanja	Napaka pri prenosu	Грешка при преузимању
geo_error_500	Service internal error	Erreur interne du service	Error interno del servicio	Εσωτερικό σφάλμα σέρβις	Errore interno del servizio	خطأ داخلي في الخدمة	Interner Fehler für interne Fehler	サービス内部エラー	Szolgáltatás belső hiba	Erro interno do serviço	Interna pogreška usluge	Notranja napaka storitve	Интерна грешка услуге
geo_error_no_result_found	No geographical result was found with the image you used	Aucun résultat géographique n’a été trouvé avec l’image utilisée	No se encontró ningún resultado geográfico con la imagen utilizada	Δεν βρέθηκε γεωγραφικό αποτέλεσμα με την εικόνα που χρησιμοποιήσατε	Nessun risultato geografico trovato con l'immagine utilizzata	لم يتم العثور على أي نتيجة جغرافية باستخدام الصورة التي قدمتها	Es wurden keine geografischen Ergebnisse mit dem verwendeten Bild gefunden	使用した画像では地理的な結果が見つかりませんでした	A használt képpel nem található földrajzi eredmény	Nenhum resultado geográfico foi encontrado com a imagem utilizada	Nije pronađen nijedan geografski rezultat s korištenom slikom	Z uporabljeno sliko ni bil najden noben geografski rezultat	Nisu pronađeni geografski rezultati sa korišćenom slikom
geo_tab_algorithm	Algorithm results	Résultats de l'algorithme	Resultados del algoritmo	Αποτελέσματα αλγορίθμου	Risultati dell'algoritmo	نتائج الخوارزمية	Algorithmusergebnisse	アルゴリズムの結果	Algoritmus eredményei	Resultados do algoritmo	Rezultati algoritma	Rezultati algoritma	Резултати алгоритма
geo_tab_metadata	Metadata results	Résultats des métadonnées	Resultados de metadatos	Αποτελέσματα μεταδεδομένων	Risultati dei metadati	نتائج البيانات الوصفية	Metadaten-Ergebnisse	メタデータの結果	Metaadatok eredményei	Resultados dos metadados	Rezultati metapodataka	Rezultati metapodatkov	Резултати метаподатака
