	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
api_title	Video contextual verification	Vérification du contexte de la vidéo	Verificación del contexto del video	Επαλήθευση βίντεο μέσω ανάλυσης δεικτών εγκυρότητας	VIDEO Verifica contestuale	التحقق من سياق الفيديو	Videokontextüberprüfung	動画コンテキスト検証	Videó kontextuális ellenőrzés	Verificação de contexto do vídeo	Provjera konteksta videozapisa	Kontekstualno preverjanje videa
api_input	Youtube link	Adresse YouTube	Enlace de YouTube	Σύνδεσμος Youtube	Link YouTube	رابط يوتيوب أو فيسبوك	YouTube-Link	YouTube または のリンク	Youtube-link	Link do YouTube ou Facebook	Youtube link	Youtube povezava
api_input_placeholder	Paste here the link	Coller ici le lien	Pegar aquí el enlace	Επικολλήστε εδώ το σύνδεσμο	Incolla qui il link	الصق الرابط هنا	Fügen Sie hier den Link ein	ここにリンクを貼り付けます	Illessze be ide a linket	Cole o link aqui	Zalijepite poveznicu ovdje	Prilepite povezavo tukaj
api_repro	Reprocess	Retraiter	Volver a procesar	Επανεπεξεργασία	Riprocessare	إعادة المعالجة	Erneuern	再処理	Újrafeldolgozás	Reprocessar	Ponovno obradi	Ponovno obdelaj
api_comments	All comments	Tous les commentaires	Todos los comentarios	Όλα τα σχόλια	Tutti i commenti	كل التعليقات	Alle Kommentare	すべてのコメント	Minden hozzászólás	Todos os comentários	Svi komentari	Vsi komentarji
button_submit	Submit	Envoyer	Enviar	Υποβολή	Invia	إرسال	Einreichen	送信	Küldés	Enviar	Pošalji	Pošlji
facebook_video_name_1	Video id	Identifiant de la vidéo	Identificación del video	Βίντεο id	ID video	معرف الفيديو	Video -ID	ビデオID	Videó azonosító	ID do vídeo	ID videozapisa	ID videoposnetka
image_id	Image id	Identifiant de l'image	Identificación de imagen	Αναγνωριστικό εικόνας	ID Immagine	معرف الصورة	Bild -ID	画像ID	Kép azonosító	ID da imagem	ID slike	ID slike
facebook_video_name_2	Video title	Titre de la vidéo	Títular del video	Τίτλος Βίντεο	Titolo del video	عنوان مقطع الفيديو	Videotitel	動画のタイトル	Videó címe	Título do vídeo	Naslov videozapisa	Naslov videa
facebook_video_name_3	Duration	Durée	Duración	Διάρκεια	Durata	المدة	Dauer	時間	Időtartam	Duração	Trajanje	Trajanje
facebook_video_name_4	Content category	Catégorie du contenu	Categoría del contenido	Κατηγορία περιεχομένου	Categoria di contenuti	فئة المحتوى	Inhaltskategorie	コンテンツカテゴリ	Tartalom kategória	Categoria do conteúdo	Kategorija sadržaja	Kategorija vsebine
facebook_video_name_5	Content tags	Tag du contenu	Tag del contenido	Ετικέτες περιεχομένου	Tag di contenuto	علامات المحتوى	Content -Tags	コンテンツタグ	Tartalom címkék	Tags do conteúdo	Oznake sadržaja	Oznake vsebine
facebook_video_name_6	Video description	Description de la vidéo	Descripción del video	Περιγραφή Βίντεο	Descrizione video	وصف الفيديو	Videobeschreibung	ビデオの説明	Videóleírás	Descrição do vídeo	Opis videozapisa	Opis videa
facebook_video_name_7	Like count	Nombre de ''j'aime''	Número de ''me gusta''	Αριθμός likes	Numero di likes	عدد الإعجاب	Wie Graf	いいね数	Kedvelések száma	"Número de ""curtidas"""	Broj sviđanja	Število všečkov
facebook_video_name_8	Updated time	Date de mise en ligne	Fecha de puesta en línea	Ώρα ενημέρωσης	Data di pubblicazione	الوقت المحدث	Zeit aktualisiert	更新時間	Frissítés ideje	Data de publicação	Vrijeme ažuriranja	Posodobljen čas
facebook_video_name_9	Created time	Date de création	Fecha de creación	Ώρα δημιουγίας	Data di creazione	وقت الإنتاج	Zeit erstellt	作成時間	Létrehozás ideje	Data de criação	Vrijeme izrade	Čas ustvarjanja
facebook_image_caption	Caption	Légende	Subtítulo	Λεζάντα	Didascalia	الشرح	Untertitel	キャプション	Felirat	Legenda	Opis	Napis
facebook_comment_title	Comments	Commentaires	Comentarios	Σχόλια	Commenti	التعليقات	Kommentare	コメント	Hozzászólások	Comentários	Komentari	Komentarji
facebook_comment_name_1	Video comment count	Nombre de commentaires	Comentarios sobre el video	Αριθμός σχολίων βίντεο	Conteggio del commento video	عدد تعليقات الفيديو	Videokommentarzahl	動画のコメント数	Videó hozzászólások száma	Comentários do vídeo	Broj komentara videozapisa	Število komentarjev k videu
