	en	fr	es	el	ar	de
close	Close	Fermer	Cerrar	Κλείσε	إغلاق	Schließen
archived	Channel is Archived!	La chaîne est archivée!	El canal está archivado!	Το κανάλι έχει αρχειοθετηθεί!	القناة  مؤرشفة	Kanal ist archiviert!
badrequest	Bad Request!	Mauvaise Demande!	¡Solicitud incorrecta!	Κακό Αίτημα!	طلب سيء!	Ungültige Anforderung!
forbidden	Forbidden!	Interdit!	¡Prohibido!	Απαγορευμένο!	ممنوع!	Verboten!
internal	Server Error!	Erreur du serveur!	¡Error del Servidor!	Σφάλμα Διακομιστή!	خطأ في الخادم!	Serverfehler!
notfound	Channel Not Found!	Chaîne introuvable!	¡Canal no encontrado!	Κανάλι δεν βρέθηκε!	لم يتم العثور على القناة!	Kanal nicht gefunden!
unexpected	Unexpected error!	Erreur inattendue!	¡Error inesperado!	Απρόσμενο σφάλμα!	خطأ غير متوقع!	Unerwarteter Fehler!
improvement	Improvement	Amélioration	Mejora	Βελτίωση	تحسين	Verbesserung
bug	Bug	Bug	Bug	Σφάλμα	خلل	Insekt
feature	Feature	Fonctionnalité	Característica	Χαρακτηριστικό	ميزة	Besonderheit
title	Send Feedback	Envoyer un commentaire	Enviar un comentario	Στείλετε τα σχόλιά σας	ارسل انطباعك	Feedback abschicken
remove	Remove	Retirer	Eliminar	Αφαίρεσε	إزالة	Entfernen
message	Message	Message	Mensaje	Μήνυμα	رسالة	Nachricht
type	Feedback type	Type de commentaire	Tipo de Comentarios	Τύπος σχολίων	نوع الانطباع	Feedback-Art
placeholder	Your message... Add your email if you want us to contact you	Votre message ... Ajoutez votre email si vous souhaitez que nous vous contactions	Su mensaje ... Agregue su correo electrónico si desea que nos comuniquemos con usted	Το μήνυμά σας ... Προσθέστε το e-mail σας αν θέλετε να επικοινωνήσουμε μαζί σας	رسالتك... أضف بريدك الإلكتروني إذا كنت تريد منا التواصل معك	Ihre Nachricht ... fügen Sie Ihre E -Mail hinzu, wenn Sie möchten, dass wir Sie kontaktieren
sending	Sending feedback...	Envoi de commentaires ...	Enviando comentarios ...	Αποστολή σχολίων ...	إرسال ردود الفعل...	Feedback senden ...
sent	Sent!	Envoyé!	Expedido!	Εστάλη!	تم الإرسال	Gesendet!
submit_text	Send Feedback	Envoyer des commentaires	Enviar comentarios	Στείλετε τα σχόλιά σας	ارسل انطباعك	Feedback abschicken
button	Feedback	Feedback	Feedback	Σχόλια	التغذية الراجعة	Rückmeldung
