	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
synthetic_image_detection_label	Media link	Media lien	Media link	σύνδεσμος πολυμέσων	Collegamento multimediale	رابط الوسائط	Medienlink	メディアリンク	Média link	Link da mídia	Veza medija	Povezava medijev	Veza medija
synthetic_image_detection_name	Synthetic Image Detection	Détection d'image synthétique	Detección de imágenes sintéticas	Ανίχνευση συνθετικής εικόνας	Rilevamento di immagini sintetiche	كشف الصور الاصطناعية	Synthetische Bilderkennung	合成画像の検出	Szintetikus képek felismerése	Detecção de imagens sintéticas	Otkrivanje sintetičkih slika	Zaznavanje sintetičnih slik	Otkrivanje sintetičkih slika
synthetic_image_detection_placeholder	Paste the URL here	Collez le lien ici	Pega aquí el link	Επικολλήστε τη διεύθυνση σύνδεσμος εδώ	Incolla l'URL qui	الصق عنوان URL هنا	Fügen Sie die URL hier ein	ここにURLを貼り付けてください	Illessze be ide az URL-t	Cole o link aqui	Zalijepite URL ovdje	Prilepite URL tukaj	Zalijepite URL ovdje
synthetic_image_detection_image_type	Image type	Type d'image	Tipo de imagen	Τύπος εικόνας	Tipo di immagine	نوع الصورة	Bildtyp	画像の種類	Képtípus	Tipo de imagem	Vrsta slike	Vrsta slike	Vrsta slike
synthetic_image_detection_results	Results of the clip selected	Résultats du clip sélectionné	Resultados del clip seleccionado	Αποτελέσματα του επιλεγμένου κλιπ	Risultati della clip selezionata	نتائج المقطع المحدد	Ergebnisse des ausgewählten Clips	選択したクリップの結果	A kiválasztott klip eredményei	Resultados do clipe selecionado	Rezultati odabranog isječka	Rezultati izbranega posnetka	Rezultati odabranog isječka
synthetic_image_detection_link	Image link	Lien image	Link de la imagen	Σύνδεσμος εικόνας	Collegamento immagine	رابط الصورة	Bildlink	画像リンク	Képlink	Link da imagem	Veza slike	Povezava do slike	Veza slike
synthetic_image_detection_gan_name	GAN	RAG	RAG	GAN	GAN	GAN	GAN	GAN	GAN	RAG	GAN	GAN	GAN
synthetic_image_detection_gan_description	This method aims to detect if the image has been generated by a Generative Adversarial Network (GAN).	Cette méthode vise à détecter si l'image a été générée par un réseau antagoniste génératif (RAG).	Este metodo trata de detectar si la imagen ha sido generada por una red generativa adversativa (RAG).	Αυτή η μέθοδος στοχεύει να ανιχνεύσει εάν η εικόνα έχει δημιουργηθεί από ένα Generative Adversarial Network (GAN).	Questo metodo mira a rilevare se l'immagine è stata generata da una Generative Adversarial Network (GAN).	تهدف هذه الطريقة إلى اكتشاف ما إذا كانت الصورة قد تم إنشاؤها بواسطة شبكة الخصومة التوليدية (GAN).	Diese Methode zielt darauf ab zu erkennen, ob das Bild von einem generativen kontroversem Netzwerk (GAN) generiert wurde.	この方法は、画像が敵対的生成ネットワーク (GAN) によって生成されたかどうかを検出することを目的としています	Ez a módszer azt célozza meg, hogy észlelje, vajon a képet Generative Adversarial Network (GAN) generálta-e.	Este método tenta detectar se a imagem foi gerada por uma rede generativa adversarial (RAG).	Ova metoda ima za cilj otkriti je li slika generirana Generativnom protivničkom mrežom (GAN).	Ta metoda je namenjena zaznavanju, ali je bila slika ustvarjena z generativno nasprotniško mrežo (GAN).	Ova metoda ima za cilj otkriti je li slika generirana Generativnom protivničkom mrežom (GAN).
synthetic_image_detection_diffusion_name	Latent Diffusion model	Modèle de diffusion latent	Modelo de difusión latente	Μοντέλο λανθάνουσας διάχυσης	Modello di diffusione latente	نموذج الانتشار الكامن	Modell der latenten Diffusion	潜在拡散モデル	Látens Diffúziós modell	Modelo de difusão latente	Model latentne difuzije	Model latentne difuzije	Model latentne difuzije
synthetic_image_detection_diffusion_description	This method aims to detect if the image has been generated through a latent diffusion model neural network.	Cette méthode vise à détecter if l'image a été générée par un modèle neuronal de diffusion.	Este metodo trata de detectar si la image ha sigo generada por un modelo neuronal de difusión.	Αυτή η μέθοδος στοχεύει να ανιχνεύσει εάν η εικόνα έχει δημιουργηθεί μέσω ενός νευρωνικού δικτύου μοντέλου διάχυσης.	Questo metodo mira a rilevare se l'immagine è stata generata attraverso una rete neurale con modello di diffusione.	تهدف هذه الطريقة إلى اكتشاف ما إذا كانت الصورة قد تم إنشاؤها من خلال شبكة عصبية لنموذج الانتشار.	Diese Methode zielt darauf ab, festzustellen, ob das Bild durch ein neuronales Diffusionsmodell -Netzwerk erzeugt wurde.	この方法は、画像が潜在拡散モデル ニューラルネットワークを通じて生成されたかどうかを検出することを目的としています	Ez a módszer azt célozza meg, hogy észlelje, vajon a képet látens diffúziós modell neurális hálózaton keresztül generálták-e.	Este método tenta detectar se a imagem foi generada por um modelo neural de difusão.	Ova metoda ima za cilj otkriti je li slika generirana kroz neuronsku mrežu modela latentne difuzije.	Ta metoda je namenjena zaznavanju, ali je bila slika ustvarjena z nevronsko mrežo modela latentne difuzije.	Ova metoda ima za cilj otkriti je li slika generirana kroz neuronsku mrežu modela latentne difuzije.
