	en	fr	es	el	it	ar	de
ocr_title	OCR	OCR	LOC	OCR	OCR	OCR	Texterkennung
ocr_urlbox	Image link	URL de l'image	URL de la imagen	URL εικόνας	Collegamento dell'immagine	رابط الصورة	Bildlink
ocr_urlbox_placeholder	Paste the link here	Coller le lien ici	Pegar el enlace aquí	Επικολλήστε τον σύνδεσμο εδώ	Incolla il link qui	الصق الرابط هنا	Fügen Sie den Link hier ein
ocr_error	Could not extract text. Please try another input	Le texte n'a pas pu être extrait. Essayer svp une autre image	No se pudo extraer el texto. Intente porfa con otro imagen	Δεν ήταν δυνατή η εξαγωγή κειμένου. Δοκιμάστε μια άλλη είσοδο	Impossibile estrarre il testo. Si prega di provare un altro input	لا يمكن استخراج النص. الرجاء تجربة مدخلات أخرى	Konnte keinen Text extrahieren. Bitte versuchen Sie einen anderen Eingang
ocr_no_text	No text has been found in the image	Pas de texte trouvé dans l'image	No se encontro texto en la imagen	Δεν βρέθηκε κείμενο στην εικόνα	Nessun testo è stato trovato nell'immagine	لم يتم العثور على نص في الصورة	Im Bild wurde kein Text gefunden
ocr_too_big	Your uploaded image must be below 4MB in size	Votre image doit avoir une taille inférieure à 4Mb	Su imagen debe tener un tamaño inferior a 4Mb	Η μεταφορτωμένη εικόνα σας πρέπει να έχει μέγεθος μικρότερο από 4 MB	La tua immagine caricata deve essere inferiore a 4 MB	يجب أن تكون صورتك التي تم تحميلها أقل من 4 ميجابايت	Ihr hochgeladenes Bild muss unter 4 MB groß sein
service_error	Service currently unavailable. Please contact support through the feedback button if the problem persists	Service actuellement indisponible. Veuillez contacter le support via le bouton de feedback si le problème persiste.	El servicio no está disponible actualmente. Por favor, póngase en contacto con el soporte a través del botón de feedback si el problema persiste.	Η υπηρεσία αυτή τη στιγμή δεν είναι διαθέσιμη. Παρακαλούμε επικοινωνήστε με την υποστήριξη μέσω του κουμπιού ανατροφοδότησης εάν το πρόβλημα παραμένει.	Servizio attualmente non disponibile. Si prega di contattare il supporto tramite il pulsante di feedback se il problema persiste	الخدمة غير متوفرة حاليا. يرجى الاتصال بالدعم من خلال زر التغذية الراجعة إذا استمرت المشكلة	Service derzeit nicht verfügbar. Bitte wenden Sie sich an Support über die Feedback -Taste, wenn das Problem bestehen bleibt
button_localfile	Load local file	Charger un fichier local	Cargar fichero local	Τοποθετήστε τοπικό αρχείο	Carica il file locale	تحميل الملف المحلي	Lokale Datei laden
button_submit	Submit	Envoyer	Enviar	Υποβολή	Invia	إرسال	Einreichen
button_remove	Remove	Supprimer	Eliminar	Αφαιρώ	Rimuovere	إزالة	Entfernen
ocr_search_yandex	Yandex	Yandex	Yandex	Γιάντεξ	Yandex	Yandex	Yandex
ocr_search_bing	Bing	Bing	Bing	Bing	Bing	Bing	Bing
ocr_search_google_lens	Google Lens	Google Lens	Google Lens	Google Lens	Google Lens	عدسة جوجل	Google Lens
cardheader_source	Source of the image	Source de l'image	Fuente de la imagen	Πηγή της εικόνας	Fonte dell'immagine	مصدر الصورة	Bildquelle
cardheader_results	Results	Résultats	Resultados	Αποτελέσματα	Risultati	النتائج	Ergebnisse
ocr_script_label	Specify script	Spécifier le script	Especificar script	Καθορίστε το σενάριο	Specificare lo script	حدد النص	Skript angeben
image_analysed	Image Analysed	Image analysée	Imagen analizada	Αναλύθηκε η εικόνα	Immagine analizzata	صورة تم تحليلها	Bild analysiert
extracted_text	Extracted Text	Texte extrait	Texto extraído	Εξαγόμενο κείμενο	Testo estratto	نص مستخرج	Extrahierter Text
complete_text	Complete Text	Texte complet	Texto completo	Πλήρες κείμενο	Testo completo	نص كامل	Vollständiger Text
blocks	Blocks	Blocs	Bloques	Μπλοκ	Blocchi	أقسام	Blöcke
reprocess_text	If you think the predicted language is wrong, you can reprocess this block by selecting the script you think this text is in from the box below.	Si vous pensez que la langue détectée est fausse, vous pouvez reproduire ce bloc en sélectionnant le script que vous pensez correct pour ce texte dans la case ci-dessous.	Si cree que el idioma detectado es incorrecto, puede reprocesar este bloque seleccionando el script que cree correcto para este texto desde el cuadro de abajo.	Εάν νομίζετε ότι η προβλεπόμενη γλώσσα είναι λάθος, μπορείτε να επανεπεξεργαστείτε αυτό το μπλοκ επιλέγοντας το σενάριο που νομίζετε ότι αυτό το κείμενο είναι από το παρακάτω πλαίσιο.	Se ritieni che la lingua prevista sia sbagliata, puoi rielaborare questo blocco selezionando lo script in cui ritieni che questo testo si trovi dalla casella sottostante.	إذا كنت تعتقد أن اللغة المتوقعة خاطئة، فيمكنك إعادة معالجة هذا القسم عن طريق تحديد النص الذي تعتقد أنه موجود من المربع أدناه.	Wenn Sie der Meinung sind, dass die vorhergesagte Sprache falsch ist, können Sie diesen Block neu aufbauen, indem Sie das Skript auswählen, in dem Sie glauben, dass sich dieser Text aus dem Feld unten befindet.
reprocess_button	Reprocess Block	Bloc pour processer à nouveau	Bloque para volver a reprocesar	Μπλοκ επανεπεξεργασίας	Blocco di ritrattamento	إعادة  معالجة القسم	Wiederaufbereitungsblock
