	en	fr	es	el	ar	de
synthetic_audio_detection_label	Media link	Media lien	Media link	σύνδεσμος πολυμέσων	رابط الوسائط	Medienlink
synthetic_audio_detection_name	Synthetic Audio Detection	Détection d'audio synthétique	Detección de imágenes sintéticas	Ανίχνευση συνθετικής εικόνας	كشف الصور الاصطناعية	Synthetische Bilderkennung
synthetic_audio_detection_placeholder	Paste the URL here	Collez le lien ici	Pega aquí el link	Επικολλήστε τη διεύθυνση σύνδεσμος εδώ	الصق عنوان URL هنا	Fügen Sie die URL hier ein
synthetic_audio_detection_results	Results of the clip selected	Résultats du clip sélectionné	Resultados del clip seleccionado	Αποτελέσματα του επιλεγμένου κλιπ	نتائج المقطع المحدد	Ergebnisse des ausgewählten Clips
synthetic_audio_detection_link	Audio link	Lien audio	Link de la imagen	Σύνδεσμος εικόνας	رابط الصورة	Bildlink
synthetic_audio_detection_gan_name	GAN	RAG	RAG	GAN	GAN	GAN
synthetic_audio_detection_gan_description	This method aims to detect if the audio has been generated by a Generative Adversarial Network (GAN).	Cette méthode vise à détecter si l'audio a été générée par un réseau antagoniste génératif (RAG).	Este metodo trata de detectar si la imagen ha sido generada por una red generativa adversativa (RAG).	Αυτή η μέθοδος στοχεύει να ανιχνεύσει εάν η εικόνα έχει δημιουργηθεί από ένα Generative Adversarial Network (GAN).	تهدف هذه الطريقة إلى اكتشاف ما إذا كانت الصورة قد تم إنشاؤها بواسطة شبكة الخصومة التوليدية (GAN).	Diese Methode zielt darauf ab zu erkennen, ob das Bild von einem generativen kontroversem Netzwerk (GAN) generiert wurde.
synthetic_audio_detection_diffusion_name	Diffusion model	Modèle de diffusion	Modelo de difusión	Μοντέλο διάχυσης	نموذج الانتشار	Diffusionsmodell
synthetic_audio_detection_diffusion_description	This method aims to detect if the audio has been generated through a diffusion model neural network.	Cette méthode vise à détecter si l'audio a été générée par un modèle neuronal de diffusion.	Este metodo trata de detectar si la audio ha sigo generada por un modelo neuronal de difusión.	Αυτή η μέθοδος στοχεύει να ανιχνεύσει εάν η εικόνα έχει δημιουργηθεί μέσω ενός νευρωνικού δικτύου μοντέλου διάχυσης.	تهدف هذه الطريقة إلى اكتشاف ما إذا كانت الصورة قد تم إنشاؤها من خلال شبكة عصبية لنموذج الانتشار.	Diese Methode zielt darauf ab, festzustellen, ob das Bild durch ein neuronales Diffusionsmodell -Netzwerk erzeugt wurde.
synthetic_audio_detection_progan_name	ProGAN	ProGAN	ProGAN	ProGAN	ProGAN	ProGAN
synthetic_audio_detection_progan_description	This model can detect fully synthetic images generated by ProGAN Models or architectures that are similar. The model's architecture is a variant of  ResNet50, including an initial layer for residual extraction and with no downsampling in the first layer. The model is not pretrained and strong augmentations are carried out including blurring, compression, gaussian noise adding, geometric transformations, cut-out, and brightness and contrast changes.	Ce modèle peut détecter des images entièrement synthétiques générées par des modèles ProGAN ou des architectures similaires. L'architecture du modèle est une variante de ResNet50, comprenant une couche initiale pour l'extraction des résidus et sans réduction d'échantillonnage dans la première couche. Le modèle n'est pas pré-entraîné et des augmentations importantes sont effectuées, notamment le flou, la compression, l'ajout de bruit gaussien, les transformations géométriques, le cut-out, ainsi que des modifications de luminosité et de contraste.	Este modelo puede detectar imágenes completamente sintéticas generadas por modelos ProGAN o arquitecturas similares. La arquitectura del modelo es una variante de ResNet50, que incluye una capa inicial para la extracción residual y sin reducción en la primera capa. El modelo no está preentrenado y se realizan fuertes aumentos, incluyendo desenfoque, compresión, adición de ruido gaussiano, transformaciones geométricas, cut-out y cambios de brillo y contraste.	Αυτό το μοντέλο μπορεί να ανιχνεύσει πλήρως συνθετικές εικόνες που παράγονται από μοντέλα ProGAN ή αρχιτεκτονικές που είναι παρόμοιες. Η αρχιτεκτονική του μοντέλου είναι μια παραλλαγή του ResNet50, περιλαμβάνοντας μια αρχική στρώση για την εξαγωγή υπολοίπων χωρίς μείωση του δείγματος στην πρώτη στρώση. Το μοντέλο δεν είναι προ-εκπαιδευμένο και γίνονται ισχυρές αυξήσεις περιλαμβανομένων του θολώματος, της συμπίεσης, της προσθήκης θορύβου Gaussian, των γεωμετρικών μετασχηματισμών, του cut-out και των αλλαγών φωτεινότητας και αντίθεσης.	يمكن لهذا النموذج اكتشاف الصور الاصطناعية بشكل كامل التي تم إنشاؤها بواسطة نماذج ProGAN أو هندسات مماثلة. تعتبر هندسة النموذج متغيرة من ResNet50 ، بما في ذلك طبقة بداية لاستخراج البقايا وبدون تخفيض في الطبقة الأولى. النموذج ليس معتمدًا مسبقًا ويتم إجراء تعزيزات قوية بما في ذلك التشويش والضغط وإضافة الضوضاء الغاوسية والتحولات الهندسية والقطع وتغييرات السطوع والتباين.	Dieses Modell kann vollständig synthetische Bilder erkennen, die von Progan -Modellen oder -Architekturen erzeugt werden, die ähnlich sind. Die Architektur des Modells ist eine Variante von ResNet50, einschließlich einer Anfangsschicht für die Restextraktion und ohne Down -Sampling in der ersten Schicht. Das Modell ist nicht vorgezogen und es werden starke Augmentationen durchgeführt, einschließlich Unschärfe, Komprimierung, Gaußschen Rauschen, geometrische Transformationen, Ausschnitte sowie Helligkeit und Kontraständerungen.
synthetic_audio_detection_adm_name	 ADM	 ADM	 ADM	 ADM	 ADM	 ADM
