	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
language_afrikaans	Afrikaans	Afrikaans	Afrikáans	Αφρικάανς	Afrikaans	الأفريكانية	Afrikaans	アフリカーンス語	Afrikaans	Africâner	Afrikaans	Afrikanščina	Африканс
language_arabic	Arabic	Arabe	Árabe	Αραβικά	Arabo	العربية	Arabisch	アラビア語	Arab	Árabe	Arapski	Arabščina	Арапски
language_armenian	Armenian	Arménien	Armenio	Αρμενικά	Armeno	الأرمنية	Armenisch	アルメニア語	Örmény	Armênio	Armenski	Armenščina	Јерменски
language_basque	Basque	Basque	Vasco	Βασκικά	Basco	الباسكية	Baskisch	バスク語	Baszk	Basco	Baskijski	Baskovščina	Баскијски
language_bengali	Bengali	Bengali	Bengalí	Μπενγκάλι	Bengalese	البنغالية	Bengalisch	ベンガル語	Bengáli	Bengali	Bengalski	Bengalščina	Бенгалски
language_breton	Breton	Breton	Bretón	Βρετονικά	Bretone	البريتونية	Bretonisch	ブルトン語	Breton	Bretão	Bretonski	Bretonščina	Бретонски
language_bulgarian	Bulgarian	Bulgare	Búlgaro	Βουλγαρικά	Bulgaro	البلغارية	Bulgarisch	ブルガリア語	Bolgár	Búlgaro	Bugarski	Bolgarščina	Бугарски
language_catalan	Catalan	Catalan	Catalán	Καταλανικά	Catalano	الكتالانية	Katalanisch	カタルーニャ語	Katalán	Catalão	Katalonski	Katalonščina	Каталонски
language_chinese	Chinese	Chinois	Chino	Κινεζικά	Cinese	الصينية	Chinesisch	中国語	Kínai	Chinês	Kineski	Kitajščina	Кинески
language_croatian	Croatian	Croate	Croata	Κροατικά	Croato	الكرواتية	Kroatisch	クロアチア語	Horvát	Croata	Hrvatski	Hrvaščina	Хрватски
language_czech	Czech	Tchèque	Checo	Τσεχικά	Ceco	التشيكية	Tschechisch	チェコ語	Cseh	Tcheco	Češki	Češčina	Чешки
language_danish	Danish	Danois	Danés	Δανικά	Danese	الدنماركية	Dänisch	デンマーク語	Dán	Dinamarquês	Danski	Danščina	Дански
language_dutch	Dutch	Néerlandais	Neerlandés	Ολλανδικά	Olandese	الهولندية	Niederländisch	オランダ語	Holland	Holandês	Nizozemski	Nizozemščina	Холандски
language_english	English	Anglais	Inglés	Αγγλικά	Inglese	الإنجليزية	Englisch	英語	Angol	Inglês	Engleski	Angleščina	Енглески
language_esperanto	Esperanto	Espéranto	Esperanto	Εσπεράντο	Esperanto	الإسبرانتو	Esperanto	エスペラント	Eszperantó	Esperanto	Esperanto	Esperanto	Есперанто
language_estonian	Estonian	Estonien	Estonio	Εσθονικά	Estone	الإستونية	Estnisch	エストニア語	Észt	Estoniano	Estonski	Estonščina	Естонски
language_finnish	Finnish	Finnois	Finlandés	Φινλανδικά	Finlandese	الفنلندية	Finnisch	フィンランド語	Finn	Finlandês	Finski	Finščina	Фински
language_french	French	Français	Francés	Γαλλικά	Francese	الفرنسية	Französisch	フランス語	Francia	Francês	Francuski	Francoščina	Француски
language_galician	Galician	Galicien	Gallego	Γαλικιανά	Galiziano	الجاليكية	Galicisch	ガリシア語	Galíciai	Galego	Galicijski	Galicijščina	Галицијски
language_german	German	Allemand	Alemán	Γερμανικά	Tedesco	الألمانية	Deutsch	ドイツ語	Német	Alemão	Njemački	Nemščina	Немачки
language_greek	Greek	Grec	Griego	Ελληνικά	Greco	اليونانية	Griechisch	ギリシャ語	Görög	Grego	Grčki	Grščina	Грчки
language_gujarati	Gujarati	Goujarati	Guyaratí	Γκουτζαράτι	Gujarati	الغوجاراتية	Gujarati	グジャラート語	Gudzsaráti	Guzerate	Gudžarati	Gudžaratščina	Гуџарати
language_hausa	Hausa	Haoussa	Hausa	Χάουσα	Hausa	الهوسا	Hausa	ハウザ語	Hausza	Haúça	Hausa	Havščina	Хауса
language_hebrew	Hebrew	Hébreu	Hebreo	Εβραϊκά	Ebraico	العبرية	Hebräisch	ヘブライ語	Héber	Hebraico	Hebrejski	Hebrejščina	Хебрејски
language_hindi	Hindi	Hindi	Hindi	Χίντι	Hindi	الهندية	Hindi	ヒンディー語	Hindi	Hindi	Hindski	Hindijščina	Хинди
language_hungarian	Hungarian	Hongrois	Húngaro	Ουγγρικά	Ungherese	الهنغارية	Ungarisch	ハンガリー語	Magyar	Húngaro	Mađarski	Madžarščina	Мађарски
language_indonesian	Indonesian	Indonésien	Indonesio	Ινδονησιακά	Indonesiano	الإندونيسية	Indonesisch	インドネシア語	Indonéz	Indonésio	Indonezijski	Indonezijščina	Индонежански
language_irish	Irish	Irlandais	Irlandés	Ιρλανδικά	Irlandese	الأيرلندية	Irisch	アイルランド語	Ír	Irlandês	Irski	Irščina	Ирски
language_japanese	Japanese	Japonais	Japonés	Ιαπωνικά	Giapponese	اليابانية	Japanisch	日本語	Japán	Japonês	Japanski	Japonščina	Јапански
language_korean	Korean	Coréen	Coreano	Κορεατικά	Coreano	الكورية	Koreanisch	韓国語	Koreai	Coreano	Korejski	Korejščina	Корејски
language_kurdish	Kurdish	Kurde	Kurdo	Κουρδικά	Curdo	الكردية	Kurdisch	クルド語	Kurd	Curdo	Kurdski	Kurdščina	Курдски
language_latin	Latin	Latin	Latín	Λατινικά	Latino	اللاتينية	Latein	ラテン語	Latin	Latim	Latinski	Latinščina	Латински
language_lithuanian	Lithuanian	Lituanien	Lituano	Λιθουανικά	Lituano	الليتوانية	Litauisch	リトアニア語	Litván	Lituano	Litvanski	Litovščina	Литвански
language_latvian	Latvian	Letton	Letón	Λετονικά	Lettone	اللاتفية	Lettisch	ラトビア語	Lett	Letão	Latvijski	Latvijščina	Летонски
language_malay	Malay	Malais	Malayo	Μαλαϊκά	Malese	الماليزية	Malaiisch	マレー語	Maláj	Malaio	Malajski	Malajščina	Малајски
language_marathi	Marathi	Marathi	Maratí	Μαράθι	Marathi	الماراثية	Marathi	マラーティー語	Maráthi	Marata	Marati	Maratščina	Марати
language_norwegian	Norwegian	Norvégien	Noruego	Νορβηγικά	Norvegese	النرويجية	Norwegisch	ノルウェー語	Norvég	Norueguês	Norveški	Norveščina	Норвешки
language_persian	Persian	Persan	Persa	Περσικά	Persiano	الفارسية	Persisch	ペルシア語	Perzsa	Persa	Perzijski	Perzijščina	Персијски
language_polish	Polish	Polonais	Polaco	Πολωνικά	Polacco	البولندية	Polnisch	ポーランド語	Lengyel	Polonês	Poljski	Poljščina	Пољски
language_portuguese	Portuguese	Portugais	Português	Πορτογαλικά	Portoghese	البرتغالية	Portugiesisch	ポルトガル語	Portugál	Português	Portugalski	Portugalščina	Португалски
language_romanian	Romanian	Roumain	Rumano	Ρουμανικά	Rumeno	الرومانية	Rumänisch	ルーマニア語	Román	Romeno	Rumunjski	Romunščina	Румунски
language_russian	Russian	Russe	Ruso	Ρωσικά	Russo	الروسية	Russisch	ロシア語	Orosz	Russo	Ruski	Ruščina	Руски
