	en	fr	es	el	it	ar	de	ja	hu	pt
afp_part_1	Provided by	Fourni par le	Proporcionado por	Παρέχεται από	Fornito da	مقدمة من قبل	Zur Verfügung gestellt von	提供元	Szolgáltató	Fornecido por
afp_link	https://www.afp.com/en/fact-checking/fact-checking-afp/medialab	https://www.afp.com/en/fact-checking/fact-checking-afp/medialab	https://www.afp.com/en/fact-checking/fact-checking-afp/medialab	https://www.afp.com/en/fact-checking/fact-checking-afp/medialab	https://www.afp.com/en/fact-checking/fact-checking-afp/medialab	https://www.afp.com/en/fact-checking/fact-checking-afp/medialab	https://www.afp.com/en/fact-checking/fact-checking-afp/medialab	https://www.afp.com/en/fact-checking/fact-checking-afp/medialab	https://www.afp.com/en/fact-checking/fact-checking-afp/medialab	https://www.afp.com/en/fact-checking/fact-checking-afp/medialab
afp_link_label	AFP Medialab	Medialab de l'AFP	AFP Medialab	AFP Medialab	AFP Medialab	AFP Medialab	AFP Medialab	"AFPメディアラボ "	AFP Medialab	AFP Medialab
afp_part_2	To contact us, use the feedback tool.	Pour nous contacter, utilisez l'outil de feedback.	Para ponerse en contacto con nosotros, utilice la herramienta de feedback.	Για να επικοινωνήσετε μαζί μας, χρησιμοποιήστε το εργαλείο σχολίων.	Per contattarci, utilizzare lo strumento Feedback.	للاتصال بنا، استخدم أداة التغذية الراجعة.	Verwenden Sie das Feedback-Tool, um uns zu kontaktieren.	お問い合わせの際は、フィードバックツールをご利用ください。	Kapcsolatfelvételhez használja a visszajelző eszközt.	Para entrar em contato conosco, utilize a ferramenta de feedback.
iti_part_1	Provided by	Fourni par le	Proporcionado por	Παρέχεται από	Fornito da	مقدمة من قبل	Zur Verfügung gestellt von	提供元	Szolgáltató	Fornecido por
iti_link	https://www.certh.gr/root.en.aspx	https://www.certh.gr/root.en.aspx	https://www.certh.gr/root.en.aspx	https://mklab.iti.gr/	https://mklab.iti.gr/	https://www.certh.gr/root.en.aspx	https://www.certh.gr/root.en.aspx	https://www.certh.gr/root.en.aspx	https://www.certh.gr/root.en.aspx	https://www.certh.gr/root.en.aspx
iti_link_label	ITI CERTH	ITI CERTH	ITI CERTH	ΙΠΤΗΛ/ΕΚΕΤΑ	ITI CERTH	ITI CERTH	ITI CERTH	ITI CERTH	ITI CERTH	ITI CERTH
iti_part_2	To contact us, use the feedback tool.	Pour nous contacter, utilisez l'outil de feedback.	Para ponerse en contacto con nosotros, utilice la herramienta de feedback.	Για να επικοινωνήσετε μαζί μας, χρησιμοποιήστε το εργαλείο σχολίων.	Per contattarci, utilizzare lo strumento Feedback.	للاتصال بنا، استخدم أداة التغذية الراجعة.	Verwenden Sie das Feedback-Tool, um uns zu kontaktieren.	お問い合わせの際は、フィードバックツールをご利用ください。	Kapcsolatfelvételhez használja a visszajelző eszközt.	Para entrar em contato conosco, utilize a ferramenta de feedback.
GRIHO_part_1	Provided by the GRIHO Research Group © 2018 Universitat de Lleida	Fourni par le groupe de recherche GRIHO © 2018 Universitat de Lleida	Proporcionado por el Grupo de Investigación GRIHO © 2018 Universitat de Lleida	Παρέχεται από την ερευνητική ομάδα GRIHO © 2018 Universitat de Lleida	Fornito dal Gruppo Griho Research Group © 2018 Universitat de Lleida	Griho Research Group © 2018 Universitat de Lleida :مقَدمة من مجموعة	Bereitgestellt von der Griho Research Group © 2018 Universitat de Leida	GRIHO 研究グループ提供 © 2018 Universitat de Lleida	A GRIHO Kutatócsoport szolgáltatja © 2018 Universitat de Lleida	Fornecido pelo Grupo de Pesquisa GRIHO © 2018 Universitat de Lleida
GRIHO_part_2	Contact:	Contacter:	Contactar:	Επικοινωνία:	Contatto:	اتصل بنا:	Kontakt:	"コンタクト: "	Kapcsolat:	Contato:
