	en	fr	es	el	it	ar	de	ja	hu	pt	hr
twitter_title	X (ex-Twitter) advanced search	Recherche avancée X (ex-Twitter)	Búsqueda avanzada X (ex-Twitter)	Σύνθετη αναζήτηση στο X (ex-Twitter	Twitter Ricerca avanzata)	البحث المتقدم على تويتر	X/Twitter Erweiterte Suche	X (旧 Twitter) 高度な検索	X (korábbi Twitter) speciális keresés	Busca avançada X (ex-Twitter)	X (bivši Twitter) napredno pretraživanje
twitter_termbox	Keyword or #	Mot clé ou #	Palabra clave o #	Λέξη κλειδί ή #	Parola chiave o #	الكلمة الرئيسية أو #	Schlüsselwort oder #	キーワードまたはハッシュタグ	Kulcsszó vagy #	Palavra-chave ou #	Ključna riječ ili #
twitter_tw-account	From (X account name)	De (Nom de compte X)	De (Nombre de una cuenta de X)	Από (Όνομα λογαριασμού X)	Da (nome account Twitter)	من (اسم حساب تويتر)	von (Name des X-Accounts)	From (X アカウント名)	Feladó (X fiók neve)	De (Nome de uma conta X)	Od (naziv X računa)
twitter_filter	Filter (e.g. safe, media, retweets, native_video, images, twimg or links)	Filtre (ex. safe, media, retweets, native_video, images, twimg or links)	Filtro (ej. safe, media, retweets, native_video, images, twimg or links)	Φίλτρο (π.χ. safe, media, retweets, native_video, images, twimg or links)	Filtro (ad esempio safe, media, retweet, nativo_video, periscopio, vine, immages, twimg or links)	الفلتر (safe, media, retweets, native_video, images, twimg, links)	Filter (z. B. safe, media, retweets, native_video, images, twimg oder links)	フィルタ (例: セーフ、メディア、リツイート、動画、画像、twimg、リンク)	Szűrő (pl. safe, media, retweets, native_video, images, twimg vagy links)	Filtro (ex: safe, media, retweets, native_video, images, twimg ou links)	Filter (npr. safe, media, retweets, native_video, images, twimg ili links)
twitter_lang	Language (e.g. en, fr, de, es, ru, ja, zh...)	Langue (ex: en, fr, de, es ru, ja, zh...)	Idioma (ej: en, fr, de, es ru, ja, zh...)	Γλώσσα (π.χ. en, fr, de, es, ru, ja, zh, gr ...)	Linguaggio (ad es. en, fr, de, es, ru, ja, zh ...)	اللغة (على سبيل المثال en ، fr ، de ، es ، ru ، ja ، zh ...)	Sprache (z. B. en, fr, de, es, ru, ja, zh ...)	言語 (例: en、fr、de、es、ru、ja、zh...)	Nyelv (pl. en, fr, de, es, ru, ja, zh...)	Idioma (ex: en, fr, de, es, ru, ja, zh...)	Jezik (npr. en, fr, de, es, ru, ja, zh...)
twitter_geocode	Geocode (e.g. -22.912214,-43.230182,1km or -22.912214,-43.230182,1mi)	Geocode (ex: -22.912214,-43.230182,1km ou -22.912214,-43.230182,1mi)	Geocodigo (ej: -22.912214,-43.230182,1km ou -22.912214,-43.230182,1mi)	Συντεταγμένες ( π.χ. -22.912214,-43.230182,1χλμ. ή -22.912214,-43.230182,1μίλια)	Geocodice (ad esempio -22.912214, -43.23012214, -43.230182,1km o -22.912214, -43.230182,1mi)	Geocode (e.g. -22.912214,-43.230182,1km or -22.912214,-43.230182,1mi)	Geocode.	ジオコード (例: -22.912214、-43.230182,1km または -22.912214、-43.230182,1mi)	Geokód (pl. -22.912214,-43.230182,1km vagy -22.912214,-43.230182,1mi)	Geocódigo (ex: -22.912214,-43.230182,1km ou -22.912214,-43.230182,1mi)	Geokod (npr. -22.912214,-43.230182,1km ili -22.912214,-43.230182,1mi)
twitter_near	Near (city name)	Proche de : (nom de ville)	Cerca de (nombre de ciudad)	Κοντά (όνομα πόλης)	Vicino a (nome della città)	بالقرب من : (اسم المدينة)	In der Nähe (Stadtname)	　Near (都市名)	Közel (városnév)	Perto de (nome da cidade)	Blizu (naziv grada)
twitter_within	Within (e.g. 15mi or 15km)	Dans (ex: 15mi ou 15km)	Dentro de (ej: 15mi o 15 km)	Εντός (π.χ. 15μίλια ή 15χλμ)	All'interno (ad es. 15mi o 15 km)	داخل (على سبيل المثال 15 ميل أو 15 كم)	Innerhalb (z. B. 15 mi oder 15 km)	Within (例: 15マイルまたは15km)	...-n belül (pl. 15mi vagy 15km)	Dentro de (ex: 15mi ou 15km)	Unutar (npr. 15mi ili 15km)
twitter_from_date	Since	Depuis	Desde	Από	Da	منذ	Seit	から	Óta	Desde	Od
twitter_to_date	Until	Jusqu'à	Hasta	Εως	Fino a	حتى	Bis	まで	Eddig	Até	Do
twitter_local_time	Local time	Heure locale	Hora local	Τοπική ώρα	Ora locale	التوقيت المحلي	Ortszeit	現地時間	Helyi idő	Hora local	Lokalno vrijeme
twitter_gmt	GMT	GMT	GMT	GMT	GMT	GMT	GMT	GMT	GMT	GMT	GMT
button_submit	Submit	Envoyer	Enviar	Υποβολή	Invia	إرسال	Einreichen	送信	Küldés	Enviar	Pošalji
cardheader_parameters	Search parameters	Paramètres de recherche	Parámetros de búsqueda	Παράμετροι αναζήτησης	Cerca parametri	معايير البحث	Suchparameter	検索パラメータ	Keresési paraméterek	Parâmetros de busca	Parametri pretraživanja
warning_x_search	You need to be connected to X to use this feature.	Vous devez être connecté à X pour utiliser cette fonctionnalité.	Necesitas estar conectado a X para usar esta función.	Πρέπει να είστε συνδεδεμένοι στο X για να χρησιμοποιήσετε αυτήν τη δυνατότητα.	Devi essere connesso a X per utilizzare questa funzione.	يجب أن تكون متصلاً بـ X لاستخدام هذه الميزة	Um dieses Werkzeug zu nutzen, müssen Sie mit X verbunden sein.	この機能を使用するには、X に接続する必要があります	A funkció használatához csatlakoznia kell az X-hez.	Você precisa estar conectado ao X para usar este recurso.	Morate biti povezani na X da biste koristili ovu značajku.
snaRecord_socialMediaSelectlabel	Social media recorded	Médias sociaux enregistrés	Redes sociales registradas	Καταγεγραμμένα κοινωνικά μέσα	Social media registrati	وسائل التواصل المسجلة	Erfasste soziale Medien	記録されたソーシャルメディア	Rögzített közösségi média	Redes sociais registradas	Snimljeni društveni mediji
snaRecording_selectCollectionLabel	Select collection	Sélectionner une collection	Seleccionar colección	Επιλέξτε συλλογή	Seleziona raccolta	اختر المجموعة	Sammlung auswählen	コレクションを選択	Kiválasztás gyűjtemény	K selecionar coleção	Odaberi kolekciju
snaTools_newCollectionLabel	New collection	Nouvelle collection	Nueva colección	Nέα συλλογή	Nuova raccolta	مجموعة جديدة	Neue Sammlung	新しいコレクション	Uj gyűjtemény	Nova coleção	Nova kolekcija
snaTools_addNewCollectionLabel	Add new collection	Ajouter une nouvelle collection	Añadir nueva colección	Προσθήκη νέας συλλογής	Aggiungi nuova raccolta	إضافة مجموعة جديدة	Neue Sammlung hinzufügen	新しいコレクションを追加	Készítsen új gyűjteményt	Adicionar nova coleção	Dodaj novu kolekciju
snaRecording_startRecordingButton	Start recording	Démarrer l’enregistrement	Iniciar grabación	Έναρξη καταγραφής	Avvia registrazione	ابدأ التسجيل	Aufnahme starten	録画開始	Rögzítés indítása	Iniciar gravação	Pokreni snimanje
snaRecording_stopRecording	Stop recording	Arrêter l’enregistrement	Detener grabación	Διακοπή καταγραφής	Interrompi registrazione	إيقاف التسجيل	Aufnahme beenden	録画停止	Rögzítés leállítása	Parar gravação	Zaustavi snimanje
snaRecording_startRecording	Start recording	Démarrer l’enregistrement	Iniciar grabación	Έναρξη καταγραφής	Avvia registrazione	ابدأ التسجيل	Aufnahme starten	録画開始	Rögzítés indítása	Iniciar gravação	Pokreni snimanje
