	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
twitter_sna_title	Twitter Social network analysis (beta)	Analyse des réseaux sociaux sur Twitter (beta)	Twitter Análisis de redes sociales (beta)	Ανάλυση κοινωνικού δικτύου Twitter (beta)	Analisi Twitter delle reti sociali (beta)	تحليل الشبكة الاجتماعية على تويتر (بيتا)	Twitter Social Network Analysis (Beta)	Twitter ソーシャル ネットワーク分析 (ベータ版)	Twitter közösségi hálózati elemzés (béta)	Análise de redes sociais do Twitter (beta)	Twitter analiza društvenih mreža (beta)	Analiza družbenega omrežja Twitter (beta)
twitter_sna_search	Keyword, URL or #	Mot clé, URL ou #	Palabra clave, URL o #	Λέξη-κλειδί, διεύθυνση URL ή #	Parola chiave, URL o #	الكلمة الرئيسية ، URL أو #	Schlüsselwort, URL oder #	キーワード、URL、または #	Kulcsszó, URL vagy #	Palavra-chave, URL ou #	Ključna riječ, URL ili #	Ključna beseda, URL ali #
twitter_sna_not	Words to exclude in the query	Mots à exclure de la requête	Palabras a excluir en la consulta	Λέξεις για εξαίρεση στο ερώτημα	Parole da escludere nella query	كلمات لاستبعادها في البحث	Wörter, die in der Abfrage ausgeschlossen werden sollen	クエリで除外する単語	A lekérdezésből kizárandó szavak	Palavras a excluir na consulta	Riječi za isključivanje u upitu	Besede za izključitev v poizvedbi
twitter_sna_user	Tweeted by (Twitter account name)	Tweeté par (Nom de compte Twitter)	Twiteado por (Nombre de una cuenta de Twitter)	Tweet από (Όνομα λογαριασμού Twitter)	Tweettato da (Nome account Twitter)	تغريد منشورة بواسطة (اسم حساب تويتر)	Getwittert von (Twitter Kontoname)	(Twitterアカウント名)によってツイートされました	Közzétette (Twitter felhasználónév)	Tweetado por (Nome de uma conta do Twitter)	Objavio (naziv Twitter računa)	Objavil (ime računa na Twitterju)
twitter_sna_from_date	Since	Depuis	Desde	Από	Da quando	منذ	Seit	から	Ettől kezdve	Desde	Od	Od
twitter_sna_until_date	Until	Jusqu'à	Hasta	Εως	Fino a quando	حتى	Bis	まで	Eddig	Até	Do	Do
twitter_local_time	Local time	Heure locale	Hora local	Τοπική ώρα	Ora locale	الوقت المحلي	Ortszeit	現地時間	Helyi idő	Hora local	Lokalno vrijeme	Lokalni čas
twitter_sna_gmt	GMT	GMT	GMT	GMT	GMT	توقيت غرينيتش	GMT	GMT	GMT	GMT	GMT	GMT
twitter_sna_media	Filter:	Filtres :	Filtros :	Φιλτρα:	Filtri:	الفلاتر:	Filter:	フィルター:	Szűrők:	Filtros:	Filteri	Filter:
twitterStats_media_none	none	aucune	ninguna	κανένα	nessuno	لا شيء	keiner	なし	nincs	nenhum	nijedan	brez
