	en	fr	es	el	it	ar	de	ja	hu	pt
hiya_label	Media link	Media lien	Media link	σύνδεσμος πολυμέσων	Link multimediale	رابط الوسائط	Medienlink	メディアリンク	Média link	Link de mídia
hiya_name	Synthetic Audio Detection	Détection d'audio synthétique	Detección de imágenes sintéticas	Ανίχνευση συνθετικής εικόνας	Rilevamento audio sintetico	كشف الصور الاصطناعية	Synthetische Bilderkennung	合成音声の検出	Szintetikus hangészlelés	Detecção de imagens sintéticas
hiya_tip	The audio file duration should be between 2 seconds and 5 minutes.	La durée du fichier audio doit être comprise entre 2 secondes et 5 minutes.	La duración del archivo de audio debe ser entre 2 segundos y 5 minutos.	Η διάρκεια του ήχου πρέπει να είναι μεταξύ 2 δευτερολέπτων και 5 λεπτών.	La durata del file audio deve essere compresa tra 2 secondi e 5 minuti.	يجب أن يكون مدى ملف الصوت بين 2 ثانية و 5 دقيقة.	Die Dauer der Audiodatei sollte zwischen 2 Sekunden und 5 Minuten liegen.	音声ファイルの長さは 2 秒から 5 分の間である必要があります	A hangfájl időtartama 2 másodperc és 5 perc között legyen.	A duração do arquivo de áudio deve estar entre 2 segundos e 5 minutos.
hiya_placeholder	Paste the URL here	Collez le lien ici	Pega aquí el link	Επικολλήστε τη διεύθυνση σύνδεσμος εδώ	Incolla il link qui	الصق عنوان URL هنا	Fügen Sie die URL hier ein	ここにURLを貼り付けてください	Illessze be ide az URL-t	Cole o link aqui
hiya_results	Results of the clip selected	Résultats du clip sélectionné	Resultados del clip seleccionado	Αποτελέσματα του επιλεγμένου κλιπ	Risultati della clip selezionati	نتائج المقطع المحدد	Ergebnisse des ausgewählten Clips	選択したクリップの結果	A kiválasztott klip eredményei	Resultados do clipe selecionado
hiya_link	Audio link	Lien audio	Link de la imagen	Σύνδεσμος εικόνας	Link audio	رابط الصورة	Bildlink	音声リンク	Hang link	Link da imagem
hiya_submit_button	Submit	Envoyer	Enviar	Υποβολή	Invia	إرسال	Einreichen	送信	Küldés	Enviar
hiya_title	Detection results	Résultats de la détection	Resultados de la detección	Αποτελέσματα ανίχνευσης	Risultati di rilevamento	نتائج الكشف	Erkennungsergebnisse	検出結果	Észlelési eredmények	Resultados da detecção
hiya_voice_cloning_detection_title	Voice cloning	Clonage vocal	Clonación de voz	Κλωνοποίηση φωνής	Clonazione vocale	النسخ الصوتي	Stimmenklonierung	音声合成	Hangklónozás	Clonagem de voz
hiya_voice_recording_detection_title	Voice re-recording	Ré-enregistrement vocal	Re-grabación de voz	Εκ νέου καταγραφή φωνής	Registrazione vocale	إعادة تسجيل الصوت	Voice-Re-Aufzeichnung	音声の再録音	Újrafelvett hang	Regravação de voz
hiya_voice_recording_detection_rating_4	This is very likely to be a voice recording	Il est très probable que ce soit un enregistrement vocal.	Es muy probable que esto sea una grabación de voz.	Είναι πολύ πιθανό αυτό να είναι μια ηχογράφηση φωνής.	È molto probabile che si tratti di una registrazione vocale.	هذا من المحتمل جدًا أن يكون تسجيل صوتي.	Dies ist sehr wahrscheinlich eine Sprachaufnahme.	音声合成である可能性が非常に高いです	Ez nagyon valószínűleg hangfelvétel	É muito provável que isso seja uma gravação de voz.
hiya_voice_recording_detection_rating_3	This is likely to be a voice recording	Il est probable que ce soit un enregistrement vocal.	Es probable que esto sea una grabación de voz.	Είναι πιθανό αυτό να είναι μια ηχογράφηση φωνής.	È probabile che si tratti di una registrazione vocale.	من المحتمل أن يكون هذا تسجيلًا صوتيًا.	Dies ist wahrscheinlich eine Sprachaufnahme.	おそらく音声合成だと思われます	Ez valószínűleg hangfelvétel	É provável que isso seja uma gravação de voz.
hiya_voice_recording_detection_rating_2	Likely real	Probablement réel	Probablemente real	Πιθανώς πραγματικό	Probabilmente reale	من المحتمل أن يكون حقيقيًا	Wahrscheinlich echt	おそらく本物だと思われます	Valószínűleg valódi	Provavelmente real
hiya_voice_recording_detection_rating_1	Very likely real	Très probablement réel	Muy probablemente real	Πολύ πιθανώς πραγματικό	Molto probabilmente reale	من المحتمل جدا أن يكون حقيقيًا	Sehr wahrscheinlich echt	本物の可能性が非常に高いです	Nagyon valószínűleg valódi	Muito provavelmente real
hiya_button_copy_text_1	Copy text	Copier le texte	Copiar texto	Αντιγραφή κειμένου	Copia testo	نسخ النص	Text kopieren	テキストをコピーする	Szöveg másolása	Copiar texto
hiya_button_copy_text_2	Text copied!	Texte copié !	¡Texto copiado!	Κείμενο αντιγράφηκε!	Testo copiato!	تم نسخ النص!	Text kopiert!	テキストがコピーされました!	Szöveg másolva!	Texto copiado!
hiya_error_400	Error: Invalid audio link.	Erreur : Lien audio invalide.	Error: Enlace de audio no válido.	Σφάλμα: Μη έγκυρος σύνδεσμος ήχου.	Errore: Link audio non valido.	خطأ: رابط الصوت غير صالح.	Fehler: Ungültiger Audiolink.	エラー: 無効な音声リンクです。	Hiba: Érvénytelen hang link.	Erro: Link de áudio inválido.
hiya_error_generic	An error happened. Please try again or try a different audio	Une erreur s'est produite. Veuillez réessayer ou essayer une audio différente.	Se produjo un error. Por favor, inténtalo de nuevo o prueba con una imagen diferente.	Προέκυψε ένα σφάλμα. Παρακαλώ δοκιμάστε ξανά ή δοκιμάστε μια διαφορετική εικόνα.	C'è stato un errore. Riprova o prova un audio diverso.	حدث خطأ. يرجى المحاولة مرة أخرى أو جرب صورة مختلفة.	Ein Fehler trat auf. Bitte versuchen Sie es erneut oder probieren Sie ein anderes Bild aus	エラーが発生しました。もう一度試すか、別の音声を試してください	Hiba történt. Kérjük, próbálja újra, vagy próbáljon másik hangot	Ocorreu um erro. Por favor, tente novamente ou tente uma imagem diferente.
hiya_error_timeout	The request timed out. The server took too long to respond.	La requête a expiré. Le serveur a mis trop de temps à répondre.	La solicitud ha caducado. El servidor tardó demasiado en responder.	Η αίτηση έληξε. Ο διακομιστής πήρε πολύ καιρό να απαντήσει.	La richiesta è scaduta. Il server ha impiegato troppo tempo a rispondere.	انتهت المهلة للطلب. استغرق الخادم وقتًا طويلاً للرد.	Die Anfrage ist abgelaufen. Der Server hat zu lange gebraucht, um zu antworten.	リクエストがタイムアウトしました。サーバーの応答に時間がかかりすぎました	A kérés időtúllépésbe ütközött. A szerver túl sokáig válaszolt.	A solicitação expirou. O servidor demorou muito para responder.
hiya_error_unable_to_read_file	Unable to read the audio file. Please try with a different file.	Impossible de lire le fichier audio. Veuillez essayer avec un fichier différent.	No se puede leer el archivo de audio. Intente con un archivo diferente.	Αδύνατη η ανάγνωση του αρχείου ήχου. Δοκιμάστε με ένα διαφορετικό αρχείο.	Impossibile leggere il file audio. Riprova con un file diverso.	تعذر قراءة ملف الصوت. يرجى المحاولة باستخدام ملف مختلف.	Die Audiodatei kann nicht gelesen werden. Bitte versuchen Sie es mit einer anderen Datei.	音声ファイルを読み取れません。別のファイルで試してください	Nem sikerült beolvasni a hangfájlt. Kérjük, próbálkozzon másik fájllal.	Não é possível ler o arquivo de áudio. Tente com um arquivo diferente.
hiya_not_found	No detection found	Aucune détection	No se encontró ninguna detección	Δεν βρέθηκε ανίχνευση	Nessun rilevamento	لم يتم العثور على كشف	Nichts erkannt	検出が見つかりませんでした	Nem található észlelés	Nenhuma detecção encontrada
button_localfile	Local file	Fichier local	Fichero local	Τοπικό αρχείο	File locale	ملف محلي	Lokale Datei	ローカルファイル	Helyi fájl	Arquivo local
error_invalid_audio_file	Invalid audio file format: this file format is not supported. Please try again with a different audio file.	Format de fichier audio invalide : ce format de fichier n'est pas pris en charge. Veuillez réessayer avec un fichier audio différent.	Formato de archivo de audio no válido: este formato de archivo no es compatible. Intente de nuevo con un archivo de audio diferente.	Μη έγκυρη μορφή αρχείου ήχου: αυτή η μορφή αρχείου δεν υποστηρίζεται. Δοκιμάστε ξανά με ένα διαφορετικό αρχείο ήχου.	Formato di file audio non valido: questo formato di file non è supportato. Riprova con un file audio diverso.	تنسيق ملف صوتي غير صالح: هذا التنسيق غير مدعوم. يرجى المحاولة مرة أخرى بملف صوتي مختلف.	Ungültiges Audio-Dateiformat: Dieses Dateiformat wird nicht unterstützt. Bitte versuchen Sie es erneut mit einer anderen Audiodatei.	無効な音声ファイル形式: このファイル形式はサポートされていません。別の音声ファイルを使用して再試行してください。	Érvénytelen hangfájl formátum: ez a fájlformátum nem támogatott. Kérjük, próbálkozzon újra másik hangfájllal.	Formato de arquivo de áudio inválido: este formato de arquivo não é compatível. Tente novamente com um arquivo de áudio diferente.
error_invalid_media_file	Invalid media file type. Please try again using an audio file.	Type de fichier média non valide. Veuillez réessayer en utilisant un fichier audio.	Tipo de archivo de medios no válido. Por favor, intente nuevamente usando un archivo de audio.	Μη έγκυρος τύπος αρχείου μέσων. Παρακαλώ δοκιμάστε ξανά χρησιμοποιώντας ένα αρχείο ήχου.	A differenza del tipo di file multimediale. Riprova utilizzando un file audio.	نوع ملف الوسائط غير صالح. يرجى المحاولة مرة أخرى باستخدام ملف صوتي.	Ungültiger Mediendateityp. Bitte versuchen Sie es erneut mit einer Audiodatei.	メディアファイルの種類が無効です。音声ファイルを使用してもう一度お試しください	Érvénytelen médiafájl típus. Kérjük, próbálkozzon újra hangfájl használatával.	Tipo de arquivo de mídia inválido. Por favor, tente novamente usando um arquivo de áudio.
error_invalid_file	Invalid File. Please try again using an audio file.	Fichier invalide. Veuillez réessayer en utilisant un fichier audio.	Archivo no válido. Por favor, inténtalo de nuevo usando un archivo de audio.	Μη έγκυρο αρχείο. Παρακαλώ προσπαθήστε ξανά χρησιμοποιώντας ένα αρχείο ήχου.	File non valido. Riprova utilizzando un file audio.	ملف غير صالح. يرجى المحاولة مرة أخرى باستخدام ملف صوتي.	Ungültige Datei. Bitte versuchen Sie es erneut mit einer Audiodatei.	無効なファイルです。音声ファイルを使用してもう一度お試しください	Érvénytelen fájl. Kérjük, próbálkozzon újra hangfájl használatával.	Arquivo inválido. Por favor, tente novamente usando um arquivo de áudio.
hiya_voice_cloning_detection_rating	Result: Hiya.com considers this audio fragment as 	Résultat : Hiya.com considère ce fragment audio comme 	Resultado: Hiya.com considera este fragmento de audio como 	Αποτέλεσμα: Hiya.com θεωρεί αυτό το ήχο να είναι 	Risultato: Hiya.com considera questo frammento audio come 	 Hiya.com  نتيجة هذا التسجيل الصوتي توضيح	Ergebnis: Hiya.com betrachtet dieses Audiofragment als 	結果: Hiya.com は、この音声を次のように判断しました	Eredmény: A Hiya.com ezt a hangrészletet a következőként értékeli:	Resultado: Hiya.com considera este fragmento de áudio como
hiya_voice_cloning_detection_rating_4	very likely AI-generated	très probablement généré par l'IA	muy probablemente generado por IA	πολύ πιθανό να έχει δημιουργηθεί από την ΤΝ	Molto probabilmente generato da AI	من المحتمل جدًا أن يكون قد تم إنشاؤه بواسطة الذكاء الاصطناعي	sehr wahrscheinlich KI-generiert	AIが生成した可能性が非常に高い	nagyon valószínű, hogy AI-generált	muito provavelmente gerado por IA
hiya_voice_cloning_detection_rating_3	likely AI-generated	probablement généré par IA	probablemente generado por IA	πιθανόν να είναι δημιουργημένο από ΤΝ	Probabilmente generato da AI	من المحتمل أن يكون قد تم إنشاؤه بواسطة الذكاء الاصطناعي	wahrscheinlich KI-generiert	AIが生成した可能性が高い	valószínűleg AI-generált	provavelmente gerado por IA
