	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
deepfake_label	Media link	Media lien	Media link	σύνδεσμος πολυμέσων	Link multimediale	رابط الوسائط	Medienlink	メディアリンク	Média link	Link de mídia	Veza medija	Povezava medija
deepfake_name	Deepfake	Deepfake	Deepfake	Deepfake	Deepfake	تزوير عميق	Deepfake	ディープフェイク	Deepfake	Deepfake	Deepfake	Deepfake
deepfake_image_title	Face swap	Échange de visage	Intercambio de caras	Ανταλλαγή προσώπου	Scambio di volti	تبديل الوجه	Gesichtstausch	フェイススワップ	Arccsere (face swap)	Troca de rostos	Zamjena lica	Zamenjava obraza
deepfake_placeholder	Paste the URL here	Collez le lien ici	Pega aquí el link	Επικολλήστε τη διεύθυνση σύνδεσμος εδώ	Incolla l'URL qui	الصق عنوان URL هنا	Fügen Sie die URL hier ein	ここにURLを貼り付けてください	Illessze be ide az URL-t	Cole o link aqui	Zalijepite URL ovdje	Prilepite URL tukaj
deepfake_support	Your browser does not support the video tag.	Votre navigateur ne prend pas en charge la balise vidéo.	Su navegador no soporta la etiqueta de vídeo.	Το πρόγραμμα περιήγησής σας δεν υποστηρίζει την ετικέτα βίντεο.	Il tuo browser non supporta il video tag.	متصفحك الحالي لا يدعم تشغيل الفيديو.	Ihr Browser unterstützt das Video -Tag nicht.	お使いのブラウザはvideoタグをサポートしていません。	A böngésző nem támogatja a videó címkét.	Seu navegador não suporta a tag de vídeo.	Vaš preglednik ne podržava oznaku videozapisa.	Vaš brskalnik ne podpira video oznake.
deepfake_clips	Clips of the video	Clips de la vidéo	Clips del vídeo	Αποσπάσματα του βίντεο	Clip del video	مقاطع فيديو	Clips des Videos	動画のクリップ	Videó klipek	Clipes do vídeo	Isječci videozapisa	Posnetki videa
deepfake_select	Select a shot to see the analysis results of that clip	Sélectionnez un plan pour voir les résultats de l'analyse de ce clip.	Seleccione un clip para ver los resultados del análisis de ese clip	Επιλέξτε ένα πλάνο για να δείτε τα αποτελέσματα της ανάλυσης του συγκεκριμένου κλιπ	Seleziona uno scatto per vedere i risultati di analisi di quella clip	حدد لقطة لرؤية نتائج التحليل لهذا المقطع	Wählen Sie eine Aufnahme aus, um die Analyseergebnisse dieses Clips anzuzeigen	映像を選択すると分析結果が表示されます	Válasszon egy felvételt a klip elemzési eredményeinek megtekintéséhez	Selecione um clipe para ver os resultados da análise desse clipe	Odaberite snimku da biste vidjeli rezultate analize tog isječka.	Izberite posnetek, da si ogledate rezultate analize tega posnetka
deepfake_clip	Clip selected	Clip sélectionné	Clip seleccionado	Επιλεγμένο κλιπ	Clip selezionato	مقطع محدد	Clip ausgewählt	選択されたクリップ	Klip kiválasztva	Clipe selecionado	Odabrani isječak	Izbran posnetek
deepfake_faces	Faces recognized	Visages reconnus	Caras reconocidas	Αναγνωρισμένα πρόσωπα	Volti riconosciuti	الوجوه المعرفة	Gesichter erkannt	検出された顔	Arcok felismerve	Rostos reconhecidos	Prepoznata lica	Prepoznani obrazi
deepfake_video	Video analysed	Vidéo analysée	Vídeo analizado	Αναλυμένο βίντεο	Video analizzato	تم تحليل الفيديو	Video analysiert	解析された動画	Videó elemezve	Vídeo analisado	Analizirani videozapis	Analiziran video
deepfake_results	Results of the clip selected	Résultats du clip sélectionné	Resultados del clip seleccionado	Αποτελέσματα του επιλεγμένου κλιπ	Risultati della clip selezionata	نتائج المقطع المحدد	Ergebnisse des ausgewählten Clips	選択した映像の結果	A kiválasztott klip eredményei	Resultados do clipe selecionado	Rezultati odabranog isječka	Rezultati izbranega posnetka
deepfake_error_400	Error: Invalid image link. Ensure it points to a publicly accessible	Erreur: Lien d'image invalide. Assurez-vous qu'il pointe vers une image accessible publiquement	Error: Enlace de imagen no válido. Asegúrate de que apunte a una imagen accesible públicamente	Σφάλμα: Μη έγκυρος σύνδεσμος εικόνας. Βεβαιωθείτε ότι οδηγεί σε μια δημόσια προσβάσιμη	Errore: collegamento immagine non valido. Assicurati che rimandi a un'immagine accessibile pubblicamente	خطأ: رابط الصورة غير صالح. تأكد من أنه يشير إلى الوصول إلى الجمهور	Fehler: Ungültiger Bildverbindung. Stellen Sie sicher, dass es auf ein öffentlich zugängliches Bild	エラー: 無効な画像リンクです。パブリックでアクセス可能なファイルか確認してください	Hiba: Érvénytelen kép link. Ellenőrizze, hogy nyilvánosan elérhető helyre mutat-e	Erro: Link de imagem inválido. Certifique-se de que ele aponte para uma imagem acessível publicamente	Pogreška: Nevažeća veza slike. Provjerite da upućuje na javno dostupnu.	Napaka: Neveljavna povezava do slike. Prepričajte se, da kaže na javno dostopno
deepfake_error_500	Service internal error	Erreur interne du service	Error interno del servicio	Εσωτερικό σφάλμα σέρβις	Errore interno del servizio	خطأ داخلي في الخدمة	Interner Servicefehler	サービス内部エラー	Szolgáltatás belső hiba	Erro interno do serviço	Interna pogreška usluge	Notranja napaka storitve
deepfake_error_413	The file is too large	Le fichier est trop volumineux	El archivo es demasiado grande	Το αρχείο είναι πολύ μεγάλο	Il file è troppo grande	الملف كبير جدًا	Die Datei ist zu groß	ファイルが大きすぎます	A fájl túl nagy	O arquivo é muito grande	Datoteka je prevelika	Datoteka je prevelika
deepfake_error_422	The file is too large	Le fichier est trop volumineux	El archivo es demasiado grande	Το αρχείο είναι πολύ μεγάλο	Il file è troppo grande	الملف كبير جدًا	Die Datei ist zu groß	ファイルが大きすぎます	A fájl túl nagy	O arquivo é muito grande	Datoteka je prevelika	Datoteka je prevelika
deepfake_error_undefined	An error happened. Please try again or try a different video	Une erreur s'est produite. Veuillez réessayer ou essayer une autre vidéo	Se produjo un error. Por favor, inténtelo de nuevo o pruebe con otro video	Παρουσιάστηκε σφάλμα. Παρακαλώ δοκιμάστε ξανά ή δοκιμάστε ένα διαφορετικό βίντεο	Si è verificato un errore. Riprova o prova un altro video	حدث خطأ. يرجى المحاولة مرة أخرى أو تجربة مقطع فيديو مختلف	Ein Fehler ist aufgetreten. Bitte versuchen Sie es erneut oder probieren Sie ein anderes Video	エラーが発生しました。もう一度試すか、別の動画を試してください	Hiba történt. Kérjük, próbálja újra, vagy próbáljon meg egy másik videót.	Por favor, tente novamente ou experimente outro vídeo.	Došlo je do pogreške. Pokušajte ponovno ili pokušajte s drugim videozapisom.	Prišlo je do napake. Poskusite znova ali poskusite z drugim videoposnetkom.
deepfake_image_link	Image link	Lien image	Link de la imagen	Σύνδεσμος εικόνας	Collegamento dell'immagine	رابط الصورة	Bildlink	画像リンク	Kép link	Link da imagem	Veza slike	Povezava do slike
deepfake_video_link	Video link	Lien vidéo	Link del video	Σύνδεσμος βίντεο	Video analizzato	رابط الفيديو	Video-Link	動画リンク	Videó link	Link do vídeo	Veza videozapisa	Povezava do videa
deepfake_title_what	What are Thumbnails	Que sont les vignettes	¿Qué son las miniaturas?	Τι είναι οι μικρογραφίες	Cosa sono le miniature	ما هي الصورة المصغرة (الغلاف)	Was sind Thumbnails	サムネイルとは	Mik azok a miniatűrök	O que são miniaturas?	Što su sličice	Kaj so sličice
deepfake_filters_explanation_image	Explanation image	Explication de l'image	Explicación de la imagen	Επεξήγηση εικόνα	Spiegazione dell'immagine	شرح الصورة	Erläuterung Bild	説明画像	Magyarázó kép	Explicação da imagem	Objašnjenje slike	Pojasnilna slika
deepfake_filters_explanation_video	Explanation video	Explication de la vidéo	Explicación del video	Επεξήγηση βίντεο	Spiegazione del video	شرح الفيديو	Erläuterung Video	解説動画	Magyarázó videó	Explicação do vídeo	Objašnjenje videozapisa	Pojasnilni video
deepfake_image_title	Detection results	Résultats de la détection	Resultados de la detección	Αποτελέσματα ανίχνευσης	Risultati del rilevamento	نتائج الكشف	Erkennungsergebnisse	検出結果	Észlelési eredmények	Resultados da detecção	Rezultati detekcije	Rezultati zaznavanja
deepfake_image_faceswap_name	Faceswap	Changement de visage	Cambio de rostro	Αντικατάσταση προσώπων	Cambia faccia	تبديل الوجه	Faceswap	フェイススワップ	Arccsere (face swap)	Troca de rosto	Faceswap	Zamenjava obraza
deepfake_image_faceswap_description	This method aims to detect if the person's face has been replaced in the picture.	Cette méthode vise à détecter si le visage de la personne a été remplacé dans l'image.	Este metodo trata de detectar si el rostro de la persona fue cambiado en la imagen.	Αυτή η μέθοδος στοχεύει να ανιχνεύσει εάν το πρόσωπο του ατόμου έχει αντικατασταθεί στην εικόνα.	Questo metodo ha lo scopo di rilevare se il volto della persona è stato sostituito nella foto.	تهدف هذه الطريقة إلى اكتشاف ما إذا كان وجه الشخص قد تم استبداله في الصورة.	Diese Methode zielt darauf ab zu erkennen, ob das Gesicht der Person auf dem Bild ersetzt wurde.	この方法は、写真内の人物の顔が置き換えられているかどうかを検出することを目的としています	Ez a módszer azt célozza meg, hogy észlelje, lecserélték-e az ember arcát a képen.	Este método tenta detectar se o rosto da pessoa foi trocado na imagem.	Ova metoda ima za cilj otkriti je li lice osobe zamijenjeno na slici.	Ta metoda je namenjena zaznavanju, ali je bil obraz osebe na sliki zamenjan.
deepfake_image_gan_name	GAN	RAG	RAG	GAN	GAN	GAN	Gan	GAN	GAN	RAG	GAN	GAN
deepfake_image_gan_description	This method aims to detect if the image has been generated by a Generative Adversarial Network (GAN).	Cette méthode vise à détecter si l'image a été générée par un réseau antagoniste génératif (RAG).	Este metodo trata de detectar si la imagen ha sido generada por una red generativa adversativa (RAG).	Αυτή η μέθοδος στοχεύει να ανιχνεύσει εάν η εικόνα έχει δημιουργηθεί από ένα Generative Adversarial Network (GAN).	Questo metodo mira a rilevare se l'immagine è stata generata da una Generative Adversarial Network (GAN).	تهدف هذه الطريقة إلى اكتشاف ما إذا كانت الصورة قد تم إنشاؤها بواسطة شبكة الخصومة التوليدية (GAN).	Diese Methode zielt darauf ab zu erkennen, ob das Bild von einem generativen kontroversem Netzwerk (GAN) generiert wurde.	この方法は、画像が敵対的生成ネットワーク (GAN) によって生成されたかどうかを検出することを目的としています	Ez a módszer azt célozza meg, hogy észlelje, hogy egy ún. Generative Adversarial Network (GAN) generálta-e a képet.	Este método tenta detectar se a imagem foi gerada por uma rede generativa adversária (RAG).	Ova metoda ima za cilj otkriti je li slika generirana Generativnom protivničkom mrežom (GAN).	Ta metoda je namenjena zaznavanju, ali je bila slika ustvarjena z generativno nasprotniško mrežo (GAN).
deepfake_image_diffusion_name	Latent Diffusion model	Modèle latent de diffusion	Modelo latento de difusión	Μοντέλο λανθάνουσας διάχυσης	Modello di diffusione latente	نموذج الانتشار الكامن	Modell der latenten Diffusion	潜在拡散モデル	Láthatatlan diffúziós modell	Modelo latente de difusão	Model latentne difuzije	Model latentne difuzije
deepfake_image_diffusion_description	This method aims to detect if the image has been generated through a latent diffusion model neural network.	Cette méthode vise à détecter si l'image a été générée par un modèle neuronal latent de diffusion.	Este metodo trata de detectar si la image ha sigo generada por un modelo neuronal latente de difusión.	Αυτή η μέθοδος στοχεύει να ανιχνεύσει εάν η εικόνα έχει δημιουργηθεί μέσω ενός νευρωνικού δικτύου μοντέλου διάχυσης.	Questo metodo mira a rilevare se l'immagine è stata generata attraverso una rete neurale latente con modello di diffusione.	تهدف هذه الطريقة إلى اكتشاف ما إذا كانت الصورة قد تم إنشاؤها من خلال شبكة عصبية لنموذج الانتشار.	Diese Methode zielt darauf ab, festzustellen, ob das Bild durch ein neuronales Latentes Diffusionsmodell -Netzwerk erzeugt wurde.	この方法は、画像が潜在拡散モデル ニューラル ネットワークを通じて生成されたかどうかを検出することを目的としています	Ez a módszer azt célozza meg, hogy észlelje, láthatatlan diffúziós modell neurális hálózaton keresztül generálták-e a képet.	Este método tenta detectar se a imagem foi generada por um modelo neural latente de difusão.	Ova metoda ima za cilj otkriti je li slika generirana kroz neuronsku mrežu modela latentne difuzije.	Ta metoda je namenjena zaznavanju, ali je bila slika ustvarjena z nevronsko mrežo modela latentne difuzije.
deepfake_image_detection_alert	This image has been detected as generated with a	Cette image a été détectée comme générée avec un	Esta imagen ha sido detectada como generada con un	Αυτή η εικόνα έχει εντοπιστεί ότι δημιουργήθηκε με α	Questa immagine è stata rilevata come generata con a	تم اكتشاف هذه الصورة على أنها إنشاؤها باستخدام ملف تم	Dieses Bild wurde als erzeugt mit a erkannt	この画像は、次の手法で生成されたものとして検出されました	Ezt a képet a következő algoritmussal generálták:	Esta imagem foi detectada como gerada com um	Ova slika je detektirana kao generirana s	Ta slika je bila zaznana kot ustvarjena z
deepfake_image_detection_alert_2	algorithm	algorithmique	algoritmo	algorithm	algoritmo	خوارزمية	Algorithmus	アルゴリズム	algoritmus	algoritmo	algoritmom	algoritmom
deepfake_video_title	Detection results	Résultats de la détection	Resultados de la detección	Αποτελέσματα ανίχνευσης	Risultati del rilevamento	نتائج الكشف	Erkennungsergebnisse	検出結果	Észlelési eredmények	Resultados da detecção	Rezultati detekcije	Rezultati zaznavanja
deepfake_video_videoreport_name	Mever Deepfake Video detector	Détecteur Mever de video deepfake	Detector Mever de video deepfake	Mever Deepfake Ανιχνευτής βίντεο	Mai rilevatore video Deepfake	Mever Deepfake كاشف الفيديو	Mever Deepfake Video Detektor	Mever 　ディープフェイクビデオ検出機能	Mever Deepfake Videó detektor	Detector Mever de vídeo deepfake	Mever Deepfake Video detektor	Mever Deepfake Video detektor
deepfake_video_videoreport_description	This method aims to detect if the person's face has been replaced in the video.	Cette méthode vise à detecter si le visage d'une personne a été remplacé dans la vidéo.	Este metodo trata de detectar si el rostro de una persona ha sido cambiado en el video.	Αυτή η μέθοδος στοχεύει να ανιχνεύσει εάν το πρόσωπο του ατόμου έχει αντικατασταθεί στο βίντεο.	Questo metodo mira a rilevare se il volto della persona è stato sostituito nel video.	تهدف هذه الطريقة إلى اكتشاف ما إذا كان قد تم استبدال وجه الشخص في الفيديو.	Diese Methode zielt darauf ab zu erkennen, ob das Gesicht der Person im Video ersetzt wurde.	この方法は、動画内の人の顔が置き換えられているかどうかを検出することを目的としています	Ez a módszer azt célozza meg, hogy észlelje, lecserélték-e az ember arcát a videóban.	Este método tenta detectar se o rosto de uma pessoa foi trocado no vídeo.	Ova metoda ima za cilj otkriti je li lice osobe zamijenjeno u videozapisu.	Ta metoda je namenjena zaznavanju, ali je bil obraz osebe v videu zamenjan.
deepfake_video_ftcn_name	Fully Temporal Convolution Network	Réseau de convolution entièrement temporel	Red de convolución totalmente temporal	Πλήρως προσωρινό δίκτυο συνέλιξης	Rete di convoluzione completamente temporale	شبكة الالتواء الزمنية بالكامل	Volles zeitliches Faltungsnetzwerk	Fully Temporal Convolution Network	Teljesen időbeli konvolúciós hálózat	Rede de convolução totalmente temporal	Potpuno vremenska konvolucijska mreža	Popolnoma časovna konvolucijska mreža
